strategy,"n. 战略, 策略
"
cape,"n. 岬, 海角, 披肩, 斗蓬"
fortunately,"adv. 幸运地, 幸亏"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
following,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的"
waken,"vt. 唤醒, 使觉醒, 激发
vi. 觉醒, 醒来"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
sinister,"a. 不吉利的, 凶恶的, 左边的
"
knight,"n. 骑士, 爵士
vt. 授以爵位"
sword,"n. 刀, 剑, 战争, 武力, 剑状物"
accomplish,"vt. 完成, 达到, 实现, 使完美"
adventurer,"n. 冒险家, 投机者
"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
undoubtedly,"adv. 无疑, 必定, 确实地"
moreover,"adv. 而且, 此外"
being,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
set out,"n. 开始；出发；动身；准备
"
give up,"na. 放弃；断绝；投降；自首
"
be determined, 立志；定下决心；立意；决意
be determined to do sth.,决心(做)...
by oneself,"单独, 独自"
all by oneself,"独立,独自,单独"
in spite of,不管
by far,显然
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
can not help, 不得不
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
somewhat,"n. 某物, 几分
adv. 多少, 几分"
reporter,"n. 记者, 报告者
"
recently,adv. 最近
supermarket,"n. 超级市场
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
satisfactory,"a. 满意的, 赎罪的
"
ability,"n. 能力, 才干
"
endurance,"n. 忍耐, 忍耐力, 耐性
"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
physically,"adv. 按自然规律, 完全地, 实际上, 真正地, 身体上地"
moderately,"adv. 适当地, 适度地, 中庸地"
arrangement,"n. 排列, 整齐, 安排
"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
postman,"n. 邮递员
"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
mayor,"n. 市长
"
medal,"n. 奖牌, 勋章
vt. 授勋予"
aged,"a. 老的, 陈的, 有...岁的
"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
arrange,"v. 安排, 排列, 达成协议
"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
operate,"v. 操作, 运转, 动手术, 活动"
operating table,[法] 手术台
funeral,"n. 葬礼, 出殡"
efficient,"a. 有效率的, 能干的"
decade,"n. 十年, 十"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
brighten,"vi. 变亮, 活跃
vt. 使生辉, 使快活"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
bunch,"n. 串, 束
"
marigold,"n. 万寿菊, 金盏花
"
mint,"n. 薄荷, 造币厂, 巨额
vt. 铸造, 铸币, 制造"
slipper,"n. 拖鞋, 制轮器
vt. 用拖鞋打"
cardigan,n. 卡迪根式开襟羊毛衫
clatter,"n. 咔嗒声, 哗啦声, 嘈杂的谈笑声
vi. 发出哗啦声, 喧闹的谈笑
vt. 使咔嗒咔嗒地响"
granny,"n. 奶奶, 老奶奶, 老婆婆, 外婆, 婆婆妈妈的人, 唠叨挑剔的人, 接生婆"
unsealed,"未密封的, 打开的"
sealed,"a. 未知的, 密封的
"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
writing,"n. 书写, 著作, 笔迹, 作品
"
pang,"n. 剧痛, 悲痛, 苦闷
vt. 使剧痛, 折磨"
disappointment,n. 失望
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
reluctantly,"adv. 不情愿地, 勉强地"
reluctant,"a. 不情愿的, 勉强的
"
flutter,"n. 摆动, 鼓翼, 烦扰
vi. 摆动, 鼓翼, 烦扰
vt. 拍(翅), 使焦急
"
stoop,"n. 佝偻, 屈从, 弯腰
vi. 弯下, 屈从, 弯腰, 堕落
vt. 使屈从, 使弯曲"
tremble,"n. 战栗, 颤抖
vi. 战栗, 忧虑, 摇晃"
at other times,在另外的一些场合中
round the corner,"在拐角处, 在附近, 即将来临"
around the corner,"在拐角处, 在附近, 即将来临"
look after,"目送, 照顾, 关心"
after all,毕竟
be sure of,"确信..., 肯定..., 对...有把握"
pick up,"v. 拾起；探出；重新开始
"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
emotion,"n. 情绪, 激动, 强烈的情感
"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
discomfort,"n. 困苦, 不适
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
community,"n. 社区, 公众, 共有, 共同体
"
related,"a. 讲述的, 叙述的；有关系的, 有关联的"
apartment,"n. 房间, 公寓"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
educational,"a. 教育的, 教育性的"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
activity,"n. 活动, 行动, 活跃, 活力
"
prohibit,"vt. 禁止, 阻止
"
reasonable,"a. 合理的, 明理的, 适当的
"
proposal,"n. 提议, 计划, 求婚
"
distraction,"n. 娱乐, 分心的事物, 分心
"
distract,"vt. 转移, 分心, 使发狂"
actually,"adv. 事实上, 竟然, 如今, 现在"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
divorce,"n. 离婚
vt. 与...离婚"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
disturb,"vt. 扰乱, 妨碍, 使不安
"
emotional,"a. 情绪的, 情感的
"
rediscover,vt. 重新发现
pastime,"n. 消遣, 娱乐, 游戏"
sunset,"n. 日落, 晚年"
neighborhood,"n. 附近, 邻近"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
entertainment,"n. 娱乐, 款待, 娱乐表演"
typical,"a. 典型的, 象征性的
"
educator,n. 教育家
barely,adv. 几乎不
literate,"n. 学者
a. 有读写能力的, 精通文学的, 受过教育的"
product,"n. 产品, 结果, 乘积
"
network,"n. 网络, 广播网, 网状物
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
electronic,"a. 电子的
"
electron,"n. 电子
"
baby-sitter,临时替人看护婴幼儿者
childhood,"n. 孩童时期
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
imagination,"n. 想像, 听觉, 想像力
"
learning,"n. 学问, 学识, 学习
"
invent,"vt. 发明, 创作, 虚构
"
generation gap,n. 代沟
in part,部分地
grow up,"成熟, 成年, 发展, 逐渐形成"
bring together, 使相合[连接]; 使相识;  使坐在一起;  使会面
come up with,"赶上, 提出"
at first glance," 一看就, 初看, 乍看起来"
have a ball,狂欢
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
sob,"vi. 啜泣, 呜咽
vt. 哭诉, 哭得使
n. 啜泣, 呜咽"
argument,"n. 争论, 论证, 论据, 自变量
"
excitement,"n. 刺激, 兴奋
"
living room,"客厅, 起居室"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
disagree,"vi. 不一致, 不适宜
"
deny,"v. 否认, 拒绝"
powerful,"a. 有力的, 有权力的, 强大的
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
handful,"n. 少数, 一把, 棘手事"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
genius,"n. 天才, 天赋, 精神, 神魔
"
semester,n. 学期
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
embarrassment,"n. 困难, 阻碍, 困窘
"
astonishment,"n. 惊异, 惊愕, 使人惊异的事物"
astonish,vt. 使惊讶
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
publication,"n. 出版物, 出版, 公布
"
dumb,"a. 哑的, 不说话的, 无声音的
"
dumb luck,不费多少心思和力气得来的好运，不应得的好运
recipe,"n. 食谱, 处方, 秘诀
"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级
"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
scrapbook,n. 剪贴簿
latter,"a. 后者的, 较后的, 近来的"
the latter,后者
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
laughter,"n. 笑, 笑声
"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
diaper,"n. 尿布
"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
illustration,"n. 例证, 插图
"
chapter,"n. 章, 篇, 重要章节
"
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严
"
bestseller,n. 畅销书
worldwide,a. 全世界的
promotional,a. 增进的
qualification,"n. 资格, 条件, 限制
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
disciplined,a. 遵守纪律的；受过训练的
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
thesaurus,"n. 专类辞典, 宝库, 知识宝库, 叙词表, 主题词表
"
processor,"n. 信息处理机, 加工者, 处理者
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
longhand,n. 普通写法
shorthand,"n. 速记
"
sofa,n. 沙发
pizza,n. 比萨饼
stink,"n. 臭味, 臭气
vi. 发臭味, 名声臭
vt. 用臭味赶"
odds,"n. 可能性, 几率, 机会, 胜算, 不平等"
burst into,"闯入, 开出, 突然出现"
to sb.'s astonishment,无
at random,"胡乱地, 随便地
"
work on,"继续工作, 设法说服, 影响"
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
here and there,"各处, 到处, 四处"
set one's mind on,决心要
set one's mind to,专心于…，全神贯注于…
paradise,"n. 天堂, 乐园, 伊甸园"
unaware,"a. 未认识到的, 不知道的
"
surroundings,"n. 环境, 周围的事物
"
attractive,"a. 吸引人的, 有魅力的
"
irresistible,"a. 不可抵抗的, 不能压制的
"
selection,"n. 选择, 选文, 精选品
"
appointment,"n. 约会, 委任的职位, 委派
"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
inevitable,"a. 不可避免的, 必然的
"
background,"n. 背景, 背景资料
"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
run up,"na. 抬高(市价等)；升(旗等)；造；增加(费用,债款等)
"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
missing,"a. 不见的, 缺少的
"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
efficiency,"n. 效率, 效能, 功效
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
elementary,"a. 初步的, 基本的
"
upper,"a. 上面的, 较高的, 上级的, 上院的, 穿在外面的, 北部的, 地表的, 后期的
n. 鞋帮, 上齿"
drawer,"n. 抽屉, 开票人
"
bureau,"n. 局, 办公处
"
underwear,n. 内衣
pants,"n. 裤子, 长裤, 短衬裤, 女式运动短裤"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
utensil,"n. 器皿, 用具"
foundation,"n. 基础, 根据, 建立
"
career,"n. 事业, 生涯, 成功
"
engineering,"n. 工程学, 工程, 操纵
"
unfortunately,"adv. 恐怕, 不幸的是"
bossy,"a. 专横的, 浮雕装饰的"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
bachelor,"n. 单身汉, 学士
"
short-term,[经] 短期
consultant,"n. 顾问, 征询意见者
"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
amaze,vt. 使吃惊
whatsoever,pron. 无论什么
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
shipment,"n. 装船, 出货
"
sleeve,"n. 袖子, 套管
vt. 缝上袖子"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
boring,"a. 烦人的, 无聊的, 无趣的
"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
workroom,n. 工作室
furthermore,"adv. 此外, 而且"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
absent-minded,"adj. 茫然的
"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
assembly,"n. 与会者, 集会, 装配, 组件
"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
assembly line,"装配线
"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
daydream,"n. 白日梦
vi. 做白日梦"
observation,"n. 观察, 注意, 观测, 观察力
"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
observer,"n. 观察者, 遵守者, 观察员
"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
findings,"n. 发现, 调查结果；检验发现的情况（finding复数）"
inspection,"n. 检验, 检查, 视察
"
redesign,[化] 重新设计
decrease,"n. 减少, 减少量
v. 减少"
worktable,n. 工作台
operator,"n. 操作员, 行家, 经纪人, 算子, 运算符
"
management,"n. 经营, 支配, 管理
"
background,"n. 背景, 背景资料
"
beautify,"vt. 美化, 变美, 修饰"
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
promotion,"n. 晋级, 创建, 增进
"
promote,"vt. 促进, 晋升, 创办, 推销
"
incentive,"n. 动机
a. 激励的"
suggestion,"n. 提议, 意见
"
co-owner,n. 共有者；共同所有人
compliments,"n. 问候, 道贺, 致意"
find out,"na. 查出；发现；看清…的面目；识破
"
turn out,"v. 证明；原来；到场
"
quality control,
as a result,结果
except for,"除...以外
"
go on strike,"举行罢工
"
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
result in,"导致
"
talk over,"na. 商谈；说服
"
keep up with,"跟上
"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
Bible,n. 圣经
barber,n. 理发师
alcohol,"n. 酒精, 酒
"
forbid,"vt. 禁止, 不准, 妨碍
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
fur,"n. 毛皮
vt. 以毛皮制作, 使生苔, 使生水垢
vi. 生苔, 积水垢"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
introduction,"n. 介绍, 传入, 采用, 初步"
painter,"n. 画家, 油漆匠
"
solution,"n. 解决, 解答, 溶液
"
improvement,"n. 进步, 改善, 利用
"
painful,"a. 痛苦的, 困难的, 令人烦恼的
"
author,"n. 作家, 作家的著作, 创始人
"
intention,"n. 意图, 目的, 含义
"
sampler,"n. 样品检验员, 刺绣样品
"
pudding,n. 布丁
Christmas,[网络] 圣诞；基督的弥撒
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
selection,"n. 选择, 选文, 精选品
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
suspicion,"n. 怀疑, 觉察, 嫌疑
"
elderly,"a. 过了中年的, 稍老的"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
occasionally,"adv. 有时候, 偶而"
occasional,"a. 偶然的, 临时的
"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
evident,"a. 显然的, 明显的"
evidently,"adv. 明显地, 根据现有证据来看"
sincerely,adv. 真诚地
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
eventually,"adv. 最后, 终于"
positive,"a. 肯定的, 积极的, 有把握的
"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
chap,"n. 小伙子, 颌, 龟裂
v. 皲裂"
amidst,prep. 在...当中
prosperous,"a. 成功的, 繁盛的, 幸运的
"
prosperity,"n. 繁荣, 茂盛, 成功
"
pitiful,"a. 慈悲的, 可怜的, 令人同情的, 可鄙的"
benevolence,"n. 善意, 慈悲, 善行
"
benevolent,"a. 善意的, 慈善的"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
dignity,"n. 尊严, 高贵
"
