accomplishment,"n. 成就, 完成"
predominant,"a. 占主导地位的, 卓越的
"
prevalent,"a. 普遍的, 流行的"
protagonist,"n. 主人公, 主角, 领导者"
radiation,"n. 辐射
"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
sapphire,"a. 天蓝色的
n. 蓝宝石, 刚玉宝石, 天蓝色"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
sensual,"a. 肉欲的, 感觉的, 感觉论的"
shellfish,"n. 贝, 甲壳类水生物
"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
sodium,"n. 钠
"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
strive,"vi. 努力, 奋斗, 斗争"
stylistic,"a. 格式上的, 体裁上的"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
syllable,"n. 音节
vt. 分成音节
"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
tendency,"n. 趋向, 倾向
"
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
tow,"n. 拖, 拖绳, 拖轮
vt. 拖, 拉, 牵引"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
unearth,"vt. 发掘, 掘出, 从洞中赶出, 揭露, 发现"
varnish,"n. 清漆, 虚饰, 光泽的表面
vt. 粉饰, 涂清漆于, 装饰, 使有光泽"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
ability,"n. 能力, 才干
"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
additive,"a. 添加的, 附加的, 加法的, 累积的
n. 添加物"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
alternately,"adv. 交替地, 间隔地"
behaviorism,n. 行为主义
biologist,"n. 生物学家
"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
calendar,"n. 日历, 日程表
vt. 列入表中
"
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
colleague,"n. 同事, 同僚"
composer,"n. 作曲家, 作家, 调停者"
composition,"n. 作文, 创作, 组成
"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
deadline,"n. 最后期限, 截止期限
"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
deceive,"v. 欺骗, 行骗"
distant,"a. 远的, 疏远的
"
dramatic,"a. 戏剧性的, 生动的"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
explosive,"n. 炸药, 爆破音
a. 易爆发的, 爆炸的, 暴躁的"
forestall,"vt. 预先阻止, 先...一步行动, 占先一步, 垄断, 阻碍
"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
igneous,"a. 火的, 似火的, 火成的"
immutable,"a. 不可变的, 不变的, 不能变的"
impetus,"n. 动力, 推动力, 动量
"
indicate,"vt. 显示, 象征, 指示, 指出
"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
intelligence,"n. 智力, 情报, 信息
"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
intriguing,"a. 吸引人的, 有趣的"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
legislative,"n. 立法机构
a. 立法的, 有立法权的"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
literacy,"n. 读写能力, 识字, 精通文学"
locomotion,"n. 运动, 移动, 旅行
"
longitude,"n. 经度, 经线
"
lower,"a. 低的, 下级的, 下层的
vi. 降低, 跌落, 减弱
vt. 放下, 降下, 减弱, 贬低"
marked,"a. 有记号的, 显著的, 醒目的
"
modulate,"vt. 调整, 使转调, 控制
vi. 转调, 调制"
monarch,"n. 帝王, 统治者, 元首
"
motto,"n. 箴言, 座右铭, 警句"
mutual,"a. 相互的, 共有的
"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
paramount,"n. 首长, 最高当局
a. 最重要的, 最高的, 至上的"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
pendant,"n. 垂饰, 下垂物, 补充的东西, 补编
"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
removal,"n. 移动, 移居, 迁移, 排除, 切除
"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
rod,"n. 竿, 笞鞭, 小枝
"
salon,"n. 大会客室, 大厅, 客厅, 交谊室, 沙龙, 美术展览馆, 画廊, 美容院, 发廊"
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
shipwright,n. 造船木匠
sloth,"n. 怠惰, 懒惰"
solitary,"n. 独居者
a. 孤独的, 独居的"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
specimen,"n. 样品, 标本, 试料
"
spectator,"n. 观众, 目击者, 旁观者"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
sturdy,"a. 强健的, 健全的
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
towering,"a. 高耸的, 激烈的"
versus,"prep. 对...
"
worth,"n. 价值, 财产
a. 值...的, 值得的"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
alkali,"n. 碱
a. 碱性的"
asymmetrical,"a. 不对称的, 偏位的
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
bony,"a. 如骨的, 多骨的, 瘦骨嶙峋的"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
buddy,"n. 好朋友, 伙伴"
catastrophe,"n. 大灾难, 大祸
"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
compel,"vt. 强迫, 迫使"
comprehend,"vt. 理解, 包括"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
consent,"n. 同意, 许可
vi. 同意, 赞同"
consideration,"n. 考虑, 原因
"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
copious,"a. 很多的, 丰富的, 内容丰富的"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
crusade,"n. 改革运动, 十字军东侵
vi. 从事改革运动, 加入十字军"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
detectable,"a. 可察觉的, 易发现的
"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
edifice,"n. 大厦, 大建筑物"
emphasize,"vt. 强调, 加强语气, 着重"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
envelop,"vt. 包封, 遮盖, 包围
n. 信封"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
equation,"n. 相等, 等式, 平衡
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
fellowship,"n. 伙伴关系, 共同参与, 团体, 奖学金, 友谊
"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
flint,"n. 打火石, 燧石, 极硬的东西
"
forefront,"n. 最前部, 最前线"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
groom,"n. 马夫, 新郎, 男仆
vt. 喂马, 使...整洁, 推荐
vi. 打扮, 穿戴"
heading,"n. 标题, 起始字, 方向
"
horde,"n. (一)群, 游牧部落, 移动群
vi. 成群结队"
inactive,"a. 不活动的, 停止的, 怠惰的, 闲置的
"
infest,"vt. 骚扰, 寄生于, 大批出没
"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
Latin,"n. 拉丁人, 拉丁语
a. 拉丁人的, 拉丁语的"
mammal,"n. 哺乳动物
"
melanin,"n. 黑色素
"
nomadic,"a. 游牧的, 游牧生活的, 流浪的
"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
parameter,"n. 参变数, 参变量, 参数, 参量
"
pathology,"n. 病理学, 病理, 病状, 病变
"
phenomena,pl. 现象
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药
vt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴"
policy,"n. 政策, 方针, 策略, 保险单
"
quench,"vt. 熄灭, 结束, 使冷却, 将...淬火
vi. 熄灭, 平息"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
ripen,"vt. 使成熟
vi. 成熟"
roost,"n. 栖木, 休息所, 群栖的禽鸟
vi. 栖息, 安歇
vt. 使栖息"
salmon,"n. 鲑鱼, 大麻哈鱼
"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
spiral,"n. 螺旋形之物, 螺线
a. 螺旋形的, 盘旋的
vi. 螺旋形下降, 螺旋形上升, 螺旋形行进
vt. 使螺旋形行进"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
strata,"pl. 层, 地层, 阶层
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
suspension,"n. 悬挂, 暂停, 中止
"
therapy,"n. 治疗
"
tile,"n. 砖瓦, 瓷砖, 瓦片
vt. 铺以瓦, 铺以瓷砖
"
unadorned,"a. 无装饰的, 未装饰的, 不加渲染的, 朴素的"
unprecedented,"a. 空前的
"
utilize,vt. 利用
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
adventure,"n. 冒险, 冒险经历
v. 冒险"
analogy,"n. 相似, 类似
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
appraisal,"n. 评价, 估价
"
artifact,"n. 人工制品
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
attire,"n. 服装, 盛装
vt. 使穿衣, 打扮"
biochemical,"a. 生物化学的
"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
"
cohesion,"n. 结合, 黏聚, 内聚
"
combustible,"a. 易燃的, 燃烧性的, 易动激情的
n. 易燃物, 可燃物"
complain,"v. 抱怨, 抗议, 控诉"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
data,"pl. 资料, 数据
"
decade,"n. 十年, 十"
dimensional,"a. ...维的
"
diplomatic,"a. 外交的, 老练的
"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
"
documentation,"n. (总称)文件
"
ductile,"a. 易延展的, 韧性的, 易教导的
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
enrich,"vt. 使富足, 使肥沃"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
evaporation,"n. 蒸发, 脱水, 消失
"
expertise,"n. 专家意见, 专门技术
"
exploration,"n. 探险, 踏勘, 探测
"
explore,"v. 探险, 探测, 探究"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
figurative,"a. 比喻的, 象征的, 修饰丰富的"
forage,"n. 粮草, 饲料, 搜寻粮草
vt. 喂, 掠夺, 搜寻粮秣
vi. 搜寻粮草, 掠夺"
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
homogeneous,"a. 同种的, 同质的, 齐性的
"
hurricane,"n. 飓风, 暴风, 暴风雨"
imply,"vt. 暗示, 意味
"
intoxication,"n. 使醉, 沉醉状态
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
locate,"vt. 找出, 设于, 位于
vi. 定居"
logical,"a. 合乎逻辑的, 合理的
"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
mathematics,"n. 数学
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
memo,"n. 备忘录
"
mold,"n. 模子, 模型, 霉
v. 形成, 塑造, 发霉"
neoclassical,a. 新古典主义的
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
oyster,"n. 牡蛎, 蚝, 沉默者"
paddle,"n. 桨, 划桨, 明轮翼
vi. 划桨, 戏水, 涉水
vt. 用桨划, 划船运送, 搅, 拌"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
perceptive,"a. 知觉的, 有知觉力的, 感知的
"
pretentious,"a. 自负的, 自命不凡的, 夸耀的"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
puncture,"n. 刺痕, 穿刺
vt. 刺穿, 刺, 揭穿
vi. 被刺穿"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
relevance,n. 中肯；关联；相关性
remains,"n. 剩余物, 废墟, 残余
"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
rural,"a. 乡下的, 田园的, 乡村风味的
"
rustic,"n. 乡下人, 乡巴佬
a. 乡村的, 纯朴的, 手工粗糙的"
sculpt,"v. 雕刻, 造型"
selective,"a. 选择的, 选择性的
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
sledding,n. 乘雪撬
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
sticky,"a. 粘的, 有粘性的, 顽固的"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
vanish,"vi. 消失, 不见, 成为零"
venom,"n. 毒液, 恶意
vt. 放毒, 使有毒"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
veto,"n. 否决权
vt. 否决, 禁止"
vibration,"n. 振动, 颤动
"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
ailment,"n. 病痛, 疾病
"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
audio,"a. 音频的, 声音的
"
axis,"n. 轴
"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
chubby,a. 圆胖的
committee,"n. 委员会
"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
corrosive,"a. 腐蚀的, 腐蚀性的, 有害的
n. 腐蚀物, 腐蚀剂"
courageous,"a. 勇敢的, 大胆的, 有胆量的"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
credential,"n. 国书, 凭据, 证明书
"
define,"vt. 定义, 规定, 使明确
"
denote,"vt. 指示, 表示"
detergent,"n. 清洁剂
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
dominant,"a. 占优势的, 支配的
"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
excavation,"n. 挖掘, 发掘, 挖掘的洞
"
facilitate,"vt. 使容易, 促进, 帮助
"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
foremost,"a. 最初的, 最重要的
adv. 在最前"
frenzy,"n. 疯狂, 狂暴, 狂怒
"
friction,"n. 摩擦, 摩擦治疗, 不和
"
hardware,"n. 硬件, 五金器具, 零件
"
imprint,"vt. 印, 铭刻
n. 印, 印记, 特征, 痕迹, 版本说明"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
inert,"a. 惰性的, 迟钝的, 无活力的, 呆滞的
"
infection,"n. 传染, 影响, 传染病
"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
intuitive,a. 直觉的
isolated,"a. 孤立的, 孤零零的
"
jelly,"n. 果冻, 果冻甜食, 胶状物
v. (使)结冻, (使)成胶状"
jolt,"n. 震摇, 摇动, 颠簸
vi. 颠簸而行, 震摇
vt. 使颠簸, 使慌张, 猛击"
laboratory,"n. 实验室, 研究室, 化工厂
"
lament,"n. 悲叹, 悔恨, 恸哭, 挽歌, 悼词
vt. 哀悼
vi. 悔恨, 悲叹"
leftover,"n. 剩货, 残留物, 剩饭
a. 残余的"
lithosphere,"n. 岩石圈, 陆界
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
opposed,"a. 反对的, 敌对的, 对抗的, 相对的
"
overhaul,"vt. 分解检查, 翻修, 精细检查, 彻底革新
n. 分解检查, 精细检查, 大检修"
overtime,"n. 超时, 加班, 延长时间
a. 超时的, 加班的
adv. 加班地
vt. 使超过时间"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
photodissociation,"n. [物][化]光离解,光解 (作用)"
pigeon,"n. 鸽子, 易上当受骗的人, 年轻女子"
poetry,"n. 诗, 韵文, 诗歌艺术"
principle,"n. 原则, 原理, 主义
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
promote,"vt. 促进, 晋升, 创办, 推销
"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
reactor,"n. 反应者, 反应器, 反应堆, 电抗器
"
realization,"n. 实现, 领悟, 实得
"
recession,"n. 后退, 凹处, 衰退, 归还
"
reliable,"a. 可靠的, 可信赖的
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
replenish,"vt. 把...重新补足, 把...再装满
vi. 被再装满, 充满"
response,"n. 反应, 回答, 响应
"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
scurry,"vi. 急赶, 急跑, 急转
n. 急赶, 急跑, 急转, 阵雪, 阵雨"
sensible,"a. 有感觉的, 敏感的, 明智的
"
simulate,"vt. 模拟, 假装, 模仿
"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
soft,"a. 软的, 温和的, 柔和的, 柔滑的, 温柔的, 软弱的, 坡度小的, 笨的, 纸币的
n. 柔软的东西, 笨人, 纸币
adv. 柔软地, 温和地"
squash,"n. 挤压, 压碎的东西, 南瓜属植物, 拥挤的人群
vt. 压扁, 镇压, 压制
vi. 被压扁, 发溅泼声, 挤入"
stuck,stick的过去式和过去分词
subsequent,"a. 后来的, 接下去的
"
substantiate,"vt. 使实体化, 证实
"
suburb,"n. 市郊住宅区, 郊区, 边缘"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
vague,"a. 含糊的, 不清楚的, 茫然的"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
virus,"n. 病毒, 滤过性病毒, 毒害
"
visual,"a. 视觉的
"
watercourse,"n. 水道, 河道
"
agreeable,"a. 令人愉快的, 同意的
"
allegiance,"n. 忠贞, 效忠"
alleviate,"vt. 减轻, 使缓和"
angular,"a. 有角的, 消瘦的, 有尖角的, 生硬的
"
annoyed,a. 恼怒的；烦闷的
