speak to,"对...说话, 说到, 责备, 证明"
southwest,"n. 西南, 西南方, 西南地区
a. 西南的, 来自西南方的
adv. 往西南, 来自西南"
south,"n. 南方, 南
a. 南的, 向南的
adv. 在南方
vi. 转向南方"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
somewhere,"adv. 到某处, 在某处"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
the Bund, 外滩（上海）; [电影]外滩佚事
famous,"a. 出名的, 极好的"
town,"n. 城镇, 市, 镇
"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
tour guide,"旅游向导,导游"
travel around the world,"na. 作环球旅行
"
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
"
go to college, 上大学
join,"vi. 参加, 结合, 加入
vt. 连接, 结合, 参加, 加入
n. 连接, 结合, 接合点
"
the National Team,无
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
come true,"实现, 成为事实"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
from now on,从现在开始
one day,有一天
maybe,"adv. 也许, 大概
n. 可能性"
believe,v. 相信
