a,"第一个字母 A; 一个; 第一的
art. "
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
aspect,"n. 外观, 方面, 面貌, 方向
"
assess,"vt. 估定, 对...征税, 评定
"
assessment,"n. 评估, 估定, 评定的款额
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
assistance,"n. 协助, 援助
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
association,"n. 协会
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
assumption,"n. 假定, 自负, 担任, 假装
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
at,"prep. 在, 向, 对
"
atmosphere,"n. 大气, 空气, 气氛
"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attention,"n. 注意, 注意力
"
attitude,"n. 态度, 看法, 姿势
"
attorney,"n. 代理人, 律师
"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
attractive,"a. 吸引人的, 有魅力的
"
audience,"n. 听众, 观众, 读者
"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
author,"n. 作家, 作家的著作, 创始人
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
automatically,"adv. 自动地, 机械地"
autumn,"n. 秋天, 成熟期"
available,"a. 可利用的, 可获得的, 有效的
"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
avoid,"vt. 避免, 防止, 撤消
"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
aware,"a. 知道的, 有觉悟的"
awareness,"n. 意识, 认识
"
away,adv. 离去
awful,"a. 可怕的, 庄严的, 虔敬的"
awkward,"a. 笨拙的, 棘手的"
baby,"n. 婴孩
"
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
background,"n. 背景, 背景资料
"
backwards,adv. 向后
bacon,"n. 熏猪肉
"
bad,"a. 坏的
n. 坏
adv. 坏地"
badly,"adv. 严重地, 恶劣地, 极度地"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
bake,"vt. 烘焙, 烤
vi. 烤面包
n. 烘焙, 烤"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
ban,"n. 禁令
vt. 禁止, 取缔"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
bank,"n. 银行, 堤, 岸
"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
barrier,"n. 障碍, 栅栏
"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
baseball,"n. 棒球
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
basically,"adv. 基本上, 主要地"
basis,"n. 基础, 主要成分
"
basket,"n. 篮, 篮子
vt. 装入篮"
bat,"n. 蝙蝠, 球棒
v. 用球棒打, 眨眼
"
bath,"n. 沐浴, 浴室
"
bathroom,"n. 浴室, 厕所"
battery,"n. 电池, 殴打
"
battle,"n. 战役
v. 战斗"
be,"v. 是, 表示, 在
"
beach,n. 海滩
bean,"n. 豆子
"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
beautiful,a. 美丽的
beauty,"n. 美, 美人"
because,conj. 因为
become,"vi. 变成, 变得
vt. 适合"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
bedroom,n. 卧室
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
beer,"n. 啤酒
"
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
beforehand,adv. 预先
begin,"v. 开始
"
beginning,n. 开始
behalf,"n. 利益, 方面"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
behaviour,"n. 行为, 举止
"
behind,"adv. 在后地
prep. 在...背后"
being,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
belief,"n. 信念, 相信, 信仰"
believe,v. 相信
bell,"n. 铃, 钟
"
belong,"vi. 属于, 合适"
below,"prep. 在下面
adv. 在下面"
belt,"n. 带子, 地带
"
bench,"n. 长椅子
"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
beneath,"prep. 在...下方
adv. 在...下方"
benefit,"n. 利益
vt. 有益于
vi. 受益"
beside,prep. 在旁边
best,"a. 最好的
adv. 最好地
n. 最好的人"
bet,"n. 打赌, 赌注
v. 打赌"
better,"a. 较好的
adv. 比较好"
between,prep. 在...之间
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
bicycle,n. 自行车
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
big,"a. 大的, 重要的
adv. 大量地"
bike,"n. 自行车, 脚踏车"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
bin,"n. (贮存谷物等的)容器, 箱子
"
bird,"n. 鸟, 羽毛球
vi. 打鸟"
birth,"n. 出生, 起源
"
birthday,n. 生日
biscuit,"n. 饼干
"
bit,"n. 少量, 马嚼子, 辅币
vt. 给马上嚼子, 控制
bite的过去式和过去分词
"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
black,"n. 黑色, 黑颜料
a. 黑色的"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
bless,"vt. 祝福, 祈佑, 使神圣化"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
bloke,"n. 小子, 家伙"
blonde,"a. (头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
n. 肤色白皙的金发女人"
blood,"n. 血, 血统, 流血, 气质, 生命
vt. 使出血, 用血涂"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
boat,"n. 船
vi. 乘船
vt. 以船运"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
boiler,"n. 煮器, 汽锅, 锅炉
"
boiling,"a. 沸腾的, 激昂的
adv. 沸腾"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
bone,"n. 骨头, 骨, 骨制品
vt. 剔骨
vi. 专心致志"
bonus,"n. 奖金, 红利
"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
bored,a. 无聊的；烦人的；无趣的
boring,"a. 烦人的, 无聊的, 无趣的
"
born,"a. 天生的
bear的过去分词"
borrow,"vt. 借, 借入, 借用
vi. 借
"
boss,"n. 老板, 上司, 岩瘤, 浮雕, 母牛
vt. 指挥, 控制, 浮雕"
both,"a. 两者的
adv. 两者都
pron. 两者"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
box,"n. 盒子, 箱, 方框, 一巴掌
vt. 装...入盒中, 装箱, 打耳光
vi. 拳击
"
boy,"n. 男孩
"
boyfriend,n. 男朋友
brain,"n. 脑
vt. 打碎脑部"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
breakfast,n. 早餐
breast,"n. 胸部, 乳房, 胸怀
vt. 以胸对着, 面对"
breath,"n. 呼吸, 气息, 瞬间
"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
briefly,"adv. 简短地, 扼要地, 简明地, 简单地"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
bring,"vt. 带来, 产生, 促使, 提出
vi. 生产"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
brother,n. 兄弟
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
bucket,"n. 桶
"
buddy,"n. 好朋友, 伙伴"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
build,"v. 建立, 建筑
n. 构造, 体格"
builder,"n. 建立者
"
building,"n. 建筑物, 建筑
"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
bunch,"n. 串, 束
"
burn,"vt. 烧, 烧毁, 烧伤
vi. 燃烧, 发热, 烧毁
n. 烧伤, 烙印"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
bury,"vt. 埋葬, 埋藏"
bus,"n. 公共汽车
"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
but,"prep. 除了
conj. 但是
adv. 仅仅"
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
buyer,"n. 买主, 买方
"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
bye,"interj. 再会, 回头见
"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
calculate,"v. 计算, 预测, 计划, 打算"
calculation,"n. 计算, 考虑, 计算的结果
"
calculator,"n. 计算者, 计算器
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
cancer,"n. 癌, 恶性肿瘤
"
candidate,"n. 候选人, 投考者
"
candle,"n. 蜡烛
vt. 对着光检查"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
capable,"a. 有能力的, 能的, 能干的"
capacity,"n. 容量, 能力, 才能, 资格
"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
car,"n. 汽车, 客车
"
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
career,"n. 事业, 生涯, 成功
"
careful,"a. 小心的, 谨慎的"
carefully,"adv. 小心地, 谨慎地"
carpet,"n. 地毯, 地毯状物
vt. 铺以地毯, 铺盖"
carrot,"n. 胡萝卜
"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
cash,"n. 现金
vt. 兑现"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
castle,"n. 城堡, 象棋中的车
vt. 置于城堡中, 盘踞于"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
category,"n. 种类, 类项
"
cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
CD,"abbr. (=compact disc)激光唱片
n. 光盘
"
cease,"n. 停止
v. 停止, 终了"
ceiling,"n. 天花板
"
celebrate,"v. 庆祝, 祝贺, 举行"
celebration,"n. 庆祝, 庆典"
cell,"n. 单元, 细胞, 电池
"
cellphone,n. 蜂窝式便携无线电话；大哥大
cent,"n. 分
"
centimetre,"n. 厘米, 公分"
central,"a. 中央的, 重要的
"
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
century,"n. 世纪, 百年"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
