ethic,"n. 道德规范, 伦理"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
"
fluency,"n. 流畅, 雄辩, 善辩"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
lowercase,n. 小写字母
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
networking,"[计] 连网, 建网"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
appealing,"a. 有感染力的, 动人的, 恳求的"
prospective,"a. 预期的, 将来的
"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
unwanted,"a. 没人要的, 不需要的, 多余的"
predator,"n. 食肉动物, 掠夺者
"
cyberbullying, 网上欺凌
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
theft,"n. 盗窃, 失窃, 盗窃罪, 赃物
"
upkeep,"n. 维持, 维修费
"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
virus,"n. 病毒, 滤过性病毒, 毒害
"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
printer,"n. 印刷工, 打印机
"
cartridge,"n. 弹药筒, 弹药, 一卷软片, 墨粉鼓
"
brush up on,"重温,复习"
get a leg up,占据优势
in turn,"na. 挨次
"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
in person,"亲自, 外貌上
"
apply for,"申请,请求,要求…"
minivan,n. 小型货车
automatically,"adv. 自动地, 机械地"
partially,"adv. 部分地, 一部分地, 不公平地"
gasoline,"n. 汽油
"
gallon,"n. 加仑
"
transportation,"n. 运输, 输送, 交通车辆
"
indulgence,"n. 沉溺, 放纵, 嗜好
"
vacation,"n. 假期, 休假
"
opt,vi. 选择
rethink,"v. 再想, 重想"
carbon,"n. 碳, 副本, 复写纸
"
footprint,"n. 足迹
"
prototype,"n. 原型
"
equip,"vt. 装备, 配备
"
microwave,"n. 微波
"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
facilities,"n. 工具, 设施, 设备"
dependence,"n. 依赖, 依存, 信赖
"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
tank,"n. 槽, 箱, 柜, 罐, 池塘, 储水池, 坦克
vt. 储于箱中"
surprisingly,"adv. 使人惊奇, 出人意外, 惊人, 令人惊讶"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
carpool,v. 合伙使用汽车
direction,"n. 方向, 指导, 趋势
"
eagerly,"adv. 渴望, 热衷于, 热切"
calculate,"v. 计算, 预测, 计划, 打算"
handy,"a. 便利的, 敏捷的, 容易取得的
"
dusty,"a. 灰尘多的, 无聊的, 含糊的, 粉末状的"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
decent,"a. 有分寸的, 得体的, 大方的"
workout,"n. 试验, 试用, 锻炼"
downtown,"n. 市中心区
a. 市中心的
adv. 往闹市区"
bookstore,n. 书店
neighbor,"n. 邻居
vt. 邻接
vi. 毗邻而居, 友好
a. 邻近的"
neighbour,"n. 邻居, 邻接的东西, 邻国, 邻座, 邻人, 世人
a. 邻接的, 邻近的
vi.vt. 邻近, 与...结邻, 邻接"
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
splendid,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
treadmill,"n. 踏车, 令人厌倦的工作
"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
departure,"n. 离开, 出发, 违背, 偏离
"
adventure,"n. 冒险, 冒险经历
v. 冒险"
payoff,"n. 发工资, 分赃, 贿赂, 盈利, 报酬, 报应, 结果, 高潮, 决定因素
a. 决定性的, 产生结果的, 支付的"
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
conversation,"n. 会话, 说话, 交谈
"
grocery,"n. 食品杂货店, 食品杂货业"
rainy,"a. 下雨的, 多雨的"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
make do,"na. 用(某物)设法应付
"
make do with sth.,设法应付
make do without sth.,"在没有…的情况下,设法应付过去"
shut off,"na. 阻断；使隔开
"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
"
opt for,选择
in spite of,不管
from now on,从现在开始
no longer,不再
on foot,"na. 步行；在进行中；徒步
"
stop in,顺便访问
in earnest,"正经地, 诚心地"
nothing but,只
opportunity,"n. 机会, 时机"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
timer,"n. 计时员, 计时器
"
environmental,"a. 周围的, 环境的
"
soap,"n. 肥皂, 阿谀
vt. 以肥皂洗, 阿谀
"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
educator,n. 教育家
guilt,"n. 罪行, 内疚
"
otherwise,"adv. 否则, 不同地, 别的方式"
reuse,"vt. 再使用
n. 重新使用"
notebook,"n. 笔记本, 手册, 期票簿"
folder,"n. 文件夹, 折纸机, 折叠式书本, 卷宗
"
refillable, 适于再装的（如包装材料等）
disposable,"a. 可任意处理的
"
restroom,n. 洗手间；休息室；更衣室；厕所
convince,"vt. 说服, 使相信
"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
hallway,n. 门厅；玄关；走廊
veggie,n. 素食者
tofu,n. 豆腐
copresident,"n. (和他人一起担任相同职务的)行政长官之一
"
emission,"n. 发射, 射出, 发行
"
distance,"n. 距离, 远方, 遥远
"
sip,"n. 啜饮, 小口喝, 抿
vi. 啜饮
vt. 啜
"
reusable,"a. 可以再度使用的
"
stainless,"a. 无瑕疵的, 不锈的
"
steel,"n. 钢, 钢制品, 钢铁, 坚硬, 坚固
a. 钢的, 钢制的, 钢铁业的, 坚强的
vt. 使坚强, 钢化, 使冷酷"
container,"n. 容器, 集装箱
"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
nonplastic,非(可)塑性的
protect,"vt. 防卫, 保护, 警戒
"
outdoor,"a. 户外的, 屋外的, 露天的"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
stash,"vt. 藏起来
n. 隐藏处, 隐藏物"
foldable,[计] 可全并的
nylon,"n. 尼龙
"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
locker,"n. 抽屉, 小柜, 上锁人
"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
recipe,"n. 食谱, 处方, 秘诀
"
vinegar,"n. 醋, 尖酸刻薄
vt. 加醋于"
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
baking soda,
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮
vi. 堆起, 堆积, 积累, 挤, 猛烈攻击
vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
wrinkly,"a. 有皱纹的, 易生皱纹的"
washer,"n. 洗衣人, 垫圈, 洗衣机
"
unnecessary,a. 不必要的
cut down on, 减少; 节省
over time,[计] 超时
hang out,挂出
keep an eye on,"照看, 密切注视"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
diploma,"n. 文凭, 毕业证书
"
daunt,"vt. 威吓, 难倒, 使气馁"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
foothold,"n. 立足处, 据点, 根据地"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
asset,"n. 资产, 有益的东西"
internship,"n. 实习医师的职务
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
alumnus,"n. 男毕业生, 男校友"
hard-wired,硬连接
researcher,n. 研究人员
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
cognitive,"a. 认知的, 认识的"
performer,"n. 表演者, 执行者, 完成者
"
endow,"vt. 捐赠, 捐助, 赋予
"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
client,"n. 客户, 顾客, 委托人
"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
flexibility,"n. 弹性, 适应性
"
juggle,"vi. 玩戏法, 行骗, 篡改
vt. 耍弄, 歪曲, 篡改
n. 玩戏法, 魔术, 欺骗"
solver,"[计] 解算机, 求解程序"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
prioritization,[计] 优化
technology,"n. 技术, 工业技术, 术语
"
planner,"n. 计划者, 设计者, 安排者
"
roadmap,n. 路标
initiation,"n. 开始, 指引, 入会
"
exceptional,"a. 例外的, 异常的, 特别的"
pump up,"na. 充气；打气；〈非正式〉促进…大幅增长；〈非正式〉使…期盼
"
no doubt,无疑地
get a foot in the door,〈口〉得到机会接受; 获得机会参加
apply to,[计] 应用于
at the same time,"同时, 但是"
such as,"例如..., 像这种的"
get the ball rolling,"开个头,使开始,使展开"
start up,"突然站起, 突然出现, 发动, 开动"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
hirable,"a. 能租用的, 能雇用的"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
oriented,"a. 导向的
"
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
"
linguistic,"a. 语言的, 语言学的
"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
diminish,"v. (使)减少, (使)变小"
qualifier,"n. 取得资格的人, 限定语
"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
qualification,"n. 资格, 条件, 限制
"
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
statement,"n. 陈述, 指令, 声明
"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
assertion,"n. 断言, 主张
"
similar,"a. 相似的, 类似的
n. 相似的东西"
rep,"n. 棱纹平布, 浪荡子, 名声
"
estimation,"n. 判断, 估计, 尊重
"
unequivocally,"adv. 只有一种含意地, 清楚明白地"
confident,"a. 有信心的, 有把握的"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
possibly,"adv. 可能, 也许"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
veracity,"n. 说话老实, 老实, 诚实"
enhance,"vt. 提高, 加强, 增加"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
assuredness,"n. 确实, 确信, 自信"
interdict,"vt. 禁止, 封锁, 停止, 制止
n. 禁令, 禁止"
banish,"vt. 驱逐, 消除
"
lexicon,"n. 词汇, 词典, 辞典
"
ascribe,"vt. 归因于, 归咎于
"
unspecified,"a. 未特别指出的, 未特别提到的"
ownership,"n. 所有权, 物主身份
"
prevailing,"a. 盛行很广的, 优势的, 主要的, 普遍的
"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
edition,"n. 版本, 版, 翻版"
downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
wallop,"vi. 乱窜, 猛冲
vt. 猛击, 击溃
n. 重击, 冲击力, 快感"
specificity,"n. 特异性, 专一性, 特殊性, 特性, 特征
"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
append,"vt. 附加, 增补, 盖章
"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
tentative,"n. 试验
a. 试验性的, 暂时的"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
abhor,"vt. 憎恶, 痛恨, 回避, 拒绝"
indecision,"n. 优柔寡断
"
soldier,"n. 军人, 士兵, 兵蚁
vi. 从军, 尽职, 偷懒, 磨洋工"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
persuasion,"n. 说服, 信念, 派别, 说服力"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
declaration,"n. 宣告, 说明, 宣布
"
excessive,"a. 过度的, 过多的, 极端的
"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
sprinkle,"vt. 洒, 散置, 撒, 点缀
vi. 洒, 撒, 下小雨
n. 洒, 撒, 散置, 小雨, 少量"
crutch,"n. 拐杖, 支撑, 依靠
vt. 支撑"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
competitor,"n. 竞争者
"
take sb. seriously,"na. 重视；认真(想)；当真
"
weigh down,"na. 使负重担；压迫
"
rid of,"除去, 摆脱"
rid sb. of,"除去, 摆脱"
rid sth. of,"除去, 摆脱"
rid sb. of sth.,"除去, 摆脱"
rid sth. of sth.,"除去, 摆脱"
look out for,"当心…,留神…,提防…"
call into question,[网络] 质疑；使……受到质疑；怀疑
call sth. into question,[网络] 质疑；使……受到质疑；怀疑
run for,竞选
pack a wallop,[口语]有巨大力量；起巨大作用
beware of,"谨访,当心"
power up,"v. 执行电源开启程序
"
tranquilizer,"[医] 安定药, 镇定药"
dart,"n. 飞镖, 投射
vt. 投射
vi. 疾走, 突进"
pierce,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动
vi. 刺入, 穿入, 透入, 进入"
elephant,n. 象
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
creature,"n. 人, 动物, 创造物, 生物"
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
collar,"n. 衣领, 颈圈
vt. 控制, 扭住衣领, 给...装上领子"
satellite,"n. 人造卫星
"
laptop,[计] 膝上型的
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
artificial,"a. 人造的, 假的, 非原地产的
"
asteroid,"n. 小行星, 海盘车
a. 星状的"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
central,"a. 中央的, 重要的
"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
airwave,"n. 电波, 波道"
directly,"adv. 径直地, 直接地, 直率地, 正好地, 直截了当地, (非正式)立即, 马上
conj. 一...(就...), 一当...就...
"
forecaster,n. 预报员
predict,"v. 预知, 预言, 预报"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
hurricane,"n. 飓风, 暴风, 暴风雨"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
polar orbit,极轨道
longitude,"n. 经度, 经线
"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
axis,"n. 轴
"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
earthquake,n. 地震
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
spy,"n. 间谍, 侦探, 侦察
vt. 侦察, 找出, 发现
vi. 做密探, 侦查"
weapon,"n. 武器, 兵器
vt. 武装"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
latitude,"n. 纬度, 范围
"
height,"n. 高度, 海拔, 高地, 顶点
"
dramatic,"a. 戏剧性的, 生动的"
faraway,"a. 遥远的, 恍惚的, 出神的"
unthinkable,"a. 不能考虑的, 不能想像的, 想像不到的, 不合理的"
make use of,使用
depend on,"依靠, 依赖"
or so,"大约, 或许, ...左右"
serve as,"被用作..., 充当..., 起...的作用"
a matter of life and death,生死攸关的事
in action,"在活动, 在运转"
get around,"病后能够走动, (非正式)旅行, 传开来"
astronaut,"n. 太空旅行者, 宇航员
"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
pod,"n. 豆荚, (豆荚状的)保护性外壳, 扁豆形矿体
vt. 从豆荚中剥出
vi. 结豆荚"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
phew,"interj. 咳, 哦, 唷"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
rocket,"n. 火箭, 烟火
vi. 急升, 猛涨, 飞驰
vt. 用火箭运载"
streak,"n. 条理, 斑纹, 倾向
vt. 加条纹
vi. 变成条纹, 飞跑"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
splinter,"n. 碎片, 尖片, 分裂出来的小派别, 微小的东西
v. 使分裂, (使)破裂"
leftover,"n. 剩货, 残留物, 剩饭
a. 残余的"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
Russian,"adj. 俄国的；俄语的
n. 俄语；俄国人"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
countless,"a. 数不尽的, 无数的"
bravely,adv. 勇敢地
trash,"n. 垃圾, 废物
vt. 丢弃"
accidently,adv. 偶然地；意外地
screw,"n. 螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼
vt. 调节, 扭紧, 旋, 拧, 加强, 压榨, 勒索
vi. 转动, 旋, 拧"
glove,"n. 手套
vt. 给...戴手套"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
cosmonaut,n. 宇航员
centimeter,"n. 厘米
"
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
nickel,"n. 镍, 镍币, 五分镍币
vt. 镀镍于"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
heat shield,[化] 防热罩
rip,"n. 裂痕, 破绽, 拉裂, 浪子, 巨浪
vi. 被拉开, 裂开, 猛冲
vt. 撕, 扯, 劈"
hole,"n. 孔, 洞, 穴, 漏洞
vt. 挖洞, 掘坑
vi. 进洞, 凿洞"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
solar panel,太阳(能)板(指装有太阳电池的平翼)
debris,"n. 碎片, 残骸
"
friction,"n. 摩擦, 摩擦治疗, 不和
"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
atmosphere,"n. 大气, 空气, 气氛
"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
spacecraft,n. 航天飞船
spacesuit,n. 太空衣
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
bullet,"n. 子弹
"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
currently,"adv. 现在, 当前, 一般, 普通
"
at work,"在工作, 在运转"
close call,死里逃生
end up,"竖着, 结束, 死"
