intellect,"n. 智力, 出众的才华, 知识分子
"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
decision-making,
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
accustom,vt. 使习惯于
sufficient,"a. 充分的, 足够的
"
academy,"n. 学院, 院校, 学会"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
dedicate,"vt. 献出, 贡献"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
instinct,"n. 本能, 直觉
a. 充满着的"
deduce,"vt. 推论, 演绎出
"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
orchestra,"n. 管弦乐队, 乐队演奏处"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
adapt,"vt. 使适应, 改编
vi. 适应"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
collaboration,"n. 合作, 勾结
"
indefensible,"a. 不能防卫的, 无辩护余地的"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
deference,"n. 顺从, 尊重"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
licence,"n. 执照, 许可证, 特许
vt. 许可, 特许, 认可"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
enforce,"vt. 强迫, 执行, 坚持
"
unprecedented,"a. 空前的
"
admission,"n. 准许进入, 入场费, 录用, 承认
"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
enhance,"vt. 提高, 加强, 增加"
nucleus,"n. 核心, 核子, 原子核, 起点
"
apology,"n. 道歉, 辩护
"
gratitude,n. 感激之情
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
gratify,vt. 使满足
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
democratic,"a. 民主的
"
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
overestimate,"vt. 评价过高, 过高估价
n. 估计过高, 评价过高"
demonstrate,"vt. 示范, 证明
vi. 示威"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
ensure,"vt. 确定, 保证, 担保, 保护
"
timescale," 时间表[尺度], 时标, 时间量程"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
appreciative,"a. 有欣赏力的, 感激的"
donation,"n. 捐赠物, 捐款, 捐赠
"
irrational,"n. 无理数
a. 无理性的, 不合理的"
prohibition,"n. 禁令, 禁止"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
unrecognized,"a. 未被认出的, 未被认定的, 未被承认的"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
ineffective,"a. 无效的
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
envision,"vt. 想象, 预想"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
empirical,"a. 完全跟据经验的, 经验主义的
"
lenient,"a. 宽大的, 温和的, 慈悲为怀的
"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
instrument,"n. 工具, 手段, 仪器
"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
inevitable,"a. 不可避免的, 必然的
"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
infect,"vt. 传染, 感染
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
advisory,"a. 顾问的, 咨询的, 劝告的
"
conviction,"n. 定罪, 信服, 坚信
"
ethos,n. 气质；民族精神；社会思潮
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
undercover,"a. 秘密从事的, 秘密的, 从事间谍活动的
"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
prestige,"n. 声望, 威望, 威信
"
reluctant,"a. 不情愿的, 勉强的
"
allege,"vt. 宣称, 主张, 提出, 断言
"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
alleviate,"vt. 减轻, 使缓和"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
previous,"a. 早先的, 前面的, 过急的
"
determine,"v. 决定, 决心"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
devastate,"vt. 毁坏
"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
monarch,"n. 帝王, 统治者, 元首
"
subscription,"n. 捐献, 订金, 订阅, 签署, 同意
"
undergo,"vt. 遭受, 经历, 忍受
"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
diagnosis,"n. 诊断
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
clause,"n. 子句, 条款
"
ambiguous,"a. 不明确的, 模棱两可的
"
repository,"n. 贮藏所, 贮物器, 仓库, 博物馆, 店铺, 陈列室, 资源丰富地区, 墓地, 亲信, 知己
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
mournful,"a. 悲恸的, 悲哀的, 令人惋惜的"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
discernible,"a. 看得清的, 可看出的, 可辨别的, 辨别得出的
"
hypotheses,"pl. 假说, 前提, 假设, 假定"
upfront,"a. 正直的, 坦率的; 最前面的, 首要的; 在前面的; 预先的
adv. 在最前面; 提前支付（工资）"
exaggerate,"v. 夸大, 夸张"
reputation,"n. 名誉, 名声, 声望
"
instruct,"vt. 教, 教育, 命令, 通知
"
clinic,"n. 诊所, 临床教学
"
resent,"vt. 愤恨, 憎恶, 怨恨"
integer,"n. 完整的事物, 整体, 整数
"
intelligence,"n. 智力, 情报, 信息
"
deliberation,"n. 熟虑, 熟思, 审议
"
portray,"vt. 描绘, 描写, 描绘...的肖像"
tougher,"较坚强的
较艰苦的（tough的比较级）"
discontent,n. 不满
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
troupe,"n. 团, 班, 一伙
vi. 巡回演出"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
collaborate,"vi. 合作, 勾结
"
intervention,"n. 插入, 介入, 调停
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
bureau,"n. 局, 办公处
"
client,"n. 客户, 顾客, 委托人
"
expedite,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
engagement,"n. 诺言, 约会, 婚约, 交战
"
diminish,"v. (使)减少, (使)变小"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
traceable,"a. 可追踪的, 可描绘的
"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
dispute,"n. 争论
v. 争论"
revenue,"n. 收入, 岁入, 税收, 税务局
"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
commend,"vt. 嘉奖, 委托给, 推荐"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
archive,"vt. 把...存档
n. 档案馆, 档案文件
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
condemn,"vt. 判刑, 责备, 谴责
"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
terminology,"n. 术语, 术语学
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
domestic,"a. 家庭的, 国内的, 驯养的
"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
arrogant,"a. 自大的, 傲慢的"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
speculate,"vi. 深思, 推测, 投机
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
comply,"vi. 顺从, 依从
"
conditional,"a. 有条件的, 有前提的
"
democracy,"n. 民主政治, 民主主义
"
lingual,"a. 舌的, 舌音的, 语言的
n. 舌音"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
assert,"vt. 主张, 坚称, 断言
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
concession,"n. 特许, 让步, 认可
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
atmosphere,"n. 大气, 空气, 气氛
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
dirt-cheap,"a. & adv. 非常便宜的[地], 毫无价值的[地]"
tribute,"n. 贡物, 礼物, 颂辞"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
preoccupy,"vt. 抢先占领, 使全神贯注"
connotation,"n. 含蓄, 内涵"
conscience,"n. 良心
"
authentic,"a. 可靠的, 可信的, 真正的
"
statute,"n. 法令, 成文法律, 法规, 章程, 条例
"
autobiography,n. 自传
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
promising,"a. 有希望的, 前途有望的
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
exquisitely,"adv. 精巧地, 敏锐地"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
predecessor,"n. 前任, 先辈, 前身
"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
eager,"a. 热心的, 渴望的, 热望的"
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
facile,"a. 容易的, 灵巧的, 温和的"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
tactics,"n. 用兵学, 战术, 兵法
"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
vague,"a. 含糊的, 不清楚的, 茫然的"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
garment,"n. 衣服, 衣装, 外表"
protect,"vt. 防卫, 保护, 警戒
"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
allegiance,"n. 忠贞, 效忠"
immigrant,"n. 移民
a. 移入的, 移民的"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
entrepreneur,"n. 企业家, 主办人
"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
obsess,"vt. 迷住, 使困扰"
protein,"n. 蛋白质
a. 蛋白质的"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
unattractive,"a. 无吸引力的, 无魅力的, 乏味的, 不美的"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
obstacle,"n. 障碍, 妨害物, 阻碍"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
unbiased,"a. 没有偏见的
"
vanish,"vi. 消失, 不见, 成为零"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
illiquid,"a. 不能立即兑现的, 无流动资金的
"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
provocation,"n. 激怒, 刺激, 挑拨
"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
efficient,"a. 有效率的, 能干的"
elevate,"vt. 举起, 提拔, 鼓舞"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
bureaucratic,"a. 官僚的
"
innovator,"n. 改革者, 创新者"
intrusion,"n. 闯入, 侵扰
"
gene,"n. 基因
"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
illusion,"n. 幻影, 错觉, 幻想
"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
occur,"vi. 发生, 被想到, 存在"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
psychology,"n. 心理学, 心理状态
"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
convince,"vt. 说服, 使相信
"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
capacity,"n. 容量, 能力, 才能, 资格
"
cooperate,"vi. 合作, 协力, 配合
"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
version,"n. 一种描述, 版本, 译文
"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
technology,"n. 技术, 工业技术, 术语
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
stripe,"n. 斑纹, 条纹
"
vessel,"n. 船, 容器, 脉管
"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
immense,"a. 极广大的, 无边的, 非常好的"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
correspond,"vi. 符合, 通信, 相当
"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
temperament,"n. 气质, 性格, 性情
"
accomplish,"vt. 完成, 达到, 实现, 使完美"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
construction,"n. 建筑, 构造, 建筑物
"
distraction,"n. 娱乐, 分心的事物, 分心
"
inappropriate,"a. 不适当的, 不相称的"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
seldom,"a. 不常的, 稀少的
adv. 很少, 不常"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
deceptive,"a. 迷惑的, 虚伪的, 欺诈的"
impartial,"a. 公平的, 不偏不倚的
"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
victim,"n. 受害人, 牺牲者, 牺牲品
"
accurate,"a. 正确的, 精确的
"
behalf,"n. 利益, 方面"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
scold,"n. 好骂街的人, 责骂
v. 责骂"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
undesirable,"a. 不受欢迎的, 不合乎社会道德标准的
"
consultant,"n. 顾问, 征询意见者
"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
prioritize,"vt. 按优先次序列出, 优先考虑"
symbol,"n. 符号, 象征, 代号, 信条
"
tremendous,"a. 巨大的, 非常的, 可怕的"
