alphabet,"n. 字母
"
cleaning,"n. 清洁, 扫除, 家畜的胞衣, 扫除出来的垃圾, 大败, 输得精光, 除伐, 巨额利润
"
feeding,"n. 饲养, 进料, 加料
a. 供给饲料的, 摄取食物的"
fixing,"n. 固定, 稳固, 设备, 调料
"
painting,"n. 画, 绘画, 油漆
"
reading,"n. 阅读, 知识, 读物
a. 阅读的"
washing,"n. 洗涤, 浸, 洗涤物
"
brushing my teeth,无
cleaning his apartment,无
cleaning his garage,无
cleaning his living room,无
cleaning his room,无
cleaning his yard,无
doing her exercises,无
doing her homework,无
feeding our cat,无
feeding our dog,无
fixing your bicycle,无
fixing your car,无
fixing your sink,无
fixing your TV,无
painting their bathroom,无
painting their bedroom,无
painting their kitchen,无
painting their living room,无
washing my car,无
washing my clothes,无
washing my clothes,无
washing my hair,无
washing my windows,无
Hi!,[网络] 可移动磁盘
Jane?,n. 简（女子名）
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
married,"a. 已婚的, 婚姻的
"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
beautiful,a. 美丽的
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
big,"a. 大的, 重要的
adv. 大量地"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
noisy,"a. 嘈杂的, 喧闹的
"
loud,"a. 大声的, 不断的, 喧吵的
adv. 高声地, 大声地"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
difficult,a. 困难的
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
married,"a. 已婚的, 婚姻的
"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
beautiful,a. 美丽的
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
big,"a. 大的, 重要的
adv. 大量地"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
noisy,"a. 嘈杂的, 喧闹的
"
loud,"a. 大声的, 不断的, 喧吵的
adv. 高声地, 大声地"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
difficult,a. 困难的
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
It's sunny.,无
It's cloudy.,无
It's raining.,[网络] 下雨了；正在下雨；呼风唤雨
It's snowing.,[网络] 下雪了；飞雪花了；这些是山
It's hot.,无
It's warm.,无
It's cool.,无
It's cold.,无
wife,"n. 妻子, 太太, 夫人
"
husband,"n. 丈夫, 管理人, 节俭的人
vt. 节俭, 使成丈夫, 持有"
parents,n. 父母；双亲（parent的复数）
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
children,"pl. 孩子, 孩子们"
daughter,"n. 女儿
a. 女儿的"
son,"n. 儿子, 女婿, 子孙
"
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
brother,n. 兄弟
grandparents,n. 外祖父母；祖父母（grandparent的复数）
grandmother,"n. 祖母, 女祖先"
grandfather,"n. 祖父, 始祖
"
grandchildren,"n. 孙子, 孙辈"
granddaughter,"n. 孙女, 外孙女"
grandson,"n. 孙子, 外孙"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
uncle,"n. 叔父, 伯父, 姨丈"
niece,"n. 侄女, 甥女"
nephew,"n. 侄子, 外甥"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
parents,n. 父母；双亲（parent的复数）
son,"n. 儿子, 女婿, 子孙
"
daughter,"n. 女儿
a. 女儿的"
children,"pl. 孩子, 孩子们"
brother,n. 兄弟
grandmother,"n. 祖母, 女祖先"
grandfather,"n. 祖父, 始祖
"
grandparents,n. 外祖父母；祖父母（grandparent的复数）
grandson,"n. 孙子, 外孙"
granddaughter,"n. 孙女, 外孙女"
grandchildren,"n. 孙子, 孙辈"
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
wife,"n. 妻子, 太太, 夫人
"
husband,"n. 丈夫, 管理人, 节俭的人
vt. 节俭, 使成丈夫, 持有"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
uncle,"n. 叔父, 伯父, 姨丈"
niece,"n. 侄女, 甥女"
nephew,"n. 侄子, 外甥"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
acting,"n. 演戏, 装腔作势
a. 代理的, 演出用的, 起作用的"
baking,"n. 烘焙, 一次烘焙的量
"
crying,"a. 叫喊的, 嚎哭的, 迫切的, 臭名昭著的"
dancing,"n. 舞蹈
"
having dinner,无
laughing,"a. 一笑置之的, 高兴的
n. 笑"
riding,"n. 骑, 乘车, 乘, 骑术, 骑马"
skateboarding,n. 滑板运动
talking,"a. 说话的, 多嘴的, 富有表情的
n. 讲话, 谈论"
vacuuming,n. 真空处理；资料移除
I'd like to introduce ...,无
Nice to meet you.,[网络] 很高兴见到你；很高兴认识你；见到你很高兴
"Nice to meet you, too.",无
bakery,n. 面包店
barber shop,理发店
book store,"na. 〈美〉书店
"
bus station,n. 公交车站
cafeteria,"n. 自助餐厅
"
clinic,"n. 诊所, 临床教学
"
department store,"百货公司
"
drug store,"药房,杂货店"
hair salon,美发廊
health club, [医]保健俱乐部
hotel,"n. 旅馆, 客栈"
laundromat,"n. 自助洗衣店, 自动洗衣店"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
train station,n. 火车站
video store,音像商店
airport,"n. 飞机场
"
bakery,n. 面包店
bank,"n. 银行, 堤, 岸
"
barber shop,理发店
book store,"na. 〈美〉书店
"
bus station,n. 公交车站
cafeteria,"n. 自助餐厅
"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
clinic,"n. 诊所, 临床教学
"
clothing store, 服装商店
department store,"百货公司
"
drug store,"药房,杂货店"
fire station,[法] 消防站
gas station,加油站
hair salon,美发廊
health club, [医]保健俱乐部
hospital,"n. 医院
"
hotel,"n. 旅馆, 客栈"
laundromat,"n. 自助洗衣店, 自动洗衣店"
library,"n. 图书馆, 藏书, 库
"
movie theater,电影院
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
police station,"警察分局
"
post office,"邮局
"
restaurant,"n. 餐馆, 饭店"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
shopping mall,n. 大型购物中心
supermarket,"n. 超级市场
"
train station,n. 火车站
video store,音像商店
zoo,n. 动物园
air conditioner,[化] 空调器; 空气调节器
apartment building, <美>公寓大楼
building,"n. 建筑物, 建筑
"
bus stop,公共汽车站
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
elevator,"n. 电梯, 升降机
"
fire escape,太平门
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
jacuzzi,n. 极可意水流按摩浴缸
mailbox,"n. 邮筒, 邮箱
"
refrigerator,"n. 电冰箱, 冷藏库
"
stove,"n. 火炉, 窑
vt. 用火炉烤
stave的过去式和过去分词"
superintendent,"n. 监督人, 主管人, 主日学校校长
"
washing machine,"洗衣机
"
shirt,"n. 衬衫, 内衣, 汗衫"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
blouse,n. 宽松的上衣
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
belt,"n. 带子, 地带
"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
pants,"n. 裤子, 长裤, 短衬裤, 女式运动短裤"
jeans,"n. 工装裤, 牛仔裤"
pajamas,"n. 睡衣, 宽松裤, 喇叭裤"
shoes,n. 鞋子（shoe的复数）
socks,"短袜, 袜子, 鞋内的衬垫, 轻软鞋, 巨款, 存款, 存钱处, 银箱, 拳打, 一击, 重击"
shirt,"n. 衬衫, 内衣, 汗衫"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
belt,"n. 带子, 地带
"
pants,"n. 裤子, 长裤, 短衬裤, 女式运动短裤"
sock,"n. 短袜, 鞋垫, 一击
vt. 重击, 猛投, 给...穿袜
vi. 打击
adv. 正着地, 不偏不倚地
a. 非常成功的"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
earring,"n. 耳环, 耳饰"
necklace,n. 项链
blouse,n. 宽松的上衣
bracelet,"n. 手镯
"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
briefcase,n. 公事包
stocking,"n. 长袜
"
hat,"n. 帽子
vt. 给...戴帽子"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
glove,"n. 手套
vt. 给...戴手套"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
pocketbook,"n. 笔记本, 钱袋, 皮夹, 经济来源"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
mitten,"n. 连指手套, 拳击手套"
jeans,"n. 工装裤, 牛仔裤"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
belt,"n. 带子, 地带
"
blouse,n. 宽松的上衣
boots,n. （英）擦靴的仆役；靴子（boot的复数）
bracelet,"n. 手镯
"
briefcase,n. 公事包
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
earring,"n. 耳环, 耳饰"
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
glove,"n. 手套
vt. 给...戴手套"
hat,"n. 帽子
vt. 给...戴帽子"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
jeans,"n. 工装裤, 牛仔裤"
mittens,"n. 连指手套, 露指手套( mitten的复数形式 )"
necklace,n. 项链
pajamas,"n. 睡衣, 宽松裤, 喇叭裤"
pants,"n. 裤子, 长裤, 短衬裤, 女式运动短裤"
pocketbook,"n. 笔记本, 钱袋, 皮夹, 经济来源"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
raincoat,n. 雨衣
shirt,"n. 衬衫, 内衣, 汗衫"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
sock,"n. 短袜, 鞋垫, 一击
vt. 重击, 猛投, 给...穿袜
vi. 打击
adv. 正着地, 不偏不倚地
a. 非常成功的"
sports jacket,n. 粗呢夹克
stocking,"n. 长袜
"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
sunglasses,"n. 太阳镜, 墨镜, 太阳眼镜"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
black,"n. 黑色, 黑颜料
a. 黑色的"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
gold,"n. 黄金, 钱财, 金块, 金色, 宝贵
a. 金的, 似金的, 金色的, 金制的"
gray,"n. 灰色, 暗淡
a. 灰色的, 灰白的, 面色苍白的, 年老的, 老练的, 阴沉的
v. (使)变灰色"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
silver,"n. 银, 银币, 银器
a. 银的, 银制的, 银器的
vt. 镀银
vi. 变银白色"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
yellow,"n. 黄色
a. 黄色的"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
eat,"v. 吃, 腐蚀"
listen to music, 听音乐
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
watch TV, 看电视
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
eat,"v. 吃, 腐蚀"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
