agony,"n. 极大的痛苦, 挣扎
"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
vase,"n. 花瓶, 瓶"
mostly,"adv. 大概, 大部分, 主要
"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
thus,"adv. 如此, 因此, 到如此程度
"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
oxygen,"n. 氧
"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
bring ... into focus,使集中在焦点上；调节(望远镜、照相机等的)焦距；使注意力集中于，使清楚地注意到；使明确，使突出
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
psychologist,"n. 心理学家
"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
"
unaware,"a. 未认识到的, 不知道的
"
alcohol,"n. 酒精, 酒
"
bandage,"n. 绷带
"
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药
vt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴"
thermometer,"n. 温度计, 体温计
"
rubber,"n. 橡皮, 橡胶, 做摩擦动作的人, 按摩师, 决胜盘
vt. 用橡胶制造, 涂橡胶于"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
cotton wool,"原棉, 棉絮
"
guideline,"n. 指导路线, 方针, 指标
"
cloth,"n. 布料, 织品, 布
"
bleeding,"n. 出血, 流血
"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
injury,"n. 伤害, 侮辱
"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
fascinated,a. 着迷的；被深深吸引的
chapter,"n. 章, 篇, 重要章节
"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
nut,"n. 坚果, 核心, 螺帽
"
astonish,vt. 使惊讶
ray,"n. 光线, 射线, 闪烁, 光辉
vi. 射出光线, 浮现, 放射光线
vt. 放射, 显出"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
distinguish,"v. 区别, 辨别"
gradually,adv. 逐渐地
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
wrinkled,"a. 具皱的, 有皱纹的"
shore,"n. 海岸, 海滨, 斜撑柱
vt. 把...送上岸, 支撑, 支持"
carpet,"n. 地毯, 地毯状物
vt. 铺以地毯, 铺盖"
intensity,"n. 强烈, 紧张, 强度
"
vibration,"n. 振动, 颤动
"
atom,"n. 原子, 核能, 微粒, 微量
"
depth,"n. 深度, 深处, 深奥
"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
in broad daylight,"在大白天, 公开地"
beneath,"prep. 在...下方
adv. 在...下方"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
disaster,"n. 灾祸, 不幸, 彻底失败"
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
the Tube,"电视机,显像管;地下铁路,地铁"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
erupt,"vi. 爆发
vt. 喷出"
immediately,"adv. 直接地, 立刻, 立即"
hurricane,"n. 飓风, 暴风, 暴风雨"
landslide,"n. 山崩
"
occur,"vi. 发生, 被想到, 存在"
announcement,"n. 公告, 发表, 告知
"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
tsunami,n. 海啸
reliable,"a. 可靠的, 可信赖的
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
typhoon,n. 台风
blizzard,"n. 大风雪, 暴风雪"
avalanche,"n. 雪崩, 山崩, 大量
vi. 崩塌
vt. 大量涌至"
exceptionally,adv. 特殊地；异常地；例外地
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
crisis,"n. 危机, 危险期, 紧要关头
"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
satellite,"n. 人造卫星
"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
billion,"num. 十亿, 十亿个"
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
nowhere,"adv. 无处, 到处都无"
otherwise,"adv. 否则, 不同地, 别的方式"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
mosquito,"n. 蚊子
"
midnight,"n. 午夜, 子夜, 半夜
a. 午夜的, 半夜的"
the Big Dipper,"na. 北斗七星
"
the Little Dipper,小北斗(小熊星座的七颗主星)
the Milky Way,n. 银河
county,"n. 县, 郡"
have yet to,[网络] 尚有待于；尚未；至今尚未
threat,"n. 恐吓, 恶兆, 威胁
"
property,"n. 财产, 所有权, 性质, 属性
"
sufficient,"a. 充分的, 足够的
"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
