fourteenth,"num. 第十四, 十四分之一"
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
everywhere,"adv. 各处, 到处"
daughter,"n. 女儿
a. 女儿的"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
topic,"n. 主题, 论题, 话题"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
meat,"n. 肉, 餐, 食物
"
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
bicycle,n. 自行车
university,n. 大学
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
furry,"a. 毛皮的, 盖着毛皮的, 似毛皮的"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
this,"pron. 这, 本
a. 这, 本
adv. 这么"
child,"n. 孩子, 产物, 追随者
"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
parent,"n. 父母, 父母亲, 根源
"
sugar,"n. 糖, 糖块, 甜言蜜语
vt. 加糖于, 使甜蜜, 粉饰, 美化
vi. 制成糖"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
Monday,n. 星期一
fact,"n. 事实, 真实性, 真相, 细节, 论据"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
tooth,"n. 牙齿, 齿状物, 爱好
vt. 装以齿, 将...切成齿状
vi. 啮合"
move,"n. 移动, 迁居, 步骤
vt. 移动, 开动, 感动, 搬(家)
vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手
"
pronoun,n. 代词
beside,prep. 在旁边
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
its,pron. 它的
recent,"a. 最近的, 近代的, 最新的
"
infinitive,"n. 不定式
a. 不定式的"
sit,"vi. 坐, 就座, 坐落
vt. 使就座, 骑
n. 坐, 衣服合身"
push,"n. 推, 推动, 奋斗, 攻击, 进取心
vt. 推, 推动, 使伸出, 推行, 逼迫, 增加
vi. 推, 推进, 增加, 努力争取"
again,"adv. 再一次, 又, 到原处"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
sixty,"num. 六十, 六十个"
most,"n. 最多, 最大
a. 大多数的, 几乎全部的, 最多的
adv. 最, 最多, 极其"
horse,"n. 马, 骑兵, 脚架
vi. 骑马, 取笑
vt. 使骑马, 系马于"
November,n. 十一月
mom,n. 妈妈
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
wise,"a. 明智的, 慎虑的, 聪明的, 博学的, 狡猾的, 机灵的
vi. 知道
vt. 教导, 告诉, 劝导
n. 方法, 方式
"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
girlfriend,n. 女朋友
hunger,"n. 饥饿, 渴望, 饥荒
vt. 使挨饿
vi. 挨饿, 渴望"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
warn,"vt. 警告, 提醒, 通知
vi. 发出警告"
hurry,"n. 匆忙, 急忙, 急促
vt. 急派, 催促
vi. 匆忙, 赶快"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
soldier,"n. 军人, 士兵, 兵蚁
vi. 从军, 尽职, 偷懒, 磨洋工"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
conference,"n. 会议
"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
alone,"a. 孤独的, 单独的, 独自的
adv. 独自地"
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
x-ray,"X射线, X光, X光照片"
cow,"n. 母牛, 母兽
vt. 威胁"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
sudden,"n. 突然, 忽然
a. 突然的, 意外的, 快速的"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
since,"prep. 自...以后, 自...以来
adv. 自那时以后
conj. 既然, 自...以后, 自...以来"
belong,"vi. 属于, 合适"
shark,"n. 鲨鱼, 骗子
v. 诈骗"
everyday,"a. 每天的, 日常的, 平常的"
impolite,"a. 无礼的, 粗鲁的"
solution,"n. 解决, 解答, 溶液
"
above,"prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的"
every,"a. 每一, 所有的"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
double,"n. 两倍
a. 两倍的, 双重的
vt. 使加倍
vi. 加倍, 代替, 快步走
"
east,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
shy,"n. 惊跳, 惊避
a. 胆怯的, 畏缩的, 迟疑的, 羞怯的
vi. 惊退, 乱投, 乱掷, 厌恶, 避开
vt. 乱投, 乱掷"
schoolwork,"n. 学校作业, 家庭作业"
ever,"adv. 曾经, 究竟, 永远"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
west,"n. 西方, 西部
a. 西方的, 向西的
adv. 向西, 自西方, 在西方"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味
vi. 赌博
a. 勇敢的, 有胆量的, 关于野味的, 跛的
"
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
enjoy,"vt. 享受, 喜欢, 欣赏
"
ours,pron. 我们的
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
sheep,"n. 羊, 胆小者"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
upstairs,"a. 楼上的
adv. 在楼上, 向楼上, 处于更高地位
n. 楼层"
bird,"n. 鸟, 羽毛球
vi. 打鸟"
trouble,"n. 烦恼, 麻烦, 困难, 动乱, 故障
vt. 困扰, 麻烦, 使烦恼, 折磨
vi. 烦恼, 费心"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
theirs,pron. 他们的
pronounce,"v. 发音, 宣告, 断言"
oneself,"pron. 自己, 亲自"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
amount,"n. 总数, 总额
vi. 总计, 等同"
slipper,"n. 拖鞋, 制轮器
vt. 用拖鞋打"
turkey,"n. 火鸡, 无用的家伙, 土耳其"
international,"a. 国际的
n. 国别设定
"
open,"n. 公开, 户外, 空旷
a. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的
vt. 打开, 公开, 开放
vi. 展开, 开始, 展现
"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
birthday,n. 生日
million,"n. 百万, 无数
num. 百万"
everybody,"pron. 每个人, 人人"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
breath,"n. 呼吸, 气息, 瞬间
"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
twelve,"num. 十二, 十二个"
September,n. 九月
verb,"n. 动词
"
elephant,n. 象
sail,"n. 帆, 篷, 帆船, 航程, 帆状物
vi. 航行, 启航, 张帆而行
vt. 航行于, 驾船"
or,"conj. 或, 或者
"
specially,"adv. 特别地, 专门地"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
let,"vt. 让, 假设, 出租, 排放, 妨碍
vi. 出租, 被承包
n. 出租屋, 障碍"
pound,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏
vt. 强烈打击, 捣烂, 监禁, 关入栏内
vi. 连续重击, 苦干"
maybe,"adv. 也许, 大概
n. 可能性"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
guidebook,"n. 指南, 手册, 要览"
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
owner,"n. 拥有者, 物主, 所有人
"
woman,"n. 女人, 妇女, 女仆
a. 女用的, 女性的, 妇女的
vt. 贬称...为女人, 使成女人腔"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
equipment,"n. 装备, 设备, 才能
"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
lost,"a. 失去的, 遗失的, 迷惑的
lose的过去式和过去分词"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
emotion,"n. 情绪, 激动, 强烈的情感
"
Saturday,n. 星期六
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
seven,"num. 七, 七个"
down,"a. 向下的
adv. 下, 下去, 降下
prep. 往下, 沿着
n. 丘陵, 软毛, 开阔的高地
"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
library,"n. 图书馆, 藏书, 库
"
twice,"adv. 两次, 两倍"
yesterday,"n. 昨天
adv. 昨天"
guy,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
danger,"n. 危险, 威胁
"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
blackboard,n. 黑板
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
avoid,"vt. 避免, 防止, 撤消
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
tape,"n. 带子, 录音带, 磁带, 窄带, 卷尺
vt. 以带子绑起, 测量, 录音
"
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
restroom,n. 洗手间；休息室；更衣室；厕所
ninth,"num. 第九, 九分之一"
month,"n. 月
"
remain,"vi. 保持, 逗留, 剩余
"
wound,"n. 创伤, 伤口, 伤疤, 伤害, 痛苦
vt. 伤害, 损害, 使受伤
vi. 打伤, 伤害
wind的过去式和过去分词"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
rabbit,"n. 兔子
vi. 猎兔
vt. 让...见鬼去"
supper,n. 晚餐
know,"v. 知道, 了解, 认识, 确信"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
quick,"a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的
adv. 快
n. 新长出的肉, 要害, 核心, 感觉敏锐部位"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
ten,"num. 十, 十个"
guest,"n. 客人, 来宾, 旅客
"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
silk,"n. 丝, 绸, 绸锻类, 丝织品
a. 丝的, 丝织的"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
her,"pron. 她的, 她"
probably,"adv. 大概, 或许"
distance,"n. 距离, 远方, 遥远
"
river,"n. 河, 江
"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
group,"n. 团体, 组, 团, 群
v. 聚合, 成群
"
up,"a. 向上的, 起床的, 涨的
adv. 向上, 上涨
prep. 在...上面, 向...的较高处"
member,"n. 成员, 会员
"
especially,"adv. 尤其, 特别, 格外"
immediately,"adv. 直接地, 立刻, 立即"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言
"
five,"num. 五, 五个"
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
latest,a. 最近的
thank,"n. 谢意, 感谢
vt. 谢谢, 感谢"
because,conj. 因为
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
bank,"n. 银行, 堤, 岸
"
dinner,"n. 晚餐, 正餐, 宴会"
