fabled,"a. 寓言(或传说、神话)中的, 虚构的"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
keep back,"na. 隐瞒；阻止；阻止向前；忍住
"
treason,"n. 叛逆, 不忠, 叛国罪
"
disloyalty,"n. 不忠实, 不忠行为, 不义"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
revere,"vt. 崇敬, 敬畏, 尊敬"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
disposed,"a. 愿意, 倾向于"
temporal,"a. 时间的, 暂时的, 现世的, 世俗的, 颞的, 太阳穴的
n. 世间万物, 教会财产"
provide for,"v. 为…作准备
"
solace,"n. 安慰, 安慰之物
vt. 安慰, 抚慰, 给与安慰, 使轻松"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
snare,"n. 陷阱, 诱惑, 圈套
vt. 以陷阱捕获, 诱惑"
comport,"vt. 举动, 表现
vi. 相称, 适合"
call in,"na. 招；叫进；引入；调入
"
subjugation,"n. 征服, 镇压, 平息
"
martial,"a. 战争的, 军事的, 尚武的, 威武的
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
submission,"n. 屈服, 服从, 谦恭, 呈递, 提交, 意见
"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
entreaty,"n. 恳求, 乞求"
supplication,"n. 恳求, 哀求, 祈愿
"
beseech,"v. 恳求, 哀求"
avert,"vt. 转开, 避免, 防止"
remonstrate,"vi. 表示异议, 抗议, 责备
vt. 抗议地说"
prostrate,"a. 拜倒的, 降伏的, 俯卧的, 衰竭的, 沮丧的
vt. 弄倒, 使屈服, 使俯伏, 使平卧"
throne,"n. 王座, 君主"
implore,"vt. 恳求, 哀求"
interposition,"n. 插入中间, 介入, 干涉
"
tyrannical,"a. 暴虐的, 暴君的, 残暴的"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
spurn,"n. 踢开, 拒斥
vt. 踢开, 冷落, 践踏, 唾弃
vi. 藐视, 摒弃"
inviolate,"a. 未亵渎的, 未受侵犯的, 无污点的"
inestimable,"a. 无价的, 无法估计的"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
basely,"adv. 下贱地, 卑鄙地"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
irresolution,"n. 无决断, 优柔寡断
"
effectual,"a. 有效果的, 会应验的, 有法律效力的"
supinely,"adv. 掌心向上地, 仰卧地"
delusive,"a. 困惑的, 迷惑的, 欺瞒的"
phantom,"n. 幻影, 虚位, 幽灵, 化身, 令人恐惧的事物, 骇人的想法
a. 幻觉的, 幻影的, 幽灵的, 虚无飘渺的, 捉摸不定的, 有名无实的"
vigilant,"a. 警觉的, 警戒的, 警惕的
"
clanging,v. （使）叮当地响( clang的现在分词 )
extenuate,"vt. 减轻, 为...找借口
"
gale,"n. 狂风, 大风, 定期租金
"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
brethren,"n. 弟兄们, 教友们"
Senate,"n. 参议院, 立法机构, 评议会"
insofar,adv. 在...的范围
restraint,"n. 抑制, 克制, 束缚
"
binge,"n. 狂闹, 狂欢"
reaffirmation,"n. 再断言, 再确认"
pornography,"n. 色情描写, 黄色书刊, 色情画, 色情照片, 色情文学
"
courtship,"n. 求爱, 求婚, 求爱时期"
repression,"n. 抑制, 压抑, 制止
"
Puritanism,"n. 清教, 清教主义"
husky,"n. 强壮结实之人, 爱斯基摩人
a. 有壳的, 声音沙哑的, 强壮的"
reservation,"n. 保留, 预定, 保留品, 保留地
"
applaud,"v. 拍手喝彩, 称赞, 赞同"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
allege,"vt. 宣称, 主张, 提出, 断言
"
discriminate,"v. 区别, 差别待遇"
enforce,"vt. 强迫, 执行, 坚持
"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
dole,"n. 救济品, 失业救济金
vt. 发放救济"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
destitution,"n. 穷困, 贫穷, 缺乏"
appalled,a. 惊骇的；丧胆的
customary,"a. 习惯的, 惯常的
"
dreadful,a. 可怕的
overtake,"vt. 赶上, 突然降临于, 压倒, 代替"
marrieds,n. <非正>已婚的年轻人( married的名词复数 )
impotent,"a. 无力的, 虚弱的, 无效的, 阳萎的"
unsurpassed,"a. 未被超越的, 非常卓越的"
parliamentary,"a. 国会的, 议会的, 议会制度的"
resourceful,"a. 资源丰富的, 策略的, 机智的
"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
navigator,"n. 航海家
"
accidentally,"adv. 偶然地, 意外地"
cannonball,n. 炮弹
bog,"n. 沼泽
vt. 使陷于泥沼
vi. 陷于泥沼"
bog down,"陷入困境, 停顿"
zero in, 瞄准具校正
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
guesstimate,"vt. 瞎猜, 瞎估计"
approximation,"n. 接近, 近似值
"
outlet,"n. 出口, 发泄方法, 市场
"
mass merchandiser,超型市场
telecommunications,"n. 电信, 通讯, 电信学
"
tuner,"n. 调音师, 调音的人, 调节器
"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
guesswork,"n. 臆测, 猜测, 凭猜测所作之工作"
balance out, 相抵，平衡
broadcloth,"n. 各式细平布, 绒面呢"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
"
cookware,"n. <美>[总称]烹饪用具,炊具"
unpopped,[网络] 不受欢迎
kernel,"n. 核心, 中心, 精髓, 内核
"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
nautical,"a. 海上的, 航海的, 船员的"
resentment,"n. 怨恨, 愤恨"
weeding,n. 除草；除杂草；（图书馆馆藏）汰旧更新
muffled,a. 听不清的；蒙住的
filthy,"a. 污秽的, 丑恶的"
slut,"n. 懒妇, 荡妇"
overgrown,"a. 发育过度的, 生长过大的, 不合身的, 植被蔓生的
overgrow的过去分词"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
outburst,"n. 爆发, 突发, 破裂, 暴乱"
impassive,"a. 无感情的, 冷淡的, 无感觉的, 不能伤害的"
paranoid,"a. (似)患妄想狂的, (似)患偏执狂的
n. 患妄想狂的人"
schizophrenic,"a. 精神分裂症的
"
crescendo,n. 声音渐强
laboriously,adv. 辛苦地；费力地；不流畅地
burgeon,"n. 芽, 嫩枝
v. 萌芽, 发芽"
harassing,"v. 侵扰, 骚扰( harass的现在分词 ); 不断攻击（敌人）"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
medication,"n. 药物治疗, 药物处理, 医药
"
adrenaline,"n. 肾上腺素
"
primordial,"a. 原始的, 自原始时代的
"
lurk,"n. 潜伏, 潜行
vi. 暗藏, 潜伏, 埋伏
"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
antipsychotic,a. 安定药
empathy,"n. 移情作用, 共鸣
"
incessantly,"adv. 不断地, 不停地; 接连不断; 连绵不断; 不已"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
inflammation,"n. 怒火, 发火, 燃烧, 发炎
"
colon,"n. 冒号, 结肠
"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
affliction,"n. 苦恼, 折磨, 苦恼的事由"
appellation,"n. 名称, 称号
"
hallucination,"n. 幻觉, 幻想
"
searing,a. 灼热的
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
sandpaper,"n. 砂纸
"
epidermis,"n. 表皮, (昆虫的)真皮
"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
loathsome,"a. 讨厌的, 可恶的, 令人憎恶的"
scarecrow,"n. 稻草人, 衣衫褴褛的人"
gnawing,"n. 咬, 不断的苦痛
a. 咬的, 令人苦恼的"
fall in,"集合, 倒塌, 到期
"
superstructure,"n. 上部构造, 上层建筑
"
travail,"n. 分娩的痛苦, 阵痛, 辛劳
vi. 发生阵痛, 辛劳"
embryo,"n. 胚胎, 胎儿, 胚芽
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
splatter,"vt. 使水等飞溅, 结结巴巴地讲
vi. 发溅泼声, 说话结巴
n. 飞溅"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
peremptorily,"adv. 断然地, 不容置疑地, 紧急地, 独断地, 蛮横地"
whirl,"n. 回旋, 旋转, 急走, 眩晕
vt. 使旋转, 使回旋, 卷走
vi. 回旋, 旋转, 急走, 发晕"
shrill,"n. 尖声
a. 尖锐的, 刺耳的
vt. 尖声说出
vi. 发出刺耳声"
hemophiliac,"a. 血友病的
n. 血友病患者"
chunk,"n. 大块, 矮胖的人(或物)
"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
coordination,"n. 同等, 协调
"
fair play,"公平比赛, 公平条件
"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
crudely,"adv. 照自然状态, 未成熟地, 粗杂地"
desensitize,"vt. 使麻木不仁, 使不敏感
"
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
make-believe,"假装
"
morph,"[计] 形态, 词态"
bunny,n. 兔子
serpent,"n. 巨蛇座, 蛇, 蛇形管, 狡猾的人"
inhabitant,"n. 居民, 居住者
"
tire,"n. 轮胎, 头饰
vt. 使疲倦, 使厌烦, 打扮
vi. 疲劳, 厌倦"
wad,"n. 小软团, 小软块, 一卷, 填料, 大量
vt. 揉成一团, 填塞"
papier-mâché,无
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
peck,"n. 配克(英美干量单位), 啄痕, 啄食, 许多
vt. 啄, 啄食, 琢, 凿成, 扔
vi. 啄, 吹毛求疵, 啄食, 勉强吃
"
joystick,"n. (飞机的)操纵杆
"
momentary,"a. 瞬间的, 刹那间的"
hypnotic,"a. 催眠的, 在受催眠状态中, 易于催眠的
n. 催眠药, 安眠药, 催眠状态的人"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
sterile,"a. 不毛的, 不孕的, 无菌的, 贫瘠的, 无效的, 枯燥的
"
hesitant,"a. 迟疑的, 踌躇的, 犹豫不定的"
pickup,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像
"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
give-and-take,"平等交换, 互让, 交换意见"
vulnerability,"n. 易受伤, 易受责难, 易受伤部位
"
one-liner,"n. 简短
"
zinger,n. 有力的反驳/警句
caustic,"n. 腐蚀剂
a. 腐蚀性的"
put-down,"na. 平定；贬低(的话)；(飞机的)降落
"
alliance,"n. 联盟, 联合
"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
zap,"vt. 杀死, 快速推动, 闪电般击中
vi. 快速移动
n. 活力, 精力, 震击
interj. (表示快速)嚓"
intimidate,"vt. 威胁, 恐吓
"
gadget,"n. 小配件, 小玩意, 诡计"
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
tiptoe,"n. 脚尖
vi. 用脚尖走
adv. 踮着脚
a. 踮着脚走的, 偷偷摸摸的"
all too,太
hideous,"a. 丑恶的, 可憎的, 令人沮丧的"
psychotic,"a. 精神病的
n. 精神病患者"
carnage,"n. 大屠杀, 残杀"
maim,"vt. 使残废, 使不能工作, 使伤残
"
immorality,"n. 不道德, 道德败坏, 不道德的行为, 伤风败俗的行为"
provost,"n. 教务长, 监督员, 牧师
"
questionnaire,"n. 调查表, 问卷
"
reprehensible,"a. 应斥责的, 应该谴责的
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
rig,"n. 装备, 帆装
vt. 装配, 装扮, 给船装帆, 垄断, 操纵"
enlightened,"a. 有知识的, 进步的, 文明的"
seemingly,"adv. 看来似乎, 表面上看来"
beneficent,"a. 仁慈的, 慈善的, 善行的"
benevolent,"a. 善意的, 慈善的"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
prevalent,"a. 普遍的, 流行的"
disk jockey," 圆薄膜, 圆膜片"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
wicked,"a. 坏的, 邪恶的, 缺德的, 刻毒的, 恶劣的, 淘气的"
mores,"n. 习惯, 道德态度, 惯例, 习俗
"
revealing,"a. 暴露的, 显露的, 揭露的"
abstraction,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品
"
bribe,"n. 贿赂
vt. 贿赂, 收买
vi. 行贿"
persona,"n. 人, 人物, 角色, 外表印象, 人格面具
"
