shirt,"n. 衬衫, 内衣, 汗衫"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
yellow,"n. 黄色
a. 黄色的"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
let's,abbr. let us 让我们
let us,[网络] 让我们；让我们自己；让我们一起
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
go shopping,去买东西
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
to,"prep. 到, 向, 趋于
adv. 向前"
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
cinema,"n. 电影院, 电影"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
supermarket,"n. 超级市场
"
tomato,"n. 番茄, 西红柿"
potato,n. 马铃薯
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
