short-term,[经] 短期
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
make sense,有意义
cater,"v. 提供饮食及服务, 投合, 迎合"
ambulance,"n. 救护车
"
bingo,"n. 宾戈(一种赌博游戏), 烈酒"
herb,"n. 药草, 香草
"
seagull,n. 鸥
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
Oceania,n. 大洋洲
inn,"n. 旅馆, 客栈
vi. 住旅馆"
Midwestern,[网络] 中西部
one's flesh and blood,亲属，亲骨肉；和自己气味相投的人
one's own flesh and blood,亲骨肉
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
swap,"n. 以货易货
v. 交换, 替换, 交易
"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
accountant,"n. 会计人员, 会计师
"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
waitress,"n. 女侍者, 女服务员"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
physicist,"n. 物理学家, 机械唯物论者, 自然科学家
"
biologist,"n. 生物学家
"
botany,"n. 植物学
"
biochemistry,"n. 生物化学
"
analytical,"a. 分析的, 善于分析的, 解析的
"
bungalow,n. 平房
skateboard,n. 溜冰板
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
bakery,n. 面包店
botanical,"a. 植物学的
n. 植物性药材"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
currency,"n. 货币, 通货, 流通, 通用
"
word of mouth,n. 口头传述的，口碑
Romany,"n. 吉普赛人, 吉普赛语
a. 吉普赛人的"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
precise,"a. 精确的, 严谨的, 明确的
"
council,"n. 会议, 委员会
"
Gypsy,"n. 吉卜赛人, 吉卜赛语
a. 象吉卜赛人的
vi. 流浪"
fortune-telling,"n. 算命；占卜
adj. 算命的"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
thief,"n. 小偷, 贼
"
rob,"v. 抢夺, 抢掠, 剥夺"
collision,"n. 碰撞, 冲突, 抵触
"
Norway,n. 挪威
Switzerland,n. 瑞士
gay,"a. 欢快的, 艳丽的, 快乐的, 放荡的"
Jew,"n. 犹太人, 守财奴, 犹太教信徒
vt. 欺骗, 杀价"
Nazi,"n. 纳粹党人；纳粹主义信徒
adj. 纳粹党的；纳粹主义的
n. (Nazi)人名；(布基)纳齐；(俄)娜济"
controversial,"a. 争论的, 论争的, 被议论的"
at best,"na. 充其量也不过
"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
bathe,"vt. 沐浴, 用水洗
vi. 洗澡"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
sideways,"adv. 向旁边, 向侧面地
a. 旁边的, 向侧面的"
HIV,[网络] 电压
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
outward,"a. 向外的, 表面的, 外服的
adv. 向外, 在外, 表面"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
unprotected,"a. 没有防卫的, 无掩护的, 未设防的, 没有保护人的, 不受关税保护的
"
breast,"n. 胸部, 乳房, 胸怀
vt. 以胸对着, 面对"
abortion,"n. 流产, 堕胎, 失败, 夭折, 中止
"
mosquito,"n. 蚊子
"
sneeze,"n. 喷嚏
vi. 打喷嚏"
burst on the scene,无
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
agenda,"pl. 议程, 日常工作事项
"
prescription,"n. 处方, 命令, 指定
"
prevention,"n. 阻止, 妨碍, 预防
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
discriminate,"v. 区别, 差别待遇"
weapon,"n. 武器, 兵器
vt. 武装"
additional,"a. 附加的, 另外的, 额外的
"
pain pill,[网络] 止痛丸
case study,
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
over-the-counter medicine,[网络] 非处方药；成药；既成药
over-the-counter drug,[网络] 非处方药；处方在杂货店就可买到；不需医生处方的药品
antibiotic,"n. 抗生素
a. 抗生的"
drawer,"n. 抽屉, 开票人
"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
porridge,"n. 粥, 糊"
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
reaction,"n. 反应, 反作用, 反动
"
upper,"a. 上面的, 较高的, 上级的, 上院的, 穿在外面的, 北部的, 地表的, 后期的
n. 鞋帮, 上齿"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
appetite,"n. 食欲, 欲望, 爱好
"
nicotine,"n. 烟碱, 尼古丁
"
caffeine,"n. 咖啡因, 咖啡碱
"
cocoa,"n. 可可粉, 可可茶, 可可色
"
downer,"n. 镇定剂, 令人沮丧的人"
artificial,"a. 人造的, 假的, 非原地产的
"
heroin,"n. 海洛因, 吗啡
"
downward,a. 向下的
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
LSD,abbr. 大屏显示（Large Screen Display）；激光信号装置（Laser Signal Device）；最小显著差别（Least Significant Difference）；最低有效位（Least Significant Digit）；麦角酸二乙基酰胺（一种麻醉药，lysergic acid diethylamide）
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
over again," 再一次, 重新, 重复"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
abuser,n. 滥用者
cybercrime,n. 网络犯罪
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
download,"[计] 卸载, 下栽"
delete,"vt. 删除
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
hatred,"n. 憎恨, 仇恨, 憎恶
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
property,"n. 财产, 所有权, 性质, 属性
"
assess,"vt. 估定, 对...征税, 评定
"
cheque,n. 支票
bank account,银行存款；银行往来帐户
ripe,"a. 成熟的, 熟练的, 成年的
"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
database,"n. 数据库
"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
visa,"n. 签证
vt. 签发"
cooperation,"n. 合作, 协力, 配合
"
join forces, （同…）联合; 并力; 会师; 合力
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
applicant,"n. 申请者
"
penfriend,n. <英>笔友
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
cafeteria,"n. 自助餐厅
"
conscience,"n. 良心
"
lid,"n. 盖子, 限制, 眼睑
vt. 给...盖盖子"
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
suspension,"n. 悬挂, 暂停, 中止
"
the World Intellectual Property Organization,无
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
smooth,"a. 平滑的, 平稳的, 流畅的, 和蔼的, 安祥的, 圆滑的, 调匀的, 无毛的
vt. 使光滑, 烫平, 使平和, 消除
vi. 变平滑, 变平静
n. 一块平地, 平滑部分"
the World Trade Organization,[网络] 主题十六世界贸易组织；世界贸易组织协议；世界商贸组织
put into effect,"使生效, 执行...
"
luggage,"n. 行李, 皮箱"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
authentic,"a. 可靠的, 可信的, 真正的
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
compensate,"v. 偿还, 补偿, 付报酬"
