feather,"n. 羽毛
vi. 长羽毛
vt. 用羽毛装饰"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
energy,"n. 精力, 精神, 活力, 能量
"
thankful,"a. 感谢的, 感激的, 欣慰的"
careless,"a. 粗心的, 不关心的, 无忧无虑的"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
inspector,"n. 检查员, 巡视员
"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
raincoat,n. 雨衣
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
recorder,"n. 记录员, 录音机
n. 记录器
"
businessman,"n. 商人, 实业家, 工商业家"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分
vi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖
vt. 使休息, 使支撑, 把...寄托于"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
spell,"n. 符咒, 魅力, 轮值, 轮班, 工作时间, 一次发作
vt. 拼写, 拼成, 琢磨, 理解, 招致, 轮换, 迷住
vi. 轮换, 拼字"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
drought,"n. 干旱, 缺乏"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
chopstick,n. 筷子
wise,"a. 明智的, 慎虑的, 聪明的, 博学的, 狡猾的, 机灵的
vi. 知道
vt. 教导, 告诉, 劝导
n. 方法, 方式
"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
bit,"n. 少量, 马嚼子, 辅币
vt. 给马上嚼子, 控制
bite的过去式和过去分词
"
decision,"n. 决定, 决心, 决断
"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
yet,"adv. 还, 尚, 仍然, 已经, 然而
conj. 然而"
worried,"a. 担心的, 闷闷不乐的"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
headache,"n. 头痛, 令人头痛之事
"
noodle,"n. 面条, 笨蛋"
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情
vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇
vi. 着火, 烧火, 开枪, 射击, 激动"
cinema,"n. 电影院, 电影"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
midnight,"n. 午夜, 子夜, 半夜
a. 午夜的, 半夜的"
neighbour,"n. 邻居, 邻接的东西, 邻国, 邻座, 邻人, 世人
a. 邻接的, 邻近的
vi.vt. 邻近, 与...结邻, 邻接"
cent,"n. 分
"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
"
tourist,"n. 观光客, 旅行者
a. 旅游的"
none,"adv. 一点也不, 毫不
pron. 没有人, 无一物, 并无一个
a. 没有的"
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
lazy,"a. 懒惰的, 怠惰的, 缓慢的
vi. 懒散"
nod,"n. 点头, 打盹, 晃动
vi. 点头, 打盹
vt. 点头表示, 点(头)"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
while,"n. 一会儿, (一段)时间
conj. 当...的时候, 虽然
vt. 消磨"
clone,"n. 无性系
"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
province,"n. 省, 地方, 职权, 领域
"
prevent,"v. 预防, 防止, 阻止, 妨碍"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
celebrate,"v. 庆祝, 祝贺, 举行"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
tale,"n. 故事, 谎言, 谣言, 陈述, 叙述
"
cabbage,"n. 卷心菜
"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
coal,"n. 煤, 木炭
v. 加煤"
bookmark,"n. 书签
"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
till,"prep. 直到, 在...以前, 迄
conj. 直到...为止
vt. 耕种
n. 放钱的抽屉, 备用现金, 冰碛"
beg,"v. 乞求, 乞讨, 请求"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
dozen,"n. 打, 十二个
a. 一打的"
difference,"n. 不同, 差异
"
chips,n. 炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
describe,"vt. 描述, 描绘, 画"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
science,"n. 科学, 学科, 学问, 自然科学
"
crazy,"a. 发狂的, 狂热的"
salesgirl,n. 女店员
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
rely,"vi. 信赖, 依赖, 信任"
carrot,"n. 胡萝卜
"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
thirsty,"a. 口渴的, 渴望的, 干燥的"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
online,[计] 联机
towel,"n. 手巾, 毛巾
v. 擦干身子"
almost,"adv. 几乎, 差不多"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
rim,"n. 边, 轮缘, 框
vt. 镶边, 为...装边
vi. 形成边缘"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
dialogue,"n. 对话
vi. 对话
vt. 用对话表达"
education,"n. 教育, 训练, 教育学
"
policeman,"n. 警察
"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
neither,"adv. 皆不, 两个都不
a. (两者)都不的
pron. 两者都不
conj. 既非, 既不"
deserve,"vt. 该得到, 值得
vi. 应得报答"
tennis,n. 网球
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
jeans,"n. 工装裤, 牛仔裤"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
tomb,"n. 坟墓, 死亡
vt. 埋葬"
though,"adv. 然而, 可是
conj. 虽然, 纵然"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
training,"n. 训练, 培养
"
furniture,"n. 家具, 帆具"
fridge,n. 电冰箱
robbery,"n. 抢掠, 抢夺
"
coke,"n. 可口可乐, 焦炭
v. (使)成焦炭"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
thread,"n. 线, 丝, 纤维, 线索
vt. 穿线于, 穿过, 通过, 用线穿成
vi. 穿过
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
copy,"n. 副本, 摹仿, 一册
v. 复印, 抄袭, 复制
"
quarrel,"n. 吵架, 反目, 怨言, 方头凿
vi. 吵架, 争论, 挑剔"
breath,"n. 呼吸, 气息, 瞬间
"
build,"v. 建立, 建筑
n. 构造, 体格"
population,"n. 人口, 人口数
"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
theatre,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
sunshine,"n. 阳光, 光明, 晴天"
result,"n. 结果, 成绩, 答案
vi. 产生, 结果, 致使
"
instruction,"n. 指令, 教导, 命令
"
success,"n. 成功, 成就, 胜利"
village,"n. 村庄
a. 乡村的, 村庄的"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
whenever,"conj. 每当
adv. 不论何时, 每逢"
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
mile,"n. 英里, 很大距离
"
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
iceberg,"n. 冰山, 冷冰冰的人"
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
"
oil,"n. 油, 石油, 油画颜料
vt. 涂油于, 使融化成油状, 加油于
vi. 加燃油, 融化"
shall,aux. 将
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
daytime,"n. 白天, 日间"
sock,"n. 短袜, 鞋垫, 一击
vt. 重击, 猛投, 给...穿袜
vi. 打击
adv. 正着地, 不偏不倚地
a. 非常成功的"
so-called,adj. 所谓的
panda,"n. 大熊猫, 小熊猫"
crossing,"n. 横越, 横渡, 交叉点, 渡口
"
goat,"n. 山羊, 替罪羊, 色鬼"
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
soap,"n. 肥皂, 阿谀
vt. 以肥皂洗, 阿谀
"
barn,"n. 谷仓
"
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
voice,"n. 声音, 嗓音, 嗓子, 愿望, 发言权, 表达, 喉舌, 语态
vt. 表达, 吐露, 调音"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
tooth,"n. 牙齿, 齿状物, 爱好
vt. 装以齿, 将...切成齿状
vi. 啮合"
pull,"vt. 拉, 拖, 拔, 牵, 撕开, 吸引
vi. 拉, 拖, 拔, 有吸引力
n. 拉, 拖, 拔, 拉力, 牵引力, 划船, 吸引"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
spoon,"n. 匙, 调羹, 匙形工具
vt. 以匙舀起, 调情, 使成匙状"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
fact,"n. 事实, 真实性, 真相, 细节, 论据"
cafe,"n. 咖啡馆, 酒店"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
conversation,"n. 会话, 说话, 交谈
"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
enter,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
"
bookshop,n. 书店
excite,"vt. 刺激, 使兴奋, 激励"
suddenly,"adv. 突然, 意外, 忽然, 迅速, 即席作成, 即刻, 急速"
parrot,"n. 鹦鹉, 应声虫
vt. 学舌, 机械地模仿"
chest,"n. 胸, 胸部, 衣柜, 箱子
"
decide,"v. 决定, 判决"
plenty,"n. 充分, 很多, 丰富
a. 很多的, 足够的, 丰富的"
neck,"n. 脖子, 衣领, 颈
vi. 拥抱, 拥吻, 收缩
vt. 割颈"
safety,"n. 安全, 保险, 平安, 保安设备
vt. 保护, 防护"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
courage,"n. 勇气, 胆量"
thief,"n. 小偷, 贼
"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
dumpling,"n. 面团布丁, 团子"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
feeling,"n. 摸, 触觉, 知觉, 感觉, 情绪, 同情
a. 有同情心的, 有感觉的, 仁慈的, 动人的"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
ridge,"n. 脊, 山脊, 山脉
"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
potato,n. 马铃薯
dare,"n. 挑战, 挑动, 大胆
v. 敢, 胆敢"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
disease,"n. 疾病, 弊病
"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
joy,"n. 欢喜, 乐事, 高兴
vt. 使快乐, 令人高兴
vi. 欢喜"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
exactly,"adv. 确切地, 精确地, 恰好, 完全地, 确实, 恰恰正是, 确实如此"
