international,"a. 国际的
n. 国别设定
"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
dividend,"n. 被除数, 股利
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
stoop,"n. 佝偻, 屈从, 弯腰
vi. 弯下, 屈从, 弯腰, 堕落
vt. 使屈从, 使弯曲"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
max,[计] 最大
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
enter,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
cloak,"n. 斗蓬, 大氅, 掩护
vt. 遮掩, 隐匿, 使披斗蓬"
carve,"v. 雕刻, 切开"
carpenter,n. 木匠
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
thorn,"n. 刺, 棘, 荆棘"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
colleague,"n. 同事, 同僚"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
seed,"n. 种子, 籽, 萌芽, 子孙, 精液
vt. 在...播种, 催...发育, 脱...籽
vi. 结实, 播种"
men,pl. man的复数
semen,"n. 精液, 精子
"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
seminar,"n. 研究班, 专题讨论会
"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
longer,adv. 比较久
astonish,vt. 使惊讶
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
stunning,"a. 打昏迷的, 弄得人昏头昏脑的, 令人震惊的"
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
crucial,"a. 决定性的, 重要的, 严厉的
"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
knit,"v. 编织, 结合"
knot,"n. 结, 群, 难题
v. 打结, (使)纠缠"
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
infect,"vt. 传染, 感染
"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
rouse,"n. 觉醒, 奋起, 干杯
vt. 唤醒, 鼓舞, 激动, 使振奋, 惊起
vi. 醒来, 奋起"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
canny,"a. 精明的, 谨慎的, 节约的"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
uncanny,"a. 怪诞的, 可怕的, 离奇的, 神秘的"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
wither,"vt. 使凋谢, 使消亡, 使畏缩
vi. 枯萎, 衰退"
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
mister,n. 先生
masterpiece,"n. 杰作, 名著"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
indicate,"vt. 显示, 象征, 指示, 指出
"
indicator,"n. 指示器, 指示剂, 指标
"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
hat,"n. 帽子
vt. 给...戴帽子"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
"
porch,"n. 门廊, 走廊"
thick,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的
adv. 厚地, 密地, 浓浓地
n. 最浓处, 最厚处, 最密集处
"
thigh,"n. 大腿, 股
"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
shin,"n. 胫骨
v. 攀, 爬"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
utile,a. 有用的；有益的
futile,"a. 无用的, 琐细的, 不重要的"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
cliff,"n. 悬崖, 绝壁"
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
road,"n. 路, 道路, 公路, 途径, 方法
"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
vanish,"vi. 消失, 不见, 成为零"
vanity,"n. 虚荣心, 虚无, 自负, 空虚, 时髦的小摆饰"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
simultaneous,"a. 同时的, 同时发生的
"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
bruising,[化] 硬伤
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
error,"n. 错误, 过失, 失误, 误差
"
erroneous,"a. 错误的, 不正确的
"
wise,"a. 明智的, 慎虑的, 聪明的, 博学的, 狡猾的, 机灵的
vi. 知道
vt. 教导, 告诉, 劝导
n. 方法, 方式
"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
blood,"n. 血, 血统, 流血, 气质, 生命
vt. 使出血, 用血涂"
hither,"a. 这边的, 在这边的
adv. 向这边, 向此处"
hitherto,"adv. 迄今, 至今"
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
anthropic,"a. 人类的, 有关人类的"
ethnic,"a. 人种的, 种族的
"
anthropology,"n. 人类学
"
philanthropic,"a. 慈善(事业)的, 博爱的, 乐善好施的
"
android,"n. 机器人
"
gloom,"n. 忧郁, 暗处, 幽暗
vi. 变忧沉, 变黑暗
vt. 使忧郁, 使黑暗"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
glowing,"a. 白热的, 灼热的, 通红的, 鲜艳的
"
mingle,v. (使)混合
mix,"n. 混合物, 混乱, 糊涂
vt. 使混合, 弄混, 使结合, 混淆
vi. 相混合, 交往, 参与"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
refugee,"n. 难民, 流亡者
"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
deplete,"vt. 耗尽, 使衰竭
"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
hospitality,"n. 款待, 亲切, 殷勤"
hospital,"n. 医院
"
hostility,"n. 敌意, 敌对, 反对"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
tile,"n. 砖瓦, 瓷砖, 瓦片
vt. 铺以瓦, 铺以瓷砖
"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
bosom,"n. 胸部, 胸, 胸怀, 内部, 中间
vt. 怀抱"
a bosom friend,无
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
bottom line,"n. 概要, 账本底线"
enhance,"vt. 提高, 加强, 增加"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
durable,"a. 持久的, 耐用的"
duration,"n. 持续时间, 持续
"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
reside,"vi. 住, 居留, 属于
"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
preside,"vi. 统辖, 当主人, 主持
"
prude,"n. 拘守礼仪的人, 故作正经的人"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药
vt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
futile,"a. 无用的, 琐细的, 不重要的"
utile,a. 有用的；有益的
utilize,vt. 利用
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
extensive,"a. 广的, 广泛的, 多方面的
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
tentative,"n. 试验
a. 试验性的, 暂时的"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attendance,"n. 出席, 出席的人数, 照料
"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
incite,"vt. 刺激, 激励, 引诱
"
incentive,"n. 动机
a. 激励的"
excite,"vt. 刺激, 使兴奋, 激励"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
guise,"n. 相似, 外观, 伪装
v. 穿戴, 伪装"
misguide,vt. 误导
psychology,"n. 心理学, 心理状态
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
physiology,"n. 生理学, 生理机能
"
physiological,"a. 生理学的, 生理学上的, 生理机能的
"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
initiator,"n. 创始者, 首倡者, 引爆药
"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
whirl,"n. 回旋, 旋转, 急走, 眩晕
vt. 使旋转, 使回旋, 卷走
vi. 回旋, 旋转, 急走, 发晕"
wire,"n. 电线, 电报, 电信, 铁丝网, 金属丝
vt. 用金属丝捆扎, 拍电报
vi. 打电报"
sorb,"n. 山梨树
v. (被)吸附, (被)吸收"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
sturdy,"a. 强健的, 健全的
"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
grin,"n. 露齿笑
v. 露齿而笑"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
avoid,"vt. 避免, 防止, 撤消
"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
mourn,"v. 哀悼, 忧伤, 服丧"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
doze,"vi. 打瞌睡, 假寐
vt. 打瞌睡度过
n. 瞌睡"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
