a,"第一个字母 A; 一个; 第一的
art. "
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
office,"n. 办公室, 部, 公职, 职责
"
part-time,n. 兼任，部分时间
passenger,"n. 乘客, 旅客
"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
receptionist,n. 接待员
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
restaurant,"n. 餐馆, 饭店"
salesperson,n. 售货员
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
server,"n. 服伺者, 上菜用具, 发球员
n. 服务器
"
similar,"a. 相似的, 类似的
n. 相似的东西"
singer,n. 歌手
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
stay up,不睡觉
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
travel industry,旅游业
until,"prep. 直到, 在...以前
conj. 直到...时, 在...以前"
usually,"adv. 通常, 大抵"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
weather report,气象报告
Web-site designer,无
worst,"n. 最坏, 最坏的时候
a. 最坏的, 最恶劣的, 最不利的
adv. 最坏, 最糟"
almost,"adv. 几乎, 差不多"
attractive,"a. 吸引人的, 有魅力的
"
backpack,"n. 远足用的背包；双肩背包, 背包"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
black,"n. 黑色, 黑颜料
a. 黑色的"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
boring,"a. 烦人的, 无聊的, 无趣的
"
bracelet,"n. 手镯
"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
CD,"abbr. (=compact disc)激光唱片
n. 光盘
"
cell phone,n. 手机
cent,"n. 分
"
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
coffee,"n. 咖啡, 咖啡色
"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
customer,"n. 消费者
"
dollar,"n. 美元, 元(加、澳等国货币单位)
"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
earring,"n. 耳环, 耳饰"
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
flea market,跳蚤市场
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
gold,"n. 黄金, 钱财, 金块, 金色, 宝贵
a. 金的, 似金的, 金色的, 金制的"
gray,"n. 灰色, 暗淡
a. 灰色的, 灰白的, 面色苍白的, 年老的, 老练的, 阴沉的
v. (使)变灰色"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
in-line skate,[网络] 溜冰鞋
item,"n. 项目, 条款, 一则, 项
"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
jeans,"n. 工装裤, 牛仔裤"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
look at,"看, 考虑, 着眼于"
loving,"a. 亲爱的, 钟情的, 忠诚的"
meaning,"n. 意义, 含义, 目的, 意图
a. 意味深长的"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
"
mysterious,"a. 神秘的, 难解的, 不可思议的"
necklace,n. 项链
necktie,n. 领带
newspaper,n. 报纸
notebook,"n. 笔记本, 手册, 期票簿"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
paperback book,[网络] 平装书
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
polyester,"n. 聚酯
"
prefer,"vt. 宁可, 较喜欢, 提出
"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
price tag,"价格标签
"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
radio,"n. 无线电, 收音机, 无线电报, 无线电广播, 无线电台
v. 用无线电发送"
reasonable,"a. 合理的, 明理的, 适当的
"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
right there, 就是那儿
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
rubber,"n. 橡皮, 橡胶, 做摩擦动作的人, 按摩师, 决胜盘
vt. 用橡胶制造, 涂橡胶于"
sad,"a. 忧愁的, 悲哀的"
shirt,"n. 衬衫, 内衣, 汗衫"
silk,"n. 丝, 绸, 绸锻类, 丝织品
a. 丝的, 丝织的"
silver,"n. 银, 银币, 银器
a. 银的, 银制的, 银器的
vt. 镀银
vi. 变银白色"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
sock,"n. 短袜, 鞋垫, 一击
vt. 重击, 猛投, 给...穿袜
vi. 打击
adv. 正着地, 不偏不倚地
a. 非常成功的"
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
stylish,"a. 现代风格的, 流行的, 潇洒的"
sunglasses,"n. 太阳镜, 墨镜, 太阳眼镜"
tennis racket,n. 网球拍
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
truthful,"a. 说真话的, 诚实的, 真实的, 如实的
"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
T-shirt,"短袖运动衫,短袖汗衫"
VCR,[网络] 长春新碱
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
yellow,"n. 黄色
a. 黄色的"
actor,"n. 男演员, 行动者
"
actress,n. 女演员
cello,n. 大提琴
classical,"a. 古典的, 正统派的, 经典的
"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
especially,"adv. 尤其, 特别, 格外"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
from ... until,无
from ... till,无
game show,"n. （电视）游戏节目, 有奖竞赛节目"
gate,"n. 门, 牌楼, 大门, 通道, 闸
vt. 装门于
"
go out,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
gospel,"n. 福音, 信仰, 真理"
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
guitar,n. 吉他
have to," 不得不, 只好; 只得; 必须; 不得已"
horror film,恐怖影片
jazz,"n. 爵士乐, 喧闹
a. 爵士乐的, 喧吵的
vi. 演奏爵士乐, 跳爵士舞, 游荡
vt. 奏爵士乐, 使活泼"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
know,"v. 知道, 了解, 认识, 确信"
listen to,听
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
musical instrument, 乐器
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
never,"adv. 从不, 决不, 不曾
"
news,"n. 新闻, 消息, 报导
"
piano,n. 钢琴
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
R&B,节奏与蓝调
rap,"n. 轻敲, 拍击, 责骂, 无价值的东西
vt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷
vi. 敲击, 发敲击声, 交谈, 同情
"
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐
vt. 摇摆, 摇动, 使摇晃, 使动摇
vi. 摇, 摇动"
salsa,n. 洋葱做的辣调味汁；萨尔萨舞曲
soap opera,肥皂剧
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
stadium,"n. 露天大型运动场
"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
talk show,访谈节目
thriller,"n. 使人激动的东西, 使人毛骨悚然的东西, 使人毛骨悚然的小说"
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
video,"n. 影像, 电视
a. 图像的, 电视的"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
voice,"n. 声音, 嗓音, 嗓子, 愿望, 发言权, 表达, 喉舌, 语态
vt. 表达, 吐露, 调音"
western,"n. 西方人, 西部片, 西部小说
a. 向西方的, 来自西方的, 西方的, 西洋的, 西部的"
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
with,"prep. 和...在一起, 以, 由于"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
a few,"几个, 少数, 一些"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
alone,"a. 孤独的, 单独的, 独自的
adv. 独自地"
a lot of,许多的
lots of,"许多的..., 大量的..."
anyone,pron. 任何人
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
because,conj. 因为
between,prep. 在...之间
bus stop,公共汽车站
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
by the age of ..., 到…年龄
child,"n. 孩子, 产物, 追随者
"
college,"n. 学院, 大学, 学会"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
dad,"n. 爸爸, 爹爹"
daughter,"n. 女儿
a. 女儿的"
eat,"v. 吃, 腐蚀"
elevator,"n. 电梯, 升降机
"
e-mail, 电子函政
fact,"n. 事实, 真实性, 真相, 细节, 论据"
family tree,"系谱图, 家谱
"
foreign language,n. 外文，外语; 外国语
government,"n. 政府, 内阁
"
grandfather,"n. 祖父, 始祖
"
grandmother,"n. 祖母, 女祖先"
grandparent,n. 祖父母
husband,"n. 丈夫, 管理人, 节俭的人
vt. 节俭, 使成丈夫, 持有"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
married,"a. 已婚的, 婚姻的
"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
mom,n. 妈妈
money,"n. 金钱, 一笔款, 财富, 货币, 金额
"
move,"n. 移动, 迁居, 步骤
vt. 移动, 开动, 感动, 搬(家)
vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手
"
nearly,"adv. 几乎, 密切地"
nephew,"n. 侄子, 外甥"
niece,"n. 侄女, 甥女"
only child, 独生子
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
percent,"n. 百分比, 百分数, 部分
"
photographer,"n. 摄影师, 摄影者"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
right now,就在此时
secret,"n. 秘密, 机密, 秘诀, 秘方
a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的"
shopping,"n. 买东西, 购物
"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
sister-in-law, 嫂子；姑子
son,"n. 儿子, 女婿, 子孙
"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
stuck,stick的过去式和过去分词
television,"n. 电视
"
together,"adv. 一起, 共同, 彼此"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
typical,"a. 典型的, 象征性的
"
uncle,"n. 叔父, 伯父, 姨丈"
unmarried,"a. 未婚的, 单身的
"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
wait,"n. 等待, 等候
vt. 等候, 期待, 延缓, 伺候, 推迟
vi. 等, 等候, 耽搁, 伺候用餐
"
wife,"n. 妻子, 太太, 夫人
"
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
aerobics,n. 有氧运动法；增氧健身法
athlete,"n. 运动员, 运动选手
"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
baseball,"n. 棒球
"
basketball,n. 篮球
be good at,擅长
bicycle,n. 自行车
chat,"n. 闲谈
vi. 闲谈, 聊天"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
couch potato,"n. 花大量时间看电视的人, 电视迷; 美国人说整天看电视的人是“沙发土豆”"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
enjoy,"vt. 享受, 喜欢, 欣赏
"
enter,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
fitness freak,[网络] 健身迷
football,"n. 足球, 橄榄球"
free time,[计] 空闲时间
gym,"n. +体育馆, 体育训练, 体育课, 体操"
jogging,"n. 慢跑
"
karate,n. 空手道
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
lift weights,举重
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
running,"n. 赛跑, 流出, 运转
a. 流动的, 跑着的, 连续的"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
soccer,n. 英式足球
softball,"n. 垒球运动, 垒球"
sometime,"a. 以前的, 某一时间的
adv. 改天, 来日"
sometimes,"adv. 有时, 时常, 往往"
sports fan, 运动爱好者
swimming,"n. 游泳, 眩晕"
tennis,n. 网球
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
tired,"a. 疲累的, 疲乏的, 厌倦的"
treadmill,"n. 踏车, 令人厌倦的工作
"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
volleyball,n. 排球
walking,"n. 步行, 步态
a. 步行的, 步行用的"
weight training,举重锻炼
work out,"v. 作出；拟定；制定；计划一下
"
yoga,n. 瑜珈
again,"adv. 再一次, 又, 到原处"
amazing,a. 令人惊异的
anybody,"pron. 任何人
n. 重要人物"
anything,pron. 任何事
anywhere,adv. 无论何处
argument,"n. 争论, 论证, 论据, 自变量
"
as usual,照常
away,adv. 离去
awful,"a. 可怕的, 庄严的, 虔敬的"
believe,v. 相信
bookstore,n. 书店
bowling,n. 保龄球戏
broke,"a. 一文不名的
break的过去式"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
dish,"n. 盘子, 碟, 菜肴
"
downtown,"n. 市中心区
a. 市中心的
adv. 往闹市区"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
excellent,"a. 优良的, 杰出的, 出色的"
first of all,首先
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
foggy,"a. 雾深的, 模糊的"
