divulge,"vt. 泄露, 透露"
malady,"n. 病, 疾病, 弊病
"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
puncture,"n. 刺痕, 穿刺
vt. 刺穿, 刺, 揭穿
vi. 被刺穿"
ascribe,"vt. 归因于, 归咎于
"
clandestine,"a. 偷偷摸摸的
"
equivocal,"a. 意义不明确的, 模棱两可的
"
elucidate,"vt. 阐明, 说明"
propaganda,"n. 宣传, 宣传活动
"
putative,"a. 推定的, 被公认的
"
conjecture,"n. 推测, 猜想, 揣摩
v. 推测, 猜想, 揣摩
"
coalesce,"vi. 合并, 联合, 合生
"
tractable,"a. 驯服的, 易于管教的
"
warble,"n. 用颤音唱的歌, 鸟啭, 颤声
v. 鸟鸣, 用柔和的颤声唱"
knotty,"a. 有结的, 多节的, 多瘤的, 棘手的"
dichotomy,"n. 两分, 分裂, 二分法
"
restive,"a. 不愿向前走的, 倔强的, 难驾御的"
courteous,"a. 彬彬有礼, 谦恭的"
invigorate,"vt. 使精力充沛, 鼓舞, 搞活, 使健壮"
truculent,"a. 野蛮的, 粗暴的, 致命的, 好斗的"
congenial,"a. 协调的, 一致的, 适意的, 趣味相同的"
insouciance,n. 无忧无虑
devastate,"vt. 毁坏
"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
ethos,n. 气质；民族精神；社会思潮
flagrant,"a. 极端明显的, 不能容忍的, 恶名昭著的
"
solitude,"n. 孤独, 单独, 孤寂"
anachronism,"n. 时代错误, 不合潮流的人(物)
"
turbid,"a. 浑浊的, 污浊的, 混乱的, 雾重的
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
venerate,"vt. 尊敬, 崇敬, 崇拜"
premeditate,"v. 预谋, 预先考虑"
insular,"a. 岛的, 岛民的, 与世隔绝的, 孤立的, 保守的
"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
upheaval,"n. 举起, 隆起, 大变动, 剧变"
unyielding,"a. 不易弯曲的, 不屈的"
mendacious,"a. 虚假的, 说谎的
"
sonorous,"n. 宏亮的, 响亮的, 作响的
"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
decadent,"a. 衰微的, 颓废的
n. 颓废派"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
covert,"a. 隐蔽的, 偷偷摸摸的, 隐密的
n. 树丛, 隐藏处"
instinct,"n. 本能, 直觉
a. 充满着的"
discern,"v. 辨别, 看清楚, 了解"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
jejune,"a. 贫弱的, 不毛的, 无味干燥的, 不成熟的"
clownish,a. 滑稽的
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
lethargic,"a. 昏睡的, 无生气的, 泠漠的, 冷淡的
"
clique,"n. 派系, 集团
vi. 结党
"
fungible,"a. 可取代的, 代替的
n. 代替物"
complimentary,"a. 问候的, 称赞的, 夸奖的"
empirical,"a. 完全跟据经验的, 经验主义的
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
solicitous,"a. 关心的, 渴望的, 热切期望的, 十分讲究的"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
acrimony,"n. 严厉, 尖刻
"
misconception,n. 误解
mundane,"a. 现世的, 世俗的, 宇宙的"
ambiguous,"a. 不明确的, 模棱两可的
"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
cagey,"a. 狡猾的, 机警的, 有戒心的, 不敢表态的, 小心谨慎的, 不甚友善的"
heresy,"n. 异端, 异教
"
parsimony,"n. 过度节俭, 吝啬, 惜墨如金"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
judicious,"a. 头脑精明的, 贤明的, 判断正确的"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
far-fetched,"adj. 强词夺理的
"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
impulsive,"a. 冲动的, 受感情驱使的, 任性的
"
exculpate,"vt. 使无罪, 开脱
"
overblow,"vt. (风等)吹过, 吹散, 吹落, (风)吹起雪(或沙等)盖住, 夸张, 过分渲染
vi. 吹得过响(指管乐器)"
obfuscate,"vt. 弄暗, 使模糊, 使迷惑"
droll,"a. 好笑的, 滑稽的, 逗趣的"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
exaggerate,"v. 夸大, 夸张"
unwitting,"a. 不知情的, 没有意识到的, 不知不觉的"
inclusive,"a. 包含的, 包括的"
diatribe,"n. 抨击, 谴责"
promulgate,"vt. 发布, 公布, 发表, 传播
"
consilience,"n. 符合, 一致"
ebullient,"a. 沸腾的, 热情的, 热情洋溢的"
bolster,"n. 支持, 长枕
vt. 支持, 支撑"
dispute,"n. 争论
v. 争论"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
coddle,"vt. 娇养, 溺爱, 用文火煮(蛋)"
nuance,n. 细微差别
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
egalitarian,"a. 平等主义的
n. 平等主义"
propitiate,"vt. 慰抚, 安抚, 和解, 谋求...的好感"
futile,"a. 无用的, 琐细的, 不重要的"
unassuming,"a. 谦逊的, 不装腔作势的"
amicable,"a. 友善的, 友好的
"
unfounded,"a. 没有事实根据的, 没有理由的, 虚幻的, 未建立的
"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
apocalypse,"n. 启示, 天启"
authoritative,"a. 权威性的, 官方的, 命令式的
"
clamorous,a. 吵闹的
placate,"vt. 抚慰, 平息, 使和解, 怀柔"
far-reaching,adj. 影响深远的; 有广泛影响的
disinterested,"a. 无私欲的, 廉洁的, 公平的"
embolden,"vt. 使大胆, 使有胆量"
incompatible,"a. 不相容的, 不能并存的, 矛盾的
"
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
lionize,"vt. 将...以名人待之, 游览...的名胜
vi. 结交名流"
preachy,"a. 爱讲道的, 爱教训人的"
illusory,"a. 产生幻觉的, 幻影的, 错觉的
"
profit-monger,[网络] 利润巨人
felicitous,"a. 巧妙的, 极为适当的, 善于措辞的, 可喜的"
averse,"a. 不愿意的, 反对的"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
integrity,"n. 正直, 廉正, 完整
"
conservation,"n. 保护, 保存
"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
pushover,"n. 容易做的工作, 易被劝服的人, 易被击败的人"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
insufferable,"a. 不可忍受的, 忍耐不住的"
sequential,"a. 继续的, 后果的
"
surreptitious,"a. 秘密的, 暗中的, 偷偷摸摸的
"
dispassionate,"a. 冷静的, 不带感情的"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
canned,"a. 罐装的, 录音的, 一稿数用的, 刻板的, 被囚的
"
soft-pedal,"钢琴弱音踏板, 减弱效果的东西"
feign,"vt. 假装, 装作
vi. 作假"
daunting,a. 使人畏缩的
downright,"a. 明白的, 率直的, 十足的
adv. 全然, 彻底, 完全"
autonomous,"a. 自治的
"
indeterminate,"a. 不明确的, 不确定的, 含混的
"
opulent,"a. 富裕的, 豪华的, 奢侈的, 丰富的, 大量的"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
omnipresent,"a. 无所不在的, 普通存在的"
entangle,"vt. 使纠缠, 卷入, 使混乱"
dilatory,"a. 拖拉的
"
generic,"a. 属类的, 一般的
"
sensational,"a. 使人感动的, 非常好的"
explicable,"a. 可说明的, 可解释的"
pernicious,"a. 有害的, 致命的, 恶劣的, 险恶的
"
convoluted,"a. 盘绕的, 回旋的, 旋绕的, 卷绕的, 复杂的
"
bureaucracy,"n. 官僚, 官吏
"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
compliant,"a. 顺从的, 屈从的
"
trifling,"a. 没什么价值的, 微不足道的, 轻浮的"
compunction,"n. 良心的责备, 后悔, 悔恨"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
pretentious,"a. 自负的, 自命不凡的, 夸耀的"
customary,"a. 习惯的, 惯常的
"
vilify,"vt. 诽谤, 贬低
"
tantamount,"a. 同等的, 相等的, 相当于...的
"
unflinching,"a. 不畏惧的, 不退缩的, 不畏缩的"
prototype,"n. 原型
"
equanimity,"n. 平静, 镇定, 沉着"
espouse,"vt. 支持, 赞成, 嫁, 娶
"
inattention,"n. 不注意, 粗心, 疏忽"
fractious,"a. 易怒的, 倔强的, 脾气不好的"
disorganize,"vt. 破坏组织, 使混乱, 瓦解"
figurative,"a. 比喻的, 象征的, 修饰丰富的"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
impeccable,"a. 无懈可击的, 勿容置疑的, 无瑕疵的, 不会做坏事的"
stifle,"vt. 使窒息, 抑止, 扼杀
vi. 窒息, 被扼杀"
pragmatic,"a. 忙碌的, 爱管闲事的, 自负的, 固执己见的, 实际的, 务实的, 国事的, 国务的
"
didactic,"a. 教训的, 说教的, 教导的, 教诲的
"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
stalwart,"n. 健壮的人
a. 高大结实的, 坚定的"
archaic,"a. 古体的, 过时的, 古老的, 古代的
"
palliate,"vt. 减轻, 缓和, 掩饰(罪过等)
"
accede,"vi. 同意, 正式加入, 就任, 继任"
consort,"n. 配偶, 夫妻
vi. 陪伴, 结交, 符合
vt. 使结合"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
ubiquitous,"a. 无所不在的, 到处存在的, 普遍存在的"
authenticate,"vt. 证明可信, 证实为真, 使具法律效力
"
condescend,"vi. 谦逊, 屈就, 堕落"
predilection,"n. 嗜好, 偏爱"
diminutive,"a. 小的, 小型的, 指小的
n. 身材极小的人, 指小词, 爱称"
illustrious,"a. 著名的, 辉煌的, 明亮的"
unconscionable,"a. 不受良心支配的, 不合理的, 过度的"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
callow,"a. 年轻而无经验的, (鸟)羽毛未丰的
"
sketchy,"a. 概略的, 草草完成的"
bemuse,vt. 使发呆
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
intuition,"n. 直觉, 直觉的知识"
episodic,a. 插曲似的
dovish,"a. 鸽派的, 温和派的"
realm,"n. 王国, 领土, 领域
"
presage,"n. 预感, 预兆, 预知
vt. 预示, 预言
vi. 预感, 预言"
distinctive,"a. 有特色的, 出众的"
concomitant,"a. 相伴的, 伴随的, 共存的
n. 伴随物"
abstemious,"a. 有节制的, 节约的"
versatile,"a. 多才多艺的, 万用的, 万向的"
vacillate,"vi. 游移不定, 踌躇, 犹豫, 摇摆"
devious,"a. 偏僻的, 迂回的"
suffice,"vi. 足够, 有能力
vt. 满足"
astute,"a. 敏锐的, 狡猾的"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
consensus,"n. 合意, 一致, 同感
"
metaphor,n. 隐喻
outstrip,"vt. 追过, 胜过, 凌驾"
querulous,"a. 抱怨的, 爱发牢骚的, 易怒的"
salient,"a. 显著的, 突出的, 跳跃的
n. 凸角, 突出部分"
culmination,"n. 顶点, 高潮, 最高点"
camaraderie,n. 友情；同志之爱
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
tribute,"n. 贡物, 礼物, 颂辞"
observant,"a. 严格遵守...的, 留心的, 当心的, 观察力敏锐的, 注意观察的
"
collegiality,n. 共同掌权
pensive,"a. 沉思的, 哀思的, 忧郁的"
penance,"n. 自我惩罚, 忏悔, 悔过, 赎罪, 苦修
vt. 使悔罪, 使赎罪"
rile,"vt. 搅浑, 惹怒, 使焦急"
lambaste,"vt. 痛打, 严责"
undercut,"n. 底切, 牛腰部下侧嫩肉, 下口, 下旋削球
vt. 廉价出售, 底切, 雕出, 下旋削球
vi. 切除底部"
harrow,"n. 哈罗公学, 耙
vt. 耙掘, 伤害, 使苦恼
vi. 被耙松"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
dissent,"n. 异议
vi. 持异议, 不同意"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
mutual,"a. 相互的, 共有的
"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
betoken,vt. 预示
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
outnumber,"vt. 数目超过, 比...多"
itinerant,"a. 巡回的
n. 巡回者"
demonize,vt. 使成为魔鬼
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
incendiary,"a. 放火的, 煽动的, 燃烧的
n. 纵火犯人, 煽动者, 燃烧弹"
salutary,"a. 有益的, 有用的, 有益健康的
"
replete,"a. 装满的, 充满的, 充实的, 吃饱的"
snobbish,"a. 自命不凡的, 势利的"
seditious,"a. 煽动性的, 妨害治安的
"
expatriate,"n. 移居国外者, 侨民, 被流放者, 背井离乡者
vt. 逐出国外, 脱离国籍, 放逐
vi. 移居国外"
synopsis,"n. 概要, 摘要, 大意
"
affirmative,"a. 肯定的, 赞成的, 积极的
n. 肯定语"
emendation,"n. 修订, 修正, 校正"
collective,"a. 集体的, 聚集的, 共同的
"
synonymous,"a. 同义词的, 同义的"
modicum,n. 少量
retrenchment,"n. 紧缩, 节省, 删节
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
obligatory,"a. 义务的, 必须的, 强制性的
"
commensurate,"a. 同量的, 同等的, 相称的"
long-winded,"a. 气息长的, 冗长的, 罗唆的"
slippery,"a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的
"
hefty,"a. 重的, 肌肉发达的"
forbidding,"a. 严峻的, 可怕的, 令人难亲近的"
wide-ranging,a. 范围或内容广泛的
diligent,"a. 勤勉的, 用功的"
punctilious,"a. 精密细心的, 一丝不苟的, 拘泥形式的"
engaging,"a. 动人的, 迷人的, 有魅力的"
evanescent,"a. 逐渐消失的, 容易消散的, 短暂的
"
free-for-all, [体]秩序混乱
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
"
bustling,"a. 熙熙攘攘的, 忙乱的"
prioritize,"vt. 按优先次序列出, 优先考虑"
envision,"vt. 想象, 预想"
circumscribe,"vt. 在...周围画线, 限制"
reminiscent,"a. 回忆的, 怀旧的
n. 往事叙述者, 回忆录作者"
symmetrical,"a. 对称的, 匀称的
"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
elude,"vt. 逃避, 规避, 把...难倒"
jettison,"n. 投弃, 投弃货物
"
detriment,"n. 损害, 损害物
"
baroque,"n. 巴罗克风格, 巴罗克式
a. 巴罗克式的, 绮靡的, 以俗艳标新立异的"
quixotic,"a. 堂吉诃德式的, 愚侠的, 狂热而侠义的, 理想而不实际的, 充满幻想的"
mockery,"n. 嘲弄, 笑柄, 歪曲"
tactful,"a. 机智的, 老练的"
trendy,"a. 随潮流的, 时髦的, 赶潮流的"
subsidize,"vt. 补助, 资助, 贿赂
"
numinous,"a. 精神上的, 超自然的"
anomalous,"a. 不规则的, 反常的
"
mawkish,"a. 淡而无味的, 令人作呕的, 感伤的"
invidious,"a. 引起反感的, 惹人不快的, 不公平的, 诽谤的"
austere,"a. 严峻的, 禁欲的, 简朴的"
impede,"vt. 妨碍, 阻碍, 阻止"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
disjunction,"n. 分离, 分裂, 分断"
finicky,"a. 过分注意的, 过分周到的, 过分讲究的"
hazardous,"a. 危险的, 冒险的, 碰运气的
"
chicanery,"n. 强词夺理, 狡辩, 欺骗"
verifiable,"a. 可核实的, 可证实的
"
demonstrable,a. 可论证的
pertinacious,"a. 坚持不放的, 执拗的, 顽固的, 顽强的, (疾病)难以治好的"
scarce,"a. 难得的, 稀罕的, 缺乏的"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
sanguine,"a. 血红色的, 满怀希望的, 乐观的
n. 血红色, 红粉笔
vt. 用血沾污, 血染"
waver,"n. 动摇, 踌躇, 挥动者
vi. 摇摆, 颤抖, 摆动, 摇曳, 犹豫"
engender,"vt. 产生, 引起
vi. 发生, 形成"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
ponder,"v. 沉思, 考虑"
proliferate,"vi. 增殖, 激增, 扩散
vt. 使激增"
paucity,"n. 少数, 少量, 缺乏"
univocal,"a. 单一意思的, 意义明确的"
dejected,"a. 沮丧的, 灰心的"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
impertinent,"a. 不切题的, 鲁莽的, 无礼的, 粗鲁的, 不恰当的"
one-of-a-kind,[网络] 独一无二；独一无二的；其中一类
apropos,"a. 适当的, 恰好的
adv. 适当地, 恰好地"
ingratiate,"vt. 使迎合, 使讨好"
concoct,"vt. 调合, 捏造, 编造
"
disgorge,"vt. 吐出, 流注, 被迫交出
vi. 呕吐"
baseless,a. 无根据的
momentary,"a. 瞬间的, 刹那间的"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
debilitate,vt. 使衰弱
resent,"vt. 愤恨, 憎恶, 怨恨"
delightful,"a. 令人愉快的, 可爱的"
decisive,"a. 决定性的, 坚定的, 果断的"
testimony,"n. 证言, 证据, 声明
"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
simultaneous,"a. 同时的, 同时发生的
"
monotonous,"a. 单调的, 无变化的"
divination,"n. 占卜, 卜卦, 预测"
virtuosity,"n. 精湛技巧, 对古董等的爱好"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
