the,art. 那
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
him,pron. 他
your,"pron. 你的, 你们的"
come,"vi. 过来, 来, 到达, 出现, 开始
interj. 喂"
could,"aux. 可以, 能"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
than,"conj. 比, 除...外
prep. 比"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
its,pron. 它的
our,pron. 我们的
two,"num. 二, 二个"
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
"
these,pron. 这些
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
also,"adv. 也, 并且, 同样地"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
because,conj. 因为
day,"n. 天, 日子, 白天, 工作日
"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
man,"n. 男人, 人类, 人
vt. 为...配备人手, 操纵, 使振奋
"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
here,"adv. 在这里, 此时, 这里
n. 这里"
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
many,"n. 多数, 多数人
a. 许多的
pron. 许多"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
those,pron. 那些
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
"
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
any,"a. 任何的
pron. 任何"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
woman,"n. 女人, 妇女, 女仆
a. 女用的, 女性的, 妇女的
vt. 贬称...为女人, 使成女人腔"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
us,"pron. 我们
"
life,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑
"
child,"n. 孩子, 产物, 追随者
"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
down,"a. 向下的
adv. 下, 下去, 降下
prep. 往下, 沿着
n. 丘陵, 软毛, 开阔的高地
"
may,"n. 五月
aux. 愿能, 可以, 愿意"
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
should,"aux. 应该, 将要"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
too,"adv. 也, 非常, 太"
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
three,"num. 三, 三个"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
never,"adv. 从不, 决不, 不曾
"
become,"vi. 变成, 变得
vt. 适合"
between,prep. 在...之间
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
really,"adv. 实际上, 真实地, 实在"
something,"pron. 某事, 某物"
most,"n. 最多, 最大
a. 大多数的, 几乎全部的, 最多的
adv. 最, 最多, 极其"
another,"a. 另外的, 再一的, 不同的
pron. 又一个, 另一个, 类似的另一个"
much,"n. 大量, 许多, 重要的事
a. 很多的, 重要的
adv. 多, 甚, 几乎"
family,"n. 家庭, 家人, 族
a. 家庭的"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
leave,"n. 许可, 告别, 请假, 休假
vt. 离开, 剩下, 遗忘, 委托, 丢弃
vi. 出发, 离开, 生叶"
put,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予
vi. 出发, 航行, 发芽
n. 掷, 股票出售权, 笨蛋
a. 固定不动的
"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
while,"n. 一会儿, (一段)时间
conj. 当...的时候, 虽然
vt. 消磨"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
student,"n. 学生, 研究者, 学者"
why,"adv. 为什么
n. 原因, 理由"
let,"vt. 让, 假设, 出租, 排放, 妨碍
vi. 出租, 被承包
n. 出租屋, 障碍"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
same,"a. 相同的, 同样的
pron. 相同的人(或事物)
adv. 同样地"
big,"a. 大的, 重要的
adv. 大量地"
group,"n. 团体, 组, 团, 群
v. 聚合, 成群
"
begin,"v. 开始
"
seem,"vi. 象是, 似乎"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
"
where,"adv. 在哪里
pron. 哪里
n. 地点"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
every,"a. 每一, 所有的"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
might,"n. 力量, 权力
aux. 可能, 也许"
American,"n. 美国人
a. 美国的, 美洲的"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
against,"prep. 反对, 对着, 倚靠"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
such,"a. 如此的, 这样的"
again,"adv. 再一次, 又, 到原处"
few,"a. 很少的, 不多的, 少数的
n. 少数"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
week,"n. 星期, 周"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
during,prep. 在...的时候
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
government,"n. 政府, 内阁
"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
off,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的
adv. 走开, ...掉, ...下, 休息, 出发, 隔断
prep. 离开, 脱落, 不在从事......, 在...之外
vi. 离开, 滚开
vt. 杀死
n. 关闭状态
"
always,"adv. 总是, 始终"
move,"n. 移动, 迁居, 步骤
vt. 移动, 开动, 感动, 搬(家)
vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手
"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
Mr,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
believe,v. 相信
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
today,"n. 今天, 当今, 现在
adv. 今天, 当今"
bring,"vt. 带来, 产生, 促使, 提出
vi. 生产"
happen,"vi. 发生, 发生, 恰巧"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
without,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
million,"n. 百万, 无数
num. 百万"
must,"n. 必须, 未发酵葡萄汁, 绝对必要的事物
aux. 必须"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
under,"prep. 在...之下, 低于
a. 下面的, 从属的
adv. 在下面"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
room,"n. 房间, 空位, 场所
vi. 住宿, 居住
vt. 留宿"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
area,"n. 区域, 面积, 范围, 空地
"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
money,"n. 金钱, 一笔款, 财富, 货币, 金额
"
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
fact,"n. 事实, 真实性, 真相, 细节, 论据"
month,"n. 月
"
different,"a. 不同的
"
lot,"n. 运气, 签, 抽签, 份额, 许多, 一堆
vt. 划分
vi. 抽签, 抓阄"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
though,"adv. 然而, 可是
conj. 虽然, 纵然"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
side,"n. 旁边, 侧, 方面, 胁, 侧边, 血统
a. 旁的, 侧的, 次要的
vt. 同意, 支持
vi. 支持, 赞助"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
four,"num. 四, 四个
"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
far,"a. 远的, 久远的, 遥远的
adv. 甚远地, 很, 到很深的程度, 到很远的距离"
black,"n. 黑色, 黑颜料
a. 黑色的"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
both,"a. 两者的
adv. 两者都
pron. 两者"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
yes,"adv. 是
n. 是, 同意
v. 同意"
since,"prep. 自...以后, 自...以来
adv. 自那时以后
conj. 既然, 自...以后, 自...以来"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
friend,"n. 朋友, 支持者, 赞助者
"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
sit,"vi. 坐, 就座, 坐落
vt. 使就座, 骑
n. 坐, 衣服合身"
away,adv. 离去
until,"prep. 直到, 在...以前
conj. 直到...时, 在...以前"
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味
vi. 赌博
a. 勇敢的, 有胆量的, 关于野味的, 跛的
"
often,"adv. 时常, 常常"
yet,"adv. 还, 尚, 仍然, 已经, 然而
conj. 然而"
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
among,prep. 在...之中
ever,"adv. 曾经, 究竟, 永远"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
bad,"a. 坏的
n. 坏
adv. 坏地"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
however,"adv. 然而, 无论如何, 究竟怎样
conj. 然而, 可是"
member,"n. 成员, 会员
"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
law,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼
v. 起诉"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
car,"n. 汽车, 客车
"
city,"n. 城市, 市
"
almost,"adv. 几乎, 差不多"
include,"vt. 包括, 把...算入, 包住
"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
later,"adv. 以后, 随后"
community,"n. 社区, 公众, 共有, 共同体
"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
five,"num. 五, 五个"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
learn,vt. 学习；认识到；得知
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
best,"a. 最好的
adv. 最好地
n. 最好的人"
several,"a. 几个的, 一些的, 各自的
pron. 几个"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
ago,adv. 以前
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
whether,"conj. 是否, 不论
pron. 两个中的哪一个"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
together,"adv. 一起, 共同, 彼此"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
parent,"n. 父母, 父母亲, 根源
"
stop,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓
vi. 停止, 被塞住
vt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
anything,pron. 任何事
create,"vt. 创造, 建造, 引起, 任命"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
already,"adv. 已经, 早已"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
others,pron. 其他人
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
office,"n. 办公室, 部, 公职, 职责
"
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
door,n. 门
health,"n. 健康, 卫生, 蓬勃, 健康状态
"
person,"n. 人, 人身, 人称
"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
history,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
