able,"a. 能干的, 能够的"
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
terrible,"a. 可怕的, 令人恐惧的, 极坏的"
frighten,"vt. 使惊吓
vi. 惊恐"
afternoon,"n. 午后, 下午"
morning,"n. 早晨, 早上, 初期"
evening,"n. 傍晚, 晚间, 末期"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
eve,"n. 前夕, 前夜"
yesterday,"n. 昨天
adv. 昨天"
today,"n. 今天, 当今, 现在
adv. 今天, 当今"
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
moment,"n. 片刻, 瞬间, 重要, 阶段, 力矩
"
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
day,"n. 天, 日子, 白天, 工作日
"
week,"n. 星期, 周"
month,"n. 月
"
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
year,"n. 年, 年度, 年龄
"
decade,"n. 十年, 十"
century,"n. 世纪, 百年"
again,"adv. 再一次, 又, 到原处"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
agriculture,"n. 农业
"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
lazy,"a. 懒惰的, 怠惰的, 缓慢的
vi. 懒散"
factory,"n. 工厂, 产生地, 代理店
"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
gas,"n. 气体, 汽油, 瓦斯
"
petrol,"n. 汽油
"
oil,"n. 油, 石油, 油画颜料
vt. 涂油于, 使融化成油状, 加油于
vi. 加燃油, 融化"
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
airplane,"n. 飞机
"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
airproof,"a. 不透气的, 气密的
vt. 使不透气, 使气密"
rainproof,"a. 防雨的
n. 雨衣, 雨披"
waterproof,"n. 防水材料
a. 不透水的, 防水的
vt. 使防水"
alcohol,"n. 酒精, 酒
"
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
beer,"n. 啤酒
"
cocktail,"n. 鸡尾酒, 开味品
a. 鸡尾酒会的"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
total,"a. 全体的, 总的, 全然的
vt. 计算...的总和, 共计为
vi. 合计
n. 总数, 全体, 合计
adv. 统统"
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
altogether,"adv. 完全地, 总而言之"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
let,"vt. 让, 假设, 出租, 排放, 妨碍
vi. 出租, 被承包
n. 出租屋, 障碍"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
alone,"a. 孤独的, 单独的, 独自的
adv. 独自地"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
aloud,"adv. 出声地, 大声地"
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
silence,"n. 沉默, 无声, 静寂, 湮没, 无声息
vt. 使缄默
interj. 安静"
alphabet,"n. 字母
"
already,"adv. 已经, 早已"
yet,"adv. 还, 尚, 仍然, 已经, 然而
conj. 然而"
also,"adv. 也, 并且, 同样地"
either,"a. (两者之中)任一的, (两者之中)各一的
pron. (两者之中)任一
conj. 或, 要么"
neither,"adv. 皆不, 两个都不
a. (两者)都不的
pron. 两者都不
conj. 既非, 既不"
nor,"conj. 也不, 也没有
"
none,"adv. 一点也不, 毫不
pron. 没有人, 无一物, 并无一个
a. 没有的"
not,"adv. 不, 非, 未
"
both,"a. 两者的
adv. 两者都
pron. 两者"
although,"conj. 虽然, 尽管"
however,"adv. 然而, 无论如何, 究竟怎样
conj. 然而, 可是"
ambulance,"n. 救护车
"
hospital,"n. 医院
"
surgery,"n. 外科, 手术, 手术室, 换球术"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
dentist,"n. 牙科医生
"
clinic,"n. 诊所, 临床教学
"
operate,"v. 操作, 运转, 动手术, 活动"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
American,"n. 美国人
a. 美国的, 美洲的"
English,[网络] 英语
Roman,"n. 罗马人
a. 罗马人的, 罗马的"
foreign,"a. 外国的, 外交的, 外省的, 外来的, 不相关的
"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
international,"a. 国际的
n. 国别设定
"
angry,"a. 生气的, 愤怒的"
animal,"n. 动物
"
zoo,n. 动物园
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
being,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
another,"a. 另外的, 再一的, 不同的
pron. 又一个, 另一个, 类似的另一个"
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
antiwar,"a. 反战的
"
antibacterial,"a. 抗菌的
n. 抗菌剂"
antibody,"n. 抗体
"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
plenty,"n. 充分, 很多, 丰富
a. 很多的, 足够的, 丰富的"
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
amuse,"vt. 消遣, 娱乐, 使发笑"
excite,"vt. 刺激, 使兴奋, 激励"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
interesting,a. 有趣的
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
cheer,"n. 愉快, 振奋, 欢呼
vi. 欢呼, 喝彩, 快活起来
vt. 使振奋, 欢呼"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
merry,"a. 快乐的, 愉快的, 嬉戏作乐的"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
gay,"a. 欢快的, 艳丽的, 快乐的, 放荡的"
glad,"a. 高兴的, 喜欢的, 情愿的"
joy,"n. 欢喜, 乐事, 高兴
vt. 使快乐, 令人高兴
vi. 欢喜"
sad,"a. 忧愁的, 悲哀的"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
trouble,"n. 烦恼, 麻烦, 困难, 动乱, 故障
vt. 困扰, 麻烦, 使烦恼, 折磨
vi. 烦恼, 费心"
tired,"a. 疲累的, 疲乏的, 厌倦的"
angel,"n. 天使, 守护神, 善人"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
anybody,"pron. 任何人
n. 重要人物"
somebody,"n. 了不起的人, 大人物
pron. 有人, 某人"
nobody,"n. 小人物, 无名小卒
pron. 无人, 没有人"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
every,"a. 每一, 所有的"
apologize,"vi. 道歉, 辩解"
apologise,vi. 道歉（等于apologize）
sorry,"a. 难过的, 悲哀的, 遗憾的"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
pity,"n. 遗憾, 同情, 怜悯, 憾事, 可惜
vt. 同情, 怜悯
vi. 觉得可怜, 有同情心"
forgive,"vt. 原谅, 宽恕, 免除
"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
pardon,"n. 原谅, 赦免
vt. 宽恕, 原谅"
punish,"vt. 处罚, 惩罚, 严厉对待
vi. 惩罚"
thank,"n. 谢意, 感谢
vt. 谢谢, 感谢"
appear,"vi. 出现, 显得, 来到
"
seem,"vi. 象是, 似乎"
apple,"n. 苹果, 家伙
"
banana,n. 香蕉
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
grape,"n. 葡萄, 葡萄树
"
peach,"n. 桃子, 桃树, 桃色, 美人儿, 极好的事物
vt. 告发
vi. 告密, 检举"
pear,"n. 梨子, 梨树, 梨木
"
fruit,"n. 水果, 果类, 结果
"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
potato,n. 马铃薯
tomato,"n. 番茄, 西红柿"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
vitamin,"n. 维生素
"
area,"n. 区域, 面积, 范围, 空地
"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
district,"n. 区域, 地方
"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
soldier,"n. 军人, 士兵, 兵蚁
vi. 从军, 尽职, 偷懒, 磨洋工"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
gun,"n. 枪
"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
protect,"vt. 防卫, 保护, 警戒
"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
consider,"v. 考虑, 思考, 认为"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
quarrel,"n. 吵架, 反目, 怨言, 方头凿
vi. 吵架, 争论, 挑剔"
arrive,"vi. 到达, 抵达"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
music,"n. 音乐, 乐曲"
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
thesis,"n. 论题, 论文"
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
theme,"n. 主题, 话题, 题目"
author,"n. 作家, 作家的著作, 创始人
"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分
vi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖
vt. 使休息, 使支撑, 把...寄托于"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
upward,"a. 向上的
adv. 以上"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
skyrocket,"vi. 飞涨, 突升
n. 焰火"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
ascertain,"vt. 确定, 查明
"
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
imagination,"n. 想像, 听觉, 想像力
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
athlete,"n. 运动员, 运动选手
"
sportsman,"n. 运动员, 冒险家"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
competition,"n. 竞争, 竞赛
"
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味
vi. 赌博
a. 勇敢的, 有胆量的, 关于野味的, 跛的
"
attention,"n. 注意, 注意力
"
attitude,"n. 态度, 看法, 姿势
"
opinion,"n. 意见, 评价, 主张
"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
atom,"n. 原子, 核能, 微粒, 微量
"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
minim,"n. 量滴(液量单位), 一滴, 微量
"
audio,"a. 音频的, 声音的
"
video,"n. 影像, 电视
a. 图像的, 电视的"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
uncle,"n. 叔父, 伯父, 姨丈"
brother,n. 兄弟
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
grandmother,"n. 祖母, 女祖先"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
parent,"n. 父母, 父母亲, 根源
"
daughter,"n. 女儿
a. 女儿的"
son,"n. 儿子, 女婿, 子孙
"
wife,"n. 妻子, 太太, 夫人
"
husband,"n. 丈夫, 管理人, 节俭的人
vt. 节俭, 使成丈夫, 持有"
family,"n. 家庭, 家人, 族
a. 家庭的"
autumn,"n. 秋天, 成熟期"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
away,adv. 离去
leave,"n. 许可, 告别, 请假, 休假
vt. 离开, 剩下, 遗忘, 委托, 丢弃
vi. 出发, 离开, 生叶"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
along,"adv. 平行地, 向前
prep. 沿着"
backbone,"n. 脊椎, 志气, 骨干, 支柱
"
waist,"n. 腰部, 腰
"
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
fur,"n. 毛皮
vt. 以毛皮制作, 使生苔, 使生水垢
vi. 生苔, 积水垢"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
hair,"n. 头发, 毛发, 些微
"
comb,"n. 头梳, 鸡冠
vt. 梳头发, 梳毛
vi. (浪)涌起"
brain,"n. 脑
vt. 打碎脑部"
neck,"n. 脖子, 衣领, 颈
vi. 拥抱, 拥吻, 收缩
vt. 割颈"
cheek,"n. 颊, 厚颜, 脸蛋
"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
lip,"n. 唇, 口缘, 唇状构造
vt. 以嘴唇碰, 轻轻说出
a. 口头上的
"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
tooth,"n. 牙齿, 齿状物, 爱好
vt. 装以齿, 将...切成齿状
vi. 啮合"
lung,"n. 肺, 肺脏, 空地
"
heart,"n. 心, 心脏, 中心, 内心, 感情, 精神, 心情, 宝贝儿
vt. 鼓励"
soul,"n. 灵魂, 心灵, 精神, 精髓, 人, 化身, 典型, 鬼魂
a. 黑人的"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
skin,"n. 皮肤, 皮
vt. 剥皮, 在...植皮
vi. 长皮, 愈合, 蜕皮"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
