fiction,"n. 小说, 虚构故事
"
fall away,"消瘦, 背离, 离开, 消失, 倾斜"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
puff,"n. 一阵喷烟, 肿块, 喘息
v. 喷出, 张开, 吹捧, (使)充气, 喘气, (使)骄傲, (使)膨胀"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
have an urge to,无
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
jolt,"n. 震摇, 摇动, 颠簸
vi. 颠簸而行, 震摇
vt. 使颠簸, 使慌张, 猛击"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
mud,"n. 泥, 诽谤
vt. 弄脏"
overstatement,"[经] 估值过高, 夸大"
Isaac Asimov,艾萨克·阿西莫夫（当代美国著名小说家）
Larry Belmont,无
Claire,n. 克莱儿（女子名）
Gladys Claffern,无
Braille,"n. 布莱叶点字法(盲人用点字法)
vt. 用布莱叶点字法印刷"
braille,"n. 布莱叶点字法(盲人用点字法)
vt. 用布莱叶点字法印刷"
The Three-Body Problem,无
Hugo Award,无
iconic,[计] 图标的
foundation,"n. 基础, 根据, 建立
"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
didgeridoo,n. 迪吉里杜管（澳洲土著人的乐器）
located,"a. 处于, 位于；坐落的"
equator,"n. 赤道
"
koala,n. 袋熊
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
BBQ,abbr. 烧烤炉；野外烧烤（barbecue）
bakery,n. 面包店
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
premier,"n. 总理, 首相
a. 首位的, 最初的"
herb,"n. 药草, 香草
"
dim sim,[网络] 烧麦；驰名美点
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
slogan,"n. 呐喊声, 标语, 口号"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
prime minister,"总理, 首相
"
frog,"n. 青蛙
"
arrow,"n. 箭, 箭状物, 箭头记号"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
getaway,"n. 逃走, 起步"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
dived,"跳水, 潜水, 俯冲, 猛冲, 突然下降, 把手伸入, 钻研, 插进, 伸入, 投入, 探究"
dove,"n. 鸽子
dive的过去式"
kayaking,n. [体]皮艇运动
peak season,[经] 旺季
freedom,"n. 自由, 坦率, 特权
"
domain,"n. 领域, 领土, 产业, 范围
"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
liberty,"n. 自由, 特权, 许可, 冒失
"
golf,"n. 高尔夫球
vi. 打高尔夫球"
strait,"n. 海峡, 困境
a. 困难的, 窘迫的, 狭窄的"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
monument,"n. 纪念碑, 纪念物, 石碑"
kiwi,"n. 鹬鸵, 地勤人员, 新西兰人"
geyser,"n. 喷泉, 间歇泉"
sulphuric pool,无
manuka honey,[网络] 麦卢卡蜂蜜；麦芦卡蜂蜜；麦努卡蜂蜜
bungee jumping, 蹦极跳
a flock of,一群
geothermal,"a. 地温的, 地热的"
distribution,"n. 分配
"
pouch,"n. 小袋, 小包, 眼袋, 邮袋, 育儿袋
vt. 装...入袋中, 使成袋状
vi. 成袋状"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
licensed,"a. 得到许可的
"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
licence,"n. 执照, 许可证, 特许
vt. 许可, 特许, 认可"
session,"n. 期间, 开庭期, 会议, 学期
"
frequency,"n. 频率, 频数
"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
mammal,"n. 哺乳动物
"
biology,"n. 生物学
"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
capacity,"n. 容量, 能力, 才能, 资格
"
a handful of,"一小撮,少数"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
prison,"n. 监狱, 监禁, 拘留所
vt. 监禁"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
Aborigine,从起初
Sydney,n. 悉尼（澳大利亚港市）
Bondi Beach,"n. 【旅】邦迪海滩
"
Chiang Mai,清迈（泰国城市）
the Bay of Islands,无
the haka,无
Edmonds,n. 埃德蒙兹（姓氏）；埃特蒙德（美国城市）
Felicity,"n. 快乐, 幸福, 幸运"
Tasmanian devil,n. 袋獾
Tasmania,n. 塔斯马尼亚岛（位于澳洲东南方）
duck-billed platypus,[网络] 鸭嘴兽
tale,"n. 故事, 谎言, 谣言, 陈述, 叙述
"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
set sail,"张帆, 开航"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
behold,"vt. 看到, 注视
vi. 看"
beheld,behold的过去式和过去分词
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
in a league of one's own,无
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
withdrew,withdraw的过去式
withdrawn,withdraw的过去分词
withdraw from,"退出, 离开"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
maritime,"a. 海的, 海上的, 海事的, 沿海的, 海员的
"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
in hand,"na. 现有；(工作)正在进行；控制住
"
politics,"n. 政治, 政治学, 政见, 政治活动
"
profession,"n. 职业, 表白, 声明
"
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
mixture,"n. 混合, 混淆, 混合物
"
laptop,[计] 膝上型的
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
press conference,"记者招待会
"
applaud,"v. 拍手喝彩, 称赞, 赞同"
tax,"n. 税, 税款, 重负, 会费
vt. 课以税, 使负重荷, 斥责"
manned,"a. 有人驾驶的, 有人操纵的"
submersible,"a. 能沉入水中的, 能潜水的"
underwater,"a. 在水中的
adv. 在水下"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
coral,"n. 珊瑚, 珊瑚色
"
migration,"n. 移民, 移往, 移动
"
directory,"n. 目录, 工商名录, 指南
"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
gallon,"n. 加仑
"
murder,"n. 谋杀
vt. 谋杀, 损毁, 破坏
vi. 犯杀人罪"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
Log, = -logue
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
Marco Polo,"n. 马可波罗(意大利旅行家,商人,1254-1324)"
Columbus,n. 哥伦布（美国一座城市）；哥伦布（意大利航海家）
Ceylon,n. 锡兰
Churchill,n. 邱吉尔
Ferdinand Magellan,斐迪南·麦哲伦（西班牙航海家）
Zac Sunderland,无
Robin Lee Graham,无
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
clay,"n. 泥土, 肉体, 黏土
"
dust,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱
vt. 拂去灰尘, 撒, 弄成粉末
vi. 拂去灰尘, 化为粉末"
dusty,"a. 灰尘多的, 无聊的, 含糊的, 粉末状的"
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
chorus,"n. 合唱队, 齐声
v. 齐声说道, 合唱"
a chorus of,无
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
not to mention,不必提及
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
"
rubber,"n. 橡皮, 橡胶, 做摩擦动作的人, 按摩师, 决胜盘
vt. 用橡胶制造, 涂橡胶于"
washroom,n. 盥洗室
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
circus,"n. 马戏团, 马戏, 竞技场"
chemist,"n. 化学家, 药剂师
"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
forehead,"n. 额, 前额, 前部
"
hut,"n. 小屋, 茅舍, 临时军营
v. (使)住在茅舍"
housing,"n. 遮盖, 住房供给, 居留(处), 房屋, 装饰
"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
fireplace,n. 壁炉
saucer,"n. 茶碟, 茶托
"
kettle,"n. 茶壶, 罐
"
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
jar,"n. 广口瓶, 震动, 刺耳声
vi. 震惊, 冲突, 发刺耳声, 不一致
vt. 震动, 刺激"
ripe,"a. 成熟的, 熟练的, 成年的
"
grill,"n. 烤架, 铁格子, 烤肉
v. 烧, 烤, 严加盘问, 给...装栅栏"
doorway,"n. 门口, 途径"
leftover,"n. 剩货, 残留物, 剩饭
a. 残余的"
handshake,n. 握手
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
disabled,"a. 残废的, 有缺陷的, 失效的
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
deserve,"vt. 该得到, 值得
vi. 应得报答"
lately,"adv. 近来, 最近"
input,"n. 输入, 输入电路
vt. 输入
"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
take for granted, 信以为然
cardiac,"n. 心脏病患者, 强心剂, 健胃药
a. 心脏的, (胃的)贲门的"
circuit,"n. 电路, 环(行)道, 巡回
"
disability,"n. 无力, 无能, 残疾
"
consultation,"n. 请教, 咨询, 磋商会
"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
relay to,无
criterion,"n. 标准, 准则, 规范
"
criteria,"pl. 标准
"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
pray,"v. 祈祷, 恳求, 请"
pray that,无
hypothetical,"a. 假设的, 有待证实的, 假定的, 有前提的
"
Papua New Guinea,巴布亚岛(新几内亚岛)
Ghana,n. 加纳
Congo,"n. 刚果, 刚果河, 工夫茶
"
Panama,"n. 巴拿马, 巴拿马城"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
bounce around,[网络] 蹦蹦气垫屋；欢乐城堡；四处混
aptitude,"n. 资质, 才能, 自然倾向
"
head start,n. 领先
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
lawyer,"n. 律师
"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
drawer,"n. 抽屉, 开票人
"
a chest of drawers,五屉橱
breast,"n. 胸部, 乳房, 胸怀
vt. 以胸对着, 面对"
hydrogen,"n. 氢
"
radium,"n. 镭
"
wrist,"n. 手腕, 腕关节
"
bridegroom,n. 新郎
geometry,"n. 几何学
"
debt,"n. 债务, 罪过
"
categorise,"vt. 分类, 归类"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
detective,"n. 侦探
a. 侦探的"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
estate agent,"[经] 房地产掮客, 房地产中间商"
real estate agent,"n. 房地产经纪人
"
accountant,"n. 会计人员, 会计师
"
spy,"n. 间谍, 侦探, 侦察
vt. 侦察, 找出, 发现
vi. 做密探, 侦查"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
come to a conclusion,告终
greedy,"a. 贪婪的, 贪得的, 贪吃的"
entrepreneur,"n. 企业家, 主办人
"
receptionist,n. 接待员
CV,"adj. 心血管的
n. 履历
"
résumé,无
socialist,"n. 社会主义者, 社会党党员
"
communist,"n. 共产主义者, 共产党员
"
dedicate,"vt. 献出, 贡献"
fox,"n. 狐狸, 狡猾的人
vi. 奸狡地行动, (书页)生斑, 变酸
vt. 欺骗, 使变酸, 为(鞋等)换面, 使生黄斑"
council,"n. 会议, 委员会
"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
attend to, 处理; 注意; 听取; 致力于
supervise,"v. 监督, 管理, 指导"
handwriting,n. 笔迹
disk,"n. 圆盘, 磁盘
"
disc,"n. 圆盘, 唱片
vt. 灌唱片"
parking,"n. 停车
a. 停车的"
camel,"n. 骆驼, 打捞浮筒"
fry,"n. 油炸食物, 鱼苗
v. 油炸, 煎"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
sew,"vt. 缝纫, 缝合, 缝
vi. 缝纫"
sewed,sew的过去式和过去分词
sewn,sew的过去分词
sewed,sew的过去式和过去分词
knit,"v. 编织, 结合"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
priority,"n. 优先权, 优先
"
proficiency,"n. 精通, 熟练, 精练"
cage,"n. 笼, 牢房, 战俘营
vt. 关进笼内"
collar,"n. 衣领, 颈圈
vt. 控制, 扭住衣领, 给...装上领子"
flea collar, (内藏杀蚤剂的动物)灭蚤颈圈
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
employer,"n. 雇主, 老板
"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
acquire,"vt. 获得, 学到
"
Marie Curie,[网络] 居里夫人；居礼夫人；玛丽·居里
The Communist Manifesto,[网络] 共产主义宣言；共产主义者宣言；共产党宣言
Olivia,n. 奥利维亚（女子名）
PETS,abbr. 公共英语等级考试（Public English Tset System）
Public English Test System,无
