physiology,"n. 生理学, 生理机能
"
cease,"n. 停止
v. 停止, 终了"
deceased,"a. 已故的
n. 死者"
absence,"n. 缺席, 缺乏, 没有
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
emphasis,"n. 强调, 加强, 重点, 强语气"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
keep in touch,保持联络
keep in touch with ...,与...保持联络
career,"n. 事业, 生涯, 成功
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
signpost,"n. 招牌柱, 广告柱, 路标"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
accurate,"a. 正确的, 精确的
"
librarian,"n. 图书馆员, 图书管理员
"
Melbourne,n. 墨尔本
Christian,"n. 基督徒, 正派人
a. 基督的, 基督教的"
the Amish,"n. 阿曼门诺派（北美洲戒律严谨的宗教团体，过简朴的农耕生活，拒绝使用某些现代技术）
"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
cloth,"n. 布料, 织品, 布
"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
valley,"n. 山谷, 溪谷, 流域, 凹地
"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
glacier,n. 冰川
reindeer,n. 驯鹿
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
ban,"n. 禁令
vt. 禁止, 取缔"
boundary,"n. 边界, 分界线
"
cottage,"n. 小屋, 茅舍"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
on the move,"在活动中, 在发展, 活跃"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
set out,"n. 开始；出发；动身；准备
"
bless,"vt. 祝福, 祈佑, 使神圣化"
live off,"以...为食料, 靠...生活"
prohibition,"n. 禁令, 禁止"
prohibit,"vt. 禁止, 阻止
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
sneeze,"n. 喷嚏
vi. 打喷嚏"
teapot,n. 茶壶
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
cream,"n. 乳酪, 奶油, 面霜
"
leopard,"n. 豹, 美洲豹"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
rewarding,"a. 有益的, 有报酬的, 报答的"
bush,"n. 矮树丛
"
lung,"n. 肺, 肺脏, 空地
"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
corridor,"n. 走廊, 回廊, 人口密集地带"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
fountain,"n. 水源, 源, 喷泉, 泉水, 本源
"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
theme,"n. 主题, 话题, 题目"
theme park,n. （游乐园中的）主题乐园; 主题公园
roller coaster, 过山车
incredible,a. 难以置信的
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
appeal to,[法] 诉诸...
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
adorable,"a. 可崇拜的, 值得敬慕的, 可爱的"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
amusement,"n. 兴味, 娱乐, 消遣
"
amuse,"vt. 消遣, 娱乐, 使发笑"
enormous,"a. 巨大的, 庞大的"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
swung,swing的过去式和过去分词
swung,swing的过去式和过去分词
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
superb,"a. 极度的, 华丽的, 极好的"
aquarium,"n. 水族馆, 养鱼池, 水草缸
"
aquariums,n. 水族馆（aquarium的复数形式）；鱼缸；玻璃缸
aquaria,"pl. 养鱼池, 养鱼缸, 水族馆"
up to,"从事于(坏事), 忙于, 胜任, 能做, 适合, 适于"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
upside down,[网络] 机腹朝上；颠倒；上的姿势
splendid,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
appetite,"n. 食欲, 欲望, 爱好
"
entertainment,"n. 娱乐, 款待, 娱乐表演"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
Sami,n. 萨米人；萨米（等于Lapp）
Sarek National Park,[网络] 萨雷克国家公园；萨勒克国家公园；瑞典的萨勒克国家公园
Sweden,n. 瑞典
the Arctic Circle,n. 北极圈
Rapa River,无
Siberian,a. 西伯利亚（人）的；来自西伯利亚的
Dollywood, 多莱坞
interaction,"n. 交互作用, 交感
"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
appropriate,"a. 适当的
"
by contrast,"对比起来, 与之相比, 相反地"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
demonstrate,"vt. 示范, 证明
vi. 示威"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
identical,"a. 同一的, 恒等的, 完全相同的
"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
differ,"vi. 不一致, 不同
"
by comparison,比较起来
cheek,"n. 颊, 厚颜, 脸蛋
"
favour,"n. 好感, 偏爱, 喜爱, 相信, 庇护, 赞同, 支持, 信赖, 善行, 恩惠, 徽章, 礼物
vt. 赞成, 帮助, 支持, 喜爱, 偏袒, 关切, 赐与, 给与, 有利于, 有助于, 像, 体恤"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
waist,"n. 腰部, 腰
"
make inferences,无
break down,"v. 分解；抛锚；分析；划分
"
barrier,"n. 障碍, 栅栏
"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
anger,"n. 忿怒
vt. 激怒, 使发怒
vi. 发怒"
reliable,"a. 可靠的, 可信赖的
"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
slightly,"adv. 些微地, 苗条地"
twin,"n. 双胞胎中一人, 一对非常相像的人(或物)中的一个
a. 双胞胎的, 成对的, 孪生的
vi. 生双胞胎, 成对
vt. 怀(双胞胎), 使成对"
nonverbal,a. 不用语言的；不用动词的
assessment,"n. 评估, 估定, 评定的款额
"
assess,"vt. 估定, 对...征税, 评定
"
internal,"a. 内在的, 国内的
"
straighten up,"na. 改善；正派地过日子
"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
bent,"a. 弯曲的, 决心的
n. 爱好
bend的过去式和过去分词"
bent,"a. 弯曲的, 决心的
n. 爱好
bend的过去式和过去分词"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
in other words,换句话说
educator,n. 教育家
tick,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠
vi. 滴答响, 活动
vt. 滴答地记录, 标记号于"
tendency,"n. 趋向, 倾向
"
lower,"a. 低的, 下级的, 下层的
vi. 降低, 跌落, 减弱
vt. 放下, 降下, 减弱, 贬低"
imply,"vt. 暗示, 意味
"
barely,adv. 几乎不
chin,"n. 下巴, 颏
"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
ceiling,"n. 天花板
"
distract,"vt. 转移, 分心, 使发狂"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
distinguish,"v. 区别, 辨别"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
chest,"n. 胸, 胸部, 衣柜, 箱子
"
embarrassed,a. 尴尬的；窘迫的
ashamed,"a. 惭愧的, 羞耻的"
merely,adv. 只
call on,"号召, 呼吁, 约请, 访问"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
at work,"在工作, 在运转"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
inquire,"v. 询问, 问明, 查究"
enquire,v. 询问
ultimately,"adv. 最后, 最终
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
intervene,"vi. 插入, 调停, 干涉
"
react,"vi. 起反应, 起作用, 反攻
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
Brazil,n. 巴西
Bulgaria,"n. 保加利亚
"
Albania,n. 阿尔巴尼亚
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
"
devote,"vt. 投入于, 献身"
devote ... to,"v. 把…贡献给
"
shortage,"n. 不足, 缺乏
"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
crisis,"n. 危机, 危险期, 紧要关头
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
convince,"vt. 说服, 使相信
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
attain,"vt. 达到, 获得
vi. 达到"
conventional,"a. 传统的, 习惯的, 约定的
"
pollinate,vt. 对...授粉
assumption,"n. 假定, 自负, 担任, 假装
"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
overcame,overcome的过去式
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
output,"n. 输出, 产品, 产量
"
output,"n. 输出, 产品, 产量
"
output,"n. 输出, 产品, 产量
"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
domestic,"a. 家庭的, 国内的, 驯养的
"
consumption,"n. 消费, 消费量, 痨病
"
comprise,"vt. 包含, 构成"
be comprised of,由…组成
generate,"vt. 产生, 发生, 导致
"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
deep down, 本质上; 实际上; 事实上; 在内心深处
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
celebrity,"n. 名声, 名人"
envision,"vt. 想象, 预想"
sorghum,"n. 高粱, 芦黍糖浆, 甜得发腻的东西
"
broom,"n. 扫帚, 金雀花
vt. 扫除"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
reality,"n. 实在, 事实, 实体, 逼真
"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
wheat,n. 小麦
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
flavor,"n. 滋味, 调味品
vt. 加味于"
fertiliser,[化] 肥料
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
nutritional,"a. 营养的, 滋养的
"
nutritious,"a. 滋养的, 营养的
"
nutrition,"n. 营养, 营养学
"
alleviate,"vt. 减轻, 使缓和"
poverty,"n. 贫穷, 贫困, 缺乏
"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
pesticide,"n. 杀虫剂
"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
bacterium,"n. 细菌
"
bacteria,"pl. 细菌
"
in turn,"na. 挨次
"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
grocery,"n. 食品杂货店, 食品杂货业"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
for instance,"例如
"
depth,"n. 深度, 深处, 深奥
"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
entirely,"adv. 完全, 全然, 一概"
aspect,"n. 外观, 方面, 面貌, 方向
"
Vietnam,"n. 越南
 "
LED,"suf. [用以构成形容词]表示“(主要)受…影响的”,“由…引导的”：consumer-led,market-led"
light-emitting diode,"un. 发光两极管
"
DDT,[网络] 磁盘到磁盘到磁带(disk-to-disk-to-tape)；磁盘到磁盘再到磁带；近线存储再到离线存储
