nursery,"n. 托儿所, 苗圃, 温床
"
realm,"n. 王国, 领土, 领域
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
latter,"a. 后者的, 较后的, 近来的"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
drought,"n. 干旱, 缺乏"
principle,"n. 原则, 原理, 主义
"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
mixture,"n. 混合, 混淆, 混合物
"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
architecture,"n. 建筑学, 建筑式样
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
secretary,"n. 秘书, 书记, 大臣
"
disaster,"n. 灾祸, 不幸, 彻底失败"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
previous,"a. 早先的, 前面的, 过急的
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
modification,"n. 修正, 修饰, 修改
"
extent,"n. 范围, 程度, 区域
"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
logical,"a. 合乎逻辑的, 合理的
"
expense,"n. 费用, 代价, 开支, 损失
"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
characterise,"vt. 表示...的特性, 成为/是...的特性, 刻划/描述...的性格
vi. 在文艺作品中塑造人物, 描绘性格"
variety,"n. 多样, 种类, 变种, 杂耍
"
basis,"n. 基础, 主要成分
"
union,"n. 联盟, 联合, 结合, 工会
"
unionism,"n. 工会主义, 联合主义, 联邦主义"
ghost,"n. 鬼, 灵魂, 幻影, 一丝, 一点
v. 鬼似地游荡"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
exception,"n. 例外, 除外, 异议
"
exceptional,"a. 例外的, 异常的, 特别的"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
property,"n. 财产, 所有权, 性质, 属性
"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
performer,"n. 表演者, 执行者, 完成者
"
wound,"n. 创伤, 伤口, 伤疤, 伤害, 痛苦
vt. 伤害, 损害, 使受伤
vi. 打伤, 伤害
wind的过去式和过去分词"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
complexity,"n. 复杂, 复杂性, 复杂的事物"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
workforce,"n. 劳动力；工人总数, 职工总数"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
candidate,"n. 候选人, 投考者
"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
unique,"a. 独一无二的, 独特的, 稀罕的"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
remind,"vt. 提醒, 使想起"
reminder,"n. 提醒的人, 暗示
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
dean,"n. 院长, 主持牧师
"
sociologist,"n. 社会学家
"
sociology,"n. 社会学
"
dense,"a. 密集的, 浓厚的"
density,"n. 密度
"
bold,"a. 大胆的
n. 粗体
"
boldness,"n. 大胆, 勇敢, 冒失
"
molecule,"n. 分子, 些微
"
molecular,"a. 分子的, 由分子组成的
"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
bury,"vt. 埋葬, 埋藏"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
horizon,"n. 地平线, 眼界, (天)视地平"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
destination,"n. 目的地, 目标, 目的
"
civil,"a. 市民的, 公民的, 有礼貌的
"
civility,"n. 礼貌, 礼仪"
profession,"n. 职业, 表白, 声明
"
emigrate,"v. (使)移居, (使)移民"
emigration,"n. 移民, 移居外国(或外地)
"
dealer,"n. 经销商, 商人
"
dealership,"n. 代理权, 经销权
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
initially,"adv. 最初, 开头"
amateur,"n. 业余爱好者, 外行, 爱好者
"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
harmony,"n. 协调, 和睦, 调和
"
harmonious,"a. 和睦的, 调和的, 和谐的, 协调的"
decorate,v. 装饰
decoration,"n. 装饰, 装饰品"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
critique,"n. 评论文章, 评论"
whereas,"conj. 然而, 鉴于
"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
intend,"vt. 计划, 打算, 意思是
"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
breadth,"n. 宽度
"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
livelihood,"n. 生计, 营生, 生活"
mill,"n. 压榨机, 磨坊, 制造厂
vt. 碾磨, 磨细, 搅拌, 使乱转
vi. 乱转, 被碾磨"
abundant,"a. 丰富的, 充分的, 大量的"
abundance,"n. 丰富, 充足, 大量
"
abundantly,"adv. 大量地, 丰富地"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
technique,"n. 技巧, 技术, 方法
"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
revolutionary,"n. 革命者, 革命党人
a. 革命的, 革命性的"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
favour,"n. 好感, 偏爱, 喜爱, 相信, 庇护, 赞同, 支持, 信赖, 善行, 恩惠, 徽章, 礼物
vt. 赞成, 帮助, 支持, 喜爱, 偏袒, 关切, 赐与, 给与, 有利于, 有助于, 像, 体恤"
favourable,"a. 有用的, 良好的, 赞成的, 顺利的
"
makeup,"n. 组成, 性格, 化妆品, 化装(术), 虚构, 补考"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
election,"n. 选举, 当选, 选择权
"
extra,"n. 额外的事物, 另外的收费
a. 额外的, 特别的
adv. 额外地, 特别地, 非常地"
preference,"n. 偏爱, 优先, 喜爱物
"
comparison,"n. 比较, 对照, 比喻
"
comparable,"a. 可比较的, 比得上的"
crisis,"n. 危机, 危险期, 紧要关头
"
prolong,"vt. 延长, 拖延, 拖长
"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
positive,"a. 肯定的, 积极的, 有把握的
"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
curriculum,"n. 课程
"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
inferiority,"n. 自卑, 次等
"
critic,"n. 批评家, 鉴定家"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
consciousness,"n. 意识, 知觉, 自觉
"
amuse,"vt. 消遣, 娱乐, 使发笑"
applicant,"n. 申请者
"
offend,"v. 犯罪, 冒犯, 违反, 进攻"
typical,"a. 典型的, 象征性的
"
irrigation,"n. 灌溉, 冲洗
"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
facility,"n. 容易, 灵巧, 设备
"
factual,"a. 事实的, 实际的
"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
outweigh,"vt. 比...重, 比...重要, 比...有价值"
peasant,"n. 农夫, 乡下人"
simplicity,"n. 单纯, 简朴, 朴素, 坦率, 天真
"
breakthrough,"n. 突破
"
accomplish,"vt. 完成, 达到, 实现, 使完美"
accomplishment,"n. 成就, 完成"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
massive,"a. 大而重的, 宽大的, 宏伟的
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
sizable,"a. 相当大的, 大小相当的"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
nutrition,"n. 营养, 营养学
"
cope,"vi. 竞争, 应付
n. 长袍"
compute,"v. 计算, 估算
n. 计算, 估算"
publicity,"n. 名声, 宣传, 公开场合
"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
terrific,"a. 非常好的, 极端的, 可怕的"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
traceable,"a. 可追踪的, 可描绘的
"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
micro,"[计] 表示""小"",""微"",""微量"",""百分之一"""
adopt,"vt. 采用, 正式通过, 收养, 接受
"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
quantity,"n. 量, 数量, 总量
"
elevate,"vt. 举起, 提拔, 鼓舞"
elevation,"n. 海拔, 提高, 仰角
"
geographic,"a. 地理(学)的, 地区(性)的"
enthusiasm,"n. 巨大的热情, 热心"
viewpoint,n. 观点
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
summarise,"vt. 概括, 总结, 摘要, 概述"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
visionary,"a. 幻像的, 幻想的, 梦想的
n. 有眼力的人, 空想家, 梦想者"
statistics,"n. 统计学, 统计资料
"
statistical,"a. 统计的, 统计上的, 统计学的
"
statistician,"n. 统计员, 统计学家
"
detect,"vt. 发现, 察觉, 探测
"
detector,"n. 发现者, 检验器, 检波器
"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
federal,"a. 联邦的, 联合的, 同盟的
"
definite,"a. 明确的, 一定的
"
skyscraper,"n. 摩天楼, 三角形天帆"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
importation,"n. 进口, 输入品
"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
colony,"n. 殖民地, 移民队
"
colonial,"a. 殖民的, 殖民地的
"
colonialism,n. 殖民主义
colonist,"n. 殖民地居民, 移民"
insist,"v. 坚持, 坚决主张, 强调"
satisfaction,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会
"
biographer,n. 传记作者
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
observer,"n. 观察者, 遵守者, 观察员
"
observation,"n. 观察, 注意, 观测, 观察力
"
observatory,"n. 天文台, 气象台, 了望台"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
spotlight,"n. 照明灯, 反光灯, 聚光灯"
handy,"a. 便利的, 敏捷的, 容易取得的
"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
biased,"a. 有偏见的
"
unbiased,"a. 没有偏见的
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
fame,"n. 名望, 名声, 传说"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
harshness,"n. 粗糙事物, 刺耳, 严肃"
status,"n. 状态, 情形, 地位, 要人身份
"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
scholarship,"n. 学问, 学术成就, 奖学金"
minimum,"a. 最小的, 最低的
n. 最小值
"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
hint,"n. 暗示, 提示
v. 暗示, 示意"
implication,"n. 牵连, 含义, 暗示
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
shrinkage,"n. 收缩, 收缩量, 减低
"
output,"n. 输出, 产品, 产量
"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
mood,"n. 心情, 气氛, 生气, 基调
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
tuition,"n. 学费, 讲授"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
determine,"v. 决定, 决心"
determinism,"n. 决定论
"
determination,"n. 决心, 果断
"
fantasy,"n. 幻想, 想象的产物
"
strictly,"adv. 严格地, 确实地"
decisive,"a. 决定性的, 坚定的, 果断的"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
treatment,"n. 治疗, 待遇, 处理
"
promote,"vt. 促进, 晋升, 创办, 推销
"
promoter,"n. 促进者, 助长者
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
connection,"n. 连接, 关系, 前后关系
"
frighten,"vt. 使惊吓
vi. 惊恐"
examine,"v. 检查, 调查, 考试"
examination,"n. 考试, 测验, 审查
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
