save up,"储蓄, 贮存"
gaze at sb.,盯住
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
accidentally,"adv. 偶然地, 意外地"
wire,"n. 电线, 电报, 电信, 铁丝网, 金属丝
vt. 用金属丝捆扎, 拍电报
vi. 打电报"
volt,"n. 伏特
"
16000-volt power line,无
power line,"[计] 电源线, 电力线"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
evidence,"n. 根据, 证据, 迹象
"
dressmaker,n. 裁缝
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
scissors,"pl. 剪刀
"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
sticky,"a. 粘的, 有粘性的, 顽固的"
pie,"n. 馅饼, 财富, 总额, 贪污受贿, 杂乱, 喜鹊
"
pastry,"n. 油酥点心, 面粉糕饼"
annoying,"a. 恼人的, 讨厌的"
receiver,"n. 接收器；接受者；收信机；收款员, 接待者"
dismayed,"a. 惊愕的; 惊慌的; 沮丧的; 失望的
v. 使惊愕, 使焦虑, 使气馁( dismay的过去式和过去分词 )"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
registered,"a. 注册的, 登记过的, 记名的, 挂号的
"
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
dumplings,n. 汤团( dumpling的名词复数 ); 饺子; 水果布丁; 矮胖的人
steamed dumplings,无
filling,"n. 充填物, 填料
"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
tart,"a. 酸的, 辛辣的, 尖酸的
vt. 妖艳打扮
n. 果馅饼, 妓女"
unify,"v. 统一, 使成一体"
gold,"n. 黄金, 钱财, 金块, 金色, 宝贵
a. 金的, 似金的, 金色的, 金制的"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
revealer,"n. 展示者, 揭露者"
detect,"vt. 发现, 察觉, 探测
"
bury,"vt. 埋葬, 埋藏"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
seashore,"n. 海岸, 海滨"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
recite,"v. 背诵, 朗读, 叙述"
lorry,"n. 卡车, 货车
"
gardening,n. 园艺(学)
machinery,"n. 机器, 机械装置, 机构
"
confide in sb.,信任
a great deal of,很多的
excitement,"n. 刺激, 兴奋
"
Benz,n. 奔驰(汽车)
explosion,"n. 爆发, 激增, 爆炸(声)
"
break down,"v. 分解；抛锚；分析；划分
"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
downhill,"a. 下坡的
adv. 下坡, 向下"
Indonesian,"a. 印尼的
n. 印尼人, 印尼语群"
product,"n. 产品, 结果, 乘积
"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
thump,"n. 重打, 重击声
v. 重打, 撞击, 痛打"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
scornfully,"adv. 鄙视地, 轻蔑地"
fur coat, 皮大衣
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
seek sth. out,"搜出, 挑出"
seek sb. out,"搜出, 挑出"
eager,"a. 热心的, 渴望的, 热望的"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
raincoat,n. 雨衣
lid,"n. 盖子, 限制, 眼睑
vt. 给...盖盖子"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
despise,vt. 轻视
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
scarcely,"adv. 简直不, 一定不, 仅仅"
blessing,n. 祝福
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
in disguise,乔装着
tiny,"a. 很少的, 微小的"
cursed,a. 被诅咒的
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
victim,"n. 受害人, 牺牲者, 牺牲品
"
vicar,"n. 教区牧师, 教堂主持, 代理人
"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
income,"n. 收入, 收益, 流入
"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
earthquake,n. 地震
genius,"n. 天才, 天赋, 精神, 神魔
"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
superstitious,"a. 迷信的
"
overgrow,"vt. 在...上长满, 长得太大使...不适用
vi. 长满, 长得过大"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
rumour,"n. 谣言, 传闻
vt. 谣传"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
paw,"n. 爪
v. 以蹄扒地, 用爪子抓, 拼命抓, 向...乱抓, 笨拙地使用, 费力地前进"
latch,"n. 门闩
vi. 上闩, 抓住, 占有
vt. 闩上
"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
pet,"n. 宠物, 受宠爱的人, 宠坏的孩子, 不悦, 生气
a. 宠爱的, 表示亲昵的, 养着观赏的, 特别珍爱的, 格外的
vt. 宠爱, 溺爱, 抚摸
vi. 拥抱, 爱抚, 生气, 发脾气"
fax,"n. 传真
vt. 发传真
"
inside,"n. 内部, 内脏, 内幕
a. 内部的, 秘密的, 户内的
adv. 在里面
prep. 在...之内"
from the inside, 发自内心；来自内部
crafty,"a. 狡诈的, 诡计多端的, 巧妙的"
sly,"a. 狡猾的, 诡密的, 俏皮的, 偷偷摸摸的"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
skilful,"a. 灵巧的, 熟练的, 制作精巧的"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
future,"n. 未来, 将来
a. 将来的, 未来的"
fortune-teller, 算命者
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
crystal ball,"n. （占卜用的）水晶球, 玻璃球, 预言未来的方法"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
"
impatiently,"adv. 不耐烦, 忍受不了, 急躁, [表]急欲, 急切"
foretell,"vt. 预言, 预告, 预示"
colleague,"n. 同事, 同僚"
acquaintance,"n. 认识, 相识者"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
behaviour,"n. 行为, 举止
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
Bali Myna,无
aviary,"n. 大型鸟舍, 鸟类饲养场"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
terribly,"adv. 可怕地, 甚为, 非常"
parrot,"n. 鹦鹉, 应声虫
vt. 学舌, 机械地模仿"
shut up,"关闭, 监禁, 住口, 保藏"
site,"n. 位置, 场所, 地点
vt. 给...择址"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
community,"n. 社区, 公众, 共有, 共同体
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
under control,"un. 失去控制；被控制住；克制；在控制之下
"
desolate,a. 荒凉的
destruction,"n. 破坏, 毁灭
"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
grass-seed,草籽
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
quantity,"n. 量, 数量, 总量
"
in huge quantities,无
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
take root,"生根, 扎根"
in place of,"代替
"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
blacken,"vt. 使变黑, 诽谤
vi. 变黑"
Parthenon,n. 帕台农神殿
skyscraper,"n. 摩天楼, 三角形天帆"
olive,"n. 橄榄, 橄榄树, 橄榄色, 橄榄枝
a. 黄绿色的, 黄褐色的, 橄榄色的"
inspector,"n. 检查员, 巡视员
"
composer,"n. 作曲家, 作家, 调停者"
ton,"n. 吨
"
reception,"n. 接待, 接受, 招待会
"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
humour,"n. 幽默, 诙谐, 情绪, 体液
vt. 使满足, 迁就"
sense of humour, 幽默感
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
somehow,adv. 不知何故
somewhat,"n. 某物, 几分
adv. 多少, 几分"
species,"n. 种, 类, 外形
"
category,"n. 种类, 类项
"
comprise,"vt. 包含, 构成"
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
"
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
"
chimney,"n. 烟囱, 灯罩
"
put sth. forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
ventilation,"n. 通风, 空气流通, 公开讨论
"
draw sth. in,"收缩, 引诱, 接近黄昏, 紧缩开支"
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
invasion,"n. 侵犯, 侵入, 侵害
"
officially,"adv. 作为公务员, 职务上, 官方地"
continent,"n. 大陆, 洲
a. 自制的"
draw back,"收回, 退却, 缩回
"
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
"
draw sth. up,"na. 写出；正容；整(队)；拉起(鱼网等)
"
horrify,"vt. 使恐惧, 使震惊"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
circulation,"n. 流通, 循环, 发行量
"
rejoin,"vt. 使再结合, 再加入, 回答
vi. 重新聚合, 回答, 第二次答辩"
versus,"prep. 对...
"
Christmas,[网络] 圣诞；基督的弥撒
Father Christmas,圣诞老人；耶诞老人（等于Santa Claus）
guard of honour,na. 仪仗队
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
ought to,应该
side street,背街
hold sb. up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
hold sth. up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
fortunate,"a. 幸运的, 幸福的"
let sb. off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
let sb. down,"na. 使失望；放下；丢面子
"
apology,"n. 道歉, 辩护
"
negate,"vt. 否定, 否认, 取消
"
fate,"n. 命运, 运气
vt. 注定"
Lancaster,n. 兰开斯特（美国成市）
bomber,"n. 轰炸机, 投弹手"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
undisturbed,"a. 未被扰乱的, 安静的, 镇定的"
rediscover,vt. 重新发现
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
enthusiast,"n. 热心家, 狂热者, 爱好者"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
packing case,[化] 填料函
colony,"n. 殖民地, 移民队
"
hive,"n. 蜂房, 闹区, 蜜蜂群
vi. 进入蜂房, 储藏蜜于蜂房, 如蜂般群居
vt. 使进蜂房, 储备
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
beeswax,"n. 蜂蜡, 蜜蜡
vt. 用蜡上光"
talented,"a. 天资高的, 有才能的"
audience,"n. 听众, 观众, 读者
"
spellbind,"vt. 用妖术迷惑, 迷住"
inflation,"n. 胀大, 夸张, 通货膨胀
"
shipwrecked,"n. 海滩, 海难；失事"
crew,"n. 全体人员, 一群人, 全体队员
crow的过去式"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
bit by bit,一点一点
well-known, 众所周知的; 出名的
volcano,n. 火山
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
Polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
Kivu,n. 基伏（位于刚果民主共和国与卢旺达的边界的湖）
Congo,"n. 刚果, 刚果河, 工夫茶
"
Kituro,无
erupt,"vi. 爆发
vt. 喷出"
violently,"adv. 猛烈地, 激烈地, 极端地"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
scholarship,"n. 学问, 学术成就, 奖学金"
scooter,"n. 小型摩托车, 踏板车
"
Ford,[网络] 福特
Fiat,"n. 命令, 严命, 许可
"
prisoner,"n. 囚犯, 犯人, 战俘
"
Poland,n. 波兰
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
waiting room,"候车室, 等候室
"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
rush hour,"n. （上, 下班的）高峰期"
insensitive,"a. 对...没有感觉的, 感觉迟钝的
"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
"
cruel,"a. 残酷的, 令人极痛苦的
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
murder,"n. 谋杀
vt. 谋杀, 损毁, 破坏
vi. 犯杀人罪"
licence,"n. 执照, 许可证, 特许
vt. 许可, 特许, 认可"
driving licence,n. 驾驶执照
acquire,"vt. 获得, 学到
"
confidence,"n. 信心
"
tap on sth.,"轻轻叩打,轻敲,轻拍"
react,"vi. 起反应, 起作用, 反攻
"
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
brake pedal,[化] 刹车踏板
mournful,"a. 悲恸的, 悲哀的, 令人惋惜的"
clown,"n. 小丑, 乡下人"
magician,"n. 魔术家, 幻术家, 术士"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
lamentable,"a. 可悲的, 哀伤的, 可怜的"
pitiful,"a. 慈悲的, 可怜的, 令人同情的, 可鄙的"
sorrowful,a. 悲伤的
bullfight,n. 斗牛
drunk,"a. 喝醉了的
drink的过去式"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
unaware,"a. 未认识到的, 不知道的
"
be unaware of sth.,"不知道, 不注意"
bull,"n. 公牛
"
matador,n. 斗牛士
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
apparently,"adv. 表面上, 清楚地, 显然地"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
criticism,"n. 批评, 评论, 非难
"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
charge at sb.,向…袭击; 扑向
clumsily,"adv. 笨拙, 粗陋, 不漂亮"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
safety,"n. 安全, 保险, 平安, 保安设备
vt. 保护, 防护"
look on,"观看, 旁观, 看待"
sympathetically,"adv. 怜悯地, 同情地"
civilised,a. 文明的
boxing,"n. 拳击
"
ban,"n. 禁令
vt. 禁止, 取缔"
qualified,"a. 有资格的
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
sufficient,"a. 充分的, 足够的
"
thankful,"a. 感谢的, 感激的, 欣慰的"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
familiar,"a. 熟悉的, 常见的, 亲密的
n. 熟友, 常客"
aware,"a. 知道的, 有觉悟的"
conscious,"a. 有意识的, 知觉的, 觉察的
"
envious,"a. 嫉妒的, 羡慕的"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
harmful,"a. 有害的, 伤害的"
identical,"a. 同一的, 恒等的, 完全相同的
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
obedient,"a. 服从的, 顺从的, 孝顺的
"
indignant,"a. 愤怒的, 愤慨的"
deficient,"a. 不足的, 不充分的, 有缺陷的"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
curious,"a. 好奇的, 求知的, 古怪的"
reluctant,"a. 不情愿的, 勉强的
"
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
conclusion,"n. 结论, 结尾, 推论
"
knowledgeable,"a. 聪明的, 有知识的"
sensible,"a. 有感觉的, 敏感的, 明智的
"
BBC,"n. 英国广播公司
"
British Broadcasting Corporation,英国广播公司
Parliament,"n. 国会, 议会
"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
accurate,"a. 正确的, 精确的
"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
Greenwich Observatory, 格林尼治天文台
microphone,"n. 扩音器, 麦克风
"
slow sth. down,(使)慢下来
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
poet,n. 诗人
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
admiral,"n. 舰队司令, 海军上将, 旗舰"
abolish,"vt. 废止, 革除, 消灭
"
Bluebird,n. 蓝鸟牌汽车
racing driver,赛车驾驶员
per,"prep. 每一, 通过, 经, 按照
"
x miles per hour,无
Bonneville Salt Flats,[地名] 邦纳维尔盐碱滩 ( 美 )
Utah,n. 犹他
horsepower,"n. 马力
"
2500-horsepower engine,无
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
kneel,vi. 跪下
kneel down,跪下
prayer,"n. 祈祷, 恳求, 祷辞, 祈祷者"
record-holder,n. 纪录保持者
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
