heated,"a. 热的, 激昂的, 兴奋的"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergence,"n. 出现, 浮现, 发生"
slam,"n. 砰然声, 猛然, 猛烈的抨击
vt. 猛然关上, 砰地关上, 猛烈抨击
vi. 砰地关上, 猛攻"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
track down,"追捕到
"
be seated,"坐下, 坐落于"
spring up,出现
at the sight of,在看到…时
feel like," 摸起来像是…, 有…的感觉; 想要…"
come to,"谈到, 被...继承, 苏醒, 停止"
make for,"走向, 有利于, 倾向于"
ring out,"鸣钟送别, 打卡下班"
light up,"开始吸烟, 发亮, 露喜色
"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
overtake,"vt. 赶上, 突然降临于, 压倒, 代替"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
cheerful,"a. 快活的, 高兴的, 兴高采烈的"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
distinction,n. 区别
sex,"n. 性别, 性欲
vt. 区别...的性别, 引起...的性欲"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
skilled,"a. 熟练的
"
demonstrate,"vt. 示范, 证明
vi. 示威"
declaration,"n. 宣告, 说明, 宣布
"
independence,"n. 独立, 自立, 自主
"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
besides,"prep. 除...之外
adv. 而且, 此外"
investigation,"n. 调查, 审查
"
examination,"n. 考试, 测验, 审查
"
investigate,"v. 调查, 审查"
appoint,"vt. 任命, 指定, 下令
"
appointment,"n. 约会, 委任的职位, 委派
"
committee,"n. 委员会
"
capitol,"n. 国会大厦, 州议会大厦, 朱比特神庙"
canoe,"n. 独木舟, 轻舟
vi. 乘独木舟
vt. 用独木舟运"
on-the-spot,"当场, 立即, 在危险中, 处境尴尬
"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
origin,"n. 起源, 起因, 出身, 开端
"
gardener,"n. 园丁, 花匠, 园艺家"
nobleman,n. 贵族
dissatisfy,"vt. 使感觉不满, 不满足"
dissatisfied,"a. 不满的, 显出不满的"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
threat,"n. 恐吓, 恶兆, 威胁
"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
rejection,"n. 拒绝, 抛弃, 驳回, 被抛弃的东西, 呕出物
"
nephew,"n. 侄子, 外甥"
error,"n. 错误, 过失, 失误, 误差
"
judgment,"n. 裁判, 宣告, 判决书
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
hesitation,"n. 犹豫, 踌躇, 含糊, 口吃, 暂停
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
unquestioning,"a. 不提出疑问的, 不提出质询的, 不犹豫的
"
criticism,"n. 批评, 评论, 非难
"
critic,"n. 批评家, 鉴定家"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
resent,"vt. 愤恨, 憎恶, 怨恨"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
constitution,"n. 构成, 宪法, 体格
"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
idealism,"n. 唯心主义, 观念论, 唯心论, 理想主义"
archeology,n. 考古学
archaeology,n. 考古学
rotation,"n. 旋转, 循环, 轮流
"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
conservation,"n. 保护, 保存
"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
superiority,"n. 优越, 高傲
"
existence,"n. 存在, 生存
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
architecture,"n. 建筑学, 建筑式样
"
tireless,"a. 不疲倦的, 不厌倦的, 不屈不挠的"
writer,"n. 作家, 撰稿者, 抄写员
"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
self-evident,adj. 不证自明的
create,"vt. 创造, 建造, 引起, 任命"
creation,"n. 创造, 创作物, 发明
"
anniversary,n. 周年纪念
countryman,"n. 同胞, 乡下人, 国民"
legacy,"n. 祖先传下来之物, 遗赠物
"
debt,"n. 债务, 罪过
"
educate,"vt. 教育, 培养, 训练"
go out of one's way,"特地, 不怕麻烦, 故意"
go out of one's way to do sth.,无
leave ... to,留某事给…处理
act on,"按...行动, 作用于
"
leave behind,"na. 遗留；留下；追过；留在后头
"
in existence,"存在, 现有"
above all,"尤其是, 首先"
owe ... to,"v. 由于；把…归功于
"
leader,"n. 领导者, 社论, 指挥, 领袖, 领唱者, 前导字符
"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
Greek,"n. 希腊人, 希腊语
a. 希腊的, 希腊人的
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
ceremony,"n. 典礼, 仪式, 礼节
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
leadership,"n. 领导能力, 领导阶层"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
rail,"n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡
vt. 以横木围栏, 给...铺铁轨
vi. 责骂, 抱怨"
speaker,"n. 说话人, 讲演者, 发言人, 喇叭, 扬声器
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
union,"n. 联盟, 联合, 结合, 工会
"
civil,"a. 市民的, 公民的, 有礼貌的
"
economy,"n. 经济, 理财, 节约
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
congress,"n. 国会, 会议, 讨论会
"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
federal,"a. 联邦的, 联合的, 同盟的
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
capable,"a. 有能力的, 能的, 能干的"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
thoughtful,"a. 深思的, 体贴的"
treatment,"n. 治疗, 待遇, 处理
"
hatred,"n. 憎恨, 仇恨, 憎恶
"
procession,"n. 队伍, 连续, 列队行进, 涌出"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
torch,"n. 火把, 启发之物
"
circumstance,"n. 环境, 状况, 事件"
policy,"n. 政策, 方针, 策略, 保险单
"
emphasize,"vt. 强调, 加强语气, 着重"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
advertisement,"n. 广告, 启事, 广告宣传
"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
suburb,"n. 市郊住宅区, 郊区, 边缘"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
awkward,"a. 笨拙的, 棘手的"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
gravel,"n. 砂砾, 碎石
"
evergreen,"n. 常绿树, 常绿植物
a. 常绿的"
shrub,"n. 矮树, 灌木, 果汁甜酒"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
sandy-coloured,adj. 沙色的; 黄中带红的
moustache,"n. 髭, 小胡子, 触须"
forehead,"n. 额, 前额, 前部
"
disapproval,n. 不赞成
colonel,"n. 陆军上校, 长官"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
bootlace,n. 鞋带
undo,"vt. 解开, 取消, 破坏, 毁灭, 扰乱
vi. 松开
"
ah,"interj. 啊, 哈"
grunt,"vi. 作呼噜声
vt. 咕哝
n. 呼噜声, 咕哝"
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
cabbage,"n. 卷心菜
"
crumb,"n. 碎屑, 面包屑, 少许
vt. 捏碎, 弄碎"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
bloodshot,a. 充血的
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
mumble,"n. 喃喃而语, 咕哝
v. 喃喃而语, 咕哝"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
obviously,"adv. 显而易见地, 明显地"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
consist,"vi. 组成, 存在于, 一致"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
cricket,"n. 蟋蟀, 板球"
set-up,"na. 建立；创立；发起；开办
"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
algebra,n. 代数学
geometry,"n. 几何学
"
incompetent,"a. 无能力的, 无资格的, 机能不全的, 不胜任的
n. 无能力者"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
salary,"n. 薪水
vt. 给...加薪"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
straw,"n. 稻草, 麦管, 吸管, 一文不值的东西, 草帽
a. 稻草的, 稻草色的, 琐碎的, 无价值的"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
constitute,"vt. 构成, 组成, 任命
"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
indignity,"n. 侮辱
"
be short of,"缺乏..., ...不足"
smell of,有...的气味
judging by,根据…来判断
attach importance to,重视
in common,共有
consist of,由...组成
in turn,"na. 挨次
"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
attitude,"n. 态度, 看法, 姿势
"
optical,"a. 眼睛的, 视觉的, 光学的
"
sake,"n. 目的, 缘故, 理由"
thunder,"n. 雷, 雷声
vi. 打雷, 轰隆地响, 怒喝
vt. 大声喊出, 轰隆地发出"
Negro,"n. 黑人
a. 黑人的"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
typewriter,n. 打字机
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
"
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
yo-yo, 悠悠球，溜溜球，摇摇（拉线使圆盘旋转着沿线上下来回移动）
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
universe,"n. 宇宙, 星系, (思想等)范围"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
simplicity,"n. 单纯, 简朴, 朴素, 坦率, 天真
"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
frustration,"n. 挫折, 顿挫
"
jealousy,"n. 妒忌, 猜忌, 羡慕
"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
vanity,"n. 虚荣心, 虚无, 自负, 空虚, 时髦的小摆饰"
ambition,"n. 野心, 志向"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
immunity,"n. 免疫, 免疫性, 免除
"
emotion,"n. 情绪, 激动, 强烈的情感
"
pretension,"n. 自负, 骄傲, 主张"
correspond,"vi. 符合, 通信, 相当
"
stationery,"n. 文具, 信纸
"
watermark,"n. 水位标志, 水印
vt. 印水印于"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
razor,"n. 剃刀
vt. 剃"
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
shrug,"n. 耸肩
v. 耸肩"
finally,"adv. 最后, 终于"
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
thereafter,"adv. 其后, 从那时以后"
revert,"vi. 恢复, 复归, 回复, 还原
vt. 使回复原状, 使回转
n. 恢复原信仰的人
"
exclusively,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地"
exclusive,"a. 排外的, 独占的, 唯一的
"
theorist,"n. 理论家, 理论工作者"
equation,"n. 相等, 等式, 平衡
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
reactor,"n. 反应者, 反应器, 反应堆, 电抗器
"
atomic,"a. 原子的, 原子能的
"
atom,"n. 原子, 核能, 微粒, 微量
"
photoelectric,"a. 光电的, 灯光摄影装置的
"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
repeatedly,"adv. 重复地, 再三地"
dunk,"vt. 浸一浸, 泡一泡"
deduce,"vt. 推论, 演绎出
"
deduction,"n. 减除, 扣除, 减除额, 推论
"
principle,"n. 原则, 原理, 主义
"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
reasoning,"n. 推论, 推理, 论证
"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
solution,"n. 解决, 解答, 溶液
"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
fame,"n. 名望, 名声, 传说"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
capable,"a. 有能力的, 能的, 能干的"
capability,"n. 能力, 性能, 约束力
"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
household word,n. 家喻户晓的词
civilized,"a. 文明的, 有礼的"
civilize,"vt. 使开化, 使文明
vi. 变文明"
civilization,"n. 文明, 教化
"
bewilder,"vt. 使迷惑, 使不知所措"
statesman,n. 政治家
at ease,"na. 自由自在；=stand at ease.
"
off balance,"un. 偿清债务；趔趄
"
come to terms with,"与…达成协议,慢慢习惯"
as far as,"远到, 直到, 至于"
mean nothing to,不为…所赞赏，在…看来毫无意义；不为…所理解，对…来说是一窍不通
believe in,"信仰, 信任"
so much so that,到这样程度以致...
a series of,"一系列..., 一批..."
take apart,"na. 分解；拆分；剖析
"
work out,"v. 作出；拟定；制定；计划一下
"
capable of, 有…能力（或技能）的，能…的
single out, 挑选; 抉
literature,"n. 文学, 文艺, 著作
"
lover,"n. 爱人, 爱好者"
mankind,"n. 人类, 男性"
explosive,"n. 炸药, 爆破音
a. 易爆发的, 爆炸的, 暴躁的"
weapon,"n. 武器, 兵器
vt. 武装"
injure,"vt. 伤害, 损害, 使受冤屈
"
useless,"a. 无用的, 无效的, 无益的
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
skillful,"a. 熟练的, 巧妙的
"
financial,"a. 财政的, 金融的
"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
villain,"n. 坏人, 恶棍
"
dioxide,"n. 二氧化物
"
poisonous,"a. 有毒的, 恶毒的, 讨厌的
"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
liberate,"vt. 解放, 释放, 使自由
"
apparently,"adv. 表面上, 清楚地, 显然地"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
likelihood,"n. 可能, 可能性"
low-lying,"adj. 低下的；低洼的；低低的
"
coastal,"a. 海岸的, 沿海的, 沿岸的
"
fraction,"n. 小部分, 破片, 分数
"
steadily,"adv. 稳定地, 无变化地, 有规则地"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
inland,"a. 内陆的, 国内的
n. 内地"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
beneath,"prep. 在...下方
adv. 在...下方"
starvation,"n. 饥饿, 饿死
"
starve,"v. (使)饿死, (使)挨饿"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
connection,"n. 连接, 关系, 前后关系
"
sunlight,"n. 日光
"
gas,"n. 气体, 汽油, 瓦斯
"
transparent,"a. 透明的, 显然的, 清晰的
"
radiation,"n. 辐射
"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
infrared,"a. 红外线的
n. 红外线"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
distinctly,"adv. 显然地, 明显地, 清楚地"
distinct,"a. 清楚的, 显著的, 不同的"
villainy,"n. 坏事, 恶行, 罪恶
"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
disappear,"vi. 消失, 不见"
acre,n. 英亩
replace,"vt. 代替, 替换, 放回, 归还
"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
replant,"vt. 改种, 在...再植, 使移居"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
solar,"a. 太阳的, 日光的, 源自太阳的
"
compete,"vi. 竞争, 对抗"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
do harm,"un. 闯荡；受伤；加害；不利
"
do sb. harm,"un. 闯荡；受伤；加害；不利
"
serve as,"被用作..., 充当..., 起...的作用"
from year to year,年年
in all likelihood,"十之八九, 十分可能"
come about,"发生, 改变方向"
go up,"上升, 兴建"
make up,"na. 弥补；起草；定；签订
"
first of all,首先
to make matters worse,更糟糕的是
at first,起先
by itself,"单独地,孤零地;独立地"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
most of all,"尤其,首先"
object to,"反对,不赞成"
vessel,"n. 船, 容器, 脉管
"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
rocket,"n. 火箭, 烟火
vi. 急升, 猛涨, 飞驰
vt. 用火箭运载"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
complicated,"a. 复杂的
"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
cell,"n. 单元, 细胞, 电池
"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
gravity,"n. 地心引力, 重力
"
laboratory,"n. 实验室, 研究室, 化工厂
"
tank,"n. 槽, 箱, 柜, 罐, 池塘, 储水池, 坦克
vt. 储于箱中"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
aluminum,"n. 铝
"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
outer,"a. 外部的, 外面的, 在外的, 远离中心的
"
surgeon,"n. 外科医生, 军医, 船医
"
self-confidence,自信
making,"n. 制造, (手工)制造业, 制作, 形成, 发展, 要素, 内在因素, 赚头, 制造物"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
surgical,"a. 外科的, 外科医生的, 手术上的
n. 外科病例, 外科病房, 外科手术"
competently,adv. 胜任地；适合地
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
infrequently,"adv. 很少发生, 不常发生, 罕见, 稀罕, 偶有, 不寻常"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
