alliance,"n. 联盟, 联合
"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
"
sympathetic,"a. 有同情心的, 合意的, 赞成的
n. 交感神经, 容易感受的人"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
commerce,"n. 商业, 商务, 贸易
"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
deception,"n. 欺骗, 诡计
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
log off,"[计] 注销, 下网"
obviously,"adv. 显而易见地, 明显地"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
online,[计] 联机
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
trash,"n. 垃圾, 废物
vt. 丢弃"
weapon,"n. 武器, 兵器
vt. 武装"
widely,adv. 广泛地
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
bureau,"n. 局, 办公处
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
close down,"关闭, 歇业, 停止播音"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
element,"n. 元件, 元素, 要素
"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
established,"a. (被)建立的, 固定的, 既定的, 确定的, 确认的, 确立的, (被)制定的
"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
exaggerate,"v. 夸大, 夸张"
feedback,"n. 反馈, 反应
"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
guideline,"n. 指导路线, 方针, 指标
"
historical,"a. 历史的, 史实的, 历史上的
"
horror,"n. 惊骇, 恐怖, 惨状
"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
integrity,"n. 正直, 廉正, 完整
"
journalism,"n. 新闻业, 报章杂志
"
moreover,"adv. 而且, 此外"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
poverty,"n. 贫穷, 贫困, 缺乏
"
reaction,"n. 反应, 反作用, 反动
"
rely on,"依赖, 依靠"
revenue,"n. 收入, 岁入, 税收, 税务局
"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
trainee,"n. 实习生, 新兵, 受培训者
"
badge,"n. 徽章, 标记
"
bloodshed,n. 流血
childish,"a. 天真的, 孩子气的"
clause,"n. 子句, 条款
"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
commander,"n. 司令官, 指挥官"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
considerable,"a. 相当的, 可观的, 重要的"
cruelty,"n. 残酷, 野蛮, 残酷行为
"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
emigrate,"v. (使)移居, (使)移民"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
fate,"n. 命运, 运气
vt. 注定"
heroic,"a. 英勇的, 英雄式的, 壮丽雄伟的
n. 英雄诗, 史诗, 英勇行为"
humanity,"n. 人性, 人类, 博爱"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
immediate,"a. 立即的, 直接的, 接近的
"
insane,"a. 患精神病的, 极愚蠢的
"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
moody,"a. 心情不稳的, 郁郁寡欢的, 喜怒无常的"
primarily,"adv. 主要地, 首先地"
publication,"n. 出版物, 出版, 公布
"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
refugee,"n. 难民, 流亡者
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
specify,"vt. 详列, 指定, 说明
"
survivor,"n. 生还者, 幸存者
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
composed,"a. 镇静的, 沉着的"
count down,"倒读数, 用倒数方式计算
"
exhausted,a. 耗尽的；疲惫的
fight back,"抵抗, 回击"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
inner self,内在我
keep up with,"跟上
"
illustration,"n. 例证, 插图
"
interpretation,"n. 解释, 演出, 翻译
"
lead up to,"带到, 导致, 作为...的准备"
miss out,"省掉, 遗漏, 漏述"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
priority,"n. 优先权, 优先
"
pull away,"脱身, 离开"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
set off,"na. 分；分割；划开；区划
"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
strategy,"n. 战略, 策略
"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
capable,"a. 有能力的, 能的, 能干的"
compelling,"a. 强制的, 强迫性的, 激发兴趣的"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
hint,"n. 暗示, 提示
v. 暗示, 示意"
indication,"n. 指示, 象征, 暗示
"
investigate,"v. 调查, 审查"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
lick,"n. 舔, 少许, 打
vt. 舔, 卷过, 鞭打
vi. 轻轻拍打"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
paw,"n. 爪
v. 以蹄扒地, 用爪子抓, 拼命抓, 向...乱抓, 笨拙地使用, 费力地前进"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
repeatedly,"adv. 重复地, 再三地"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
additional,"a. 附加的, 另外的, 额外的
"
aggravate,"vt. 使恶化, 使更严重, 加重"
at hand,"在手边, 在附近, 即将到来"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
compensation,"n. 补偿, 赔偿金, 工资
"
enforced,a. 强制执行的；实施的
excessive,"a. 过度的, 过多的, 极端的
"
extensive,"a. 广的, 广泛的, 多方面的
"
fulfil,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
in vain,"徒然
"
inherent,"a. 固有的, 与生俱来的
"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
interaction,"n. 交互作用, 交感
"
lay one's hands on,[网络] 把…弄到手；获得；拥有
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
let it go, 放手吧
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
outlook,"n. 观点, 景色, 前途, 了望
"
pastime,"n. 消遣, 娱乐, 游戏"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
removal,"n. 移动, 移居, 迁移, 排除, 切除
"
sin,"n. 罪, 犯罪, 过失, 失礼
v. 犯"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
tire out,"na. 使疲倦到极度
"
to death,极度
trifling,"a. 没什么价值的, 微不足道的, 轻浮的"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
cater,"v. 提供饮食及服务, 投合, 迎合"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
dedicate,"vt. 献出, 贡献"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
employer,"n. 雇主, 老板
"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
flexibility,"n. 弹性, 适应性
"
installation,"n. 安装, 装置, 就职
"
location,"n. 位置, 场所, 特定区域
"
numerous,"a. 很多的, 数目众多的, 多数的
"
option,"n. 选择权, 挑选, 选项
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
shortage,"n. 不足, 缺乏
"
amazingly,adv. 令人惊讶地；惊奇地
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
dense,"a. 密集的, 浓厚的"
depressing,"a. 抑压的, 沉闷的, 阴沉的"
dreadful,a. 可怕的
electron,"n. 电子
"
equation,"n. 相等, 等式, 平衡
"
exert,"vt. 发挥, 运用, 施以影响
"
explosion,"n. 爆发, 激增, 爆炸(声)
"
fraction,"n. 小部分, 破片, 分数
"
hence,"adv. 因此, 从此"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
interference,"n. 冲突, 干涉
"
invisible,"a. 看不见的, 无形的
"
namely,"adv. 即, 就是, 换句话说"
outdated,"a. 旧式的, 落伍的, 过时的"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
proposal,"n. 提议, 计划, 求婚
"
relativity,"n. 有关系, 相关性, 相对性
"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
