accuracy,"n. 精确, 正确
"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
friction,"n. 摩擦, 摩擦治疗, 不和
"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
hence,"adv. 因此, 从此"
henceforth,"adv. 自此以后, 今后"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
imply,"vt. 暗示, 意味
"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
lace,"n. 饰带, 花边, 缎带, 鞋带
vt. 结带子, 饰以花边
vi. 系带子
"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
multiply,"v. 繁殖, 乘, 增加
"
notify,"vt. 通知, 通告, 报告
"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
paste,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击
vt. 用浆糊粘, 张贴, 狠狠地打
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
portable,"a. 可携带的, 可搬运的, 可移动的
"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
spite,"n. 恶意, 怨恨, 使人烦恼的事物
vt. 故意刁难, 欺侮"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
troop,"n. 军队, 一群, 一队
vi. 群集, 结队, 成群而行"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
acquaint,"vt. 使认识, 介绍"
acquaintance,"n. 认识, 相识者"
agency,"n. 代理机构, 经销商, 中介
"
agenda,"pl. 议程, 日常工作事项
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
ample,"a. 大量的, 充足的, 丰富的"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
awful,"a. 可怕的, 庄严的, 虔敬的"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
career,"n. 事业, 生涯, 成功
"
collective,"a. 集体的, 聚集的, 共同的
"
complain,"v. 抱怨, 抗议, 控诉"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
constitute,"vt. 构成, 组成, 任命
"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
conviction,"n. 定罪, 信服, 坚信
"
convince,"vt. 说服, 使相信
"
define,"vt. 定义, 规定, 使明确
"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
discreet,"a. 小心的, 慎重的"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
grope,"v. 摸索
n. 摸索"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
infer,"vt. 推论出, 推断
vi. 作推论"
intimidate,"vt. 威胁, 恐吓
"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
multitude,"n. 多数, 群众"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
offspring,"n. 子孙, 后代, 产物
"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
pastime,"n. 消遣, 娱乐, 游戏"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
preparation,"n. 准备, 预备, 预习
"
product,"n. 产品, 结果, 乘积
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
productivity,"n. 生产力
"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
reliable,"a. 可靠的, 可信赖的
"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
scout,"n. 守候, 侦察, 搜索, 侦察员, 侦察机
vi. 守候, 侦察, 巡视, 嘲笑
vt. 侦察, 跟踪, 发现, 监视, 嘲弄"
shiver,"vi. 颤抖, 哆嗦, 被打碎
vt. 使迎风飘动, 粉碎
n. 战栗, 碎块"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
tropical,"a. 热带的, 热情的
"
upper,"a. 上面的, 较高的, 上级的, 上院的, 穿在外面的, 北部的, 地表的, 后期的
n. 鞋帮, 上齿"
victim,"n. 受害人, 牺牲者, 牺牲品
"
abolish,"vt. 废止, 革除, 消灭
"
acquire,"vt. 获得, 学到
"
acquisition,"n. 获得, 获得物
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
awkward,"a. 笨拙的, 棘手的"
beware,"v. 小心, 谨防"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
caress,"n. 爱抚, 拥抱
vt. 爱抚, 抱, 宠爱"
circulate,"v. (使)流通, (使)循环, (使)传播"
collide,"vi. 碰撞, 互撞, 抵触"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
crucial,"a. 决定性的, 重要的, 严厉的
"
definite,"a. 明确的, 一定的
"
destiny,"n. 命运, 定数"
